player_id,player_name,team,conference,qb_profile,cluster,passing_att,passing_pct,passing_yds,passing_td,rushing_car,rushing_yds,rushing_td,rushing_ypc,usage.pass,usage.rush,usage.passingDowns,usage.thirdDown,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.passingDowns
5220783,Parker Awad,New Mexico State,Conference USA,Situational Scramblers,5,159,0.465,1079.0,7.0,60.0,109.0,1.0,1.8,1.1419,0.2,0.835,0.819,0.241,0.224,0.309,0.384
4429463,Jacolby Criswell,North Carolina,ACC,High-Volume Dual-Threat,2,320,0.581,2459.0,15.0,71.0,103.0,3.0,1.5,0.8417,0.1312,0.682,0.674,0.41,0.381,0.581,0.637
4692530,Chandler Morris,North Texas,American Athletic,Pro-Style Starters,4,509,0.633,3774.0,31.0,60.0,242.0,4.0,4.0,0.9279,0.1532,0.723,0.68,0.483,0.481,0.503,0.49
4618083,Ethan Hampton,Northern Illinois,Mid-American,Situational Scramblers,5,245,0.584,1608.0,12.0,53.0,129.0,2.0,2.4,0.6703,0.0784,0.413,0.447,0.436,0.419,0.534,0.55
4911961,Jack Lausch,Northwestern,Big Ten,Situational Scramblers,5,296,0.537,1714.0,7.0,87.0,213.0,2.0,2.4,0.7653,0.2152,0.617,0.614,0.123,0.073,0.343,0.326
4683423,Riley Leonard,Notre Dame,FBS Independents,Balanced Dual-Threat,0,403,0.667,2861.0,21.0,184.0,906.0,17.0,4.9,0.9475,0.3404,0.709,0.797,0.47,0.381,0.678,0.602
4610131,Parker Navarro,Ohio,Mid-American,Balanced Dual-Threat,0,295,0.661,2423.0,13.0,160.0,1047.0,18.0,6.5,0.9003,0.2943,0.588,0.647,0.544,0.398,0.84,0.612
4429955,Will Howard,Ohio State,Big Ten,Pro-Style Starters,4,423,0.73,4010.0,35.0,105.0,226.0,7.0,2.2,0.9872,0.1977,0.685,0.766,0.691,0.755,0.468,0.809
4870607,Jackson Arnold,Oklahoma,SEC,Situational Scramblers,5,246,0.626,1421.0,12.0,150.0,444.0,3.0,3.0,0.7195,0.2548,0.582,0.59,0.204,0.142,0.357,0.322
4362159,Alan Bowman,Oklahoma State,Big 12,Situational Pocket QBs,1,340,0.6,2442.0,17.0,24.0,-38.0,0.0,-1.6,0.7709,0.0465,0.612,0.553,0.481,0.51,-0.155,0.433
5125715,Colton Joseph,Old Dominion,Sun Belt,Balanced Dual-Threat,0,222,0.599,1623.0,11.0,114.0,647.0,11.0,5.7,0.6886,0.2652,0.561,0.523,0.483,0.465,0.522,0.644
4689114,Jaxson Dart,Ole Miss,SEC,Pro-Style Starters,4,398,0.693,4279.0,29.0,124.0,495.0,3.0,4.0,0.9825,0.2208,0.745,0.651,0.7,0.77,0.396,1.016
4427238,Dillon Gabriel,Oregon,Big Ten,Pro-Style Starters,4,447,0.729,3857.0,30.0,75.0,149.0,7.0,2.0,1.0063,0.1432,0.796,0.836,0.606,0.627,0.458,1.058
4887446,Gevani McCoy,Oregon State,Pac-12,Situational Scramblers,5,202,0.609,1300.0,3.0,59.0,328.0,5.0,5.6,0.5714,0.1062,0.424,0.402,0.283,0.115,1.055,0.355
4714771,Drew Allar,Penn State,Big Ten,Pro-Style Starters,4,394,0.665,3327.0,24.0,96.0,302.0,6.0,3.1,0.9559,0.1448,0.662,0.653,0.52,0.524,0.498,0.637
4870819,Eli Holstein,Pittsburgh,ACC,Situational Scramblers,5,290,0.617,2225.0,17.0,81.0,328.0,3.0,4.0,0.5974,0.1769,0.51,0.446,0.43,0.426,0.447,0.71
4429032,Hudson Card,Purdue,Big Ten,Situational Scramblers,5,248,0.581,1641.0,9.0,46.0,-27.0,0.0,-0.6,0.7429,0.082,0.582,0.575,0.225,0.233,0.151,0.588
4916436,E.J. Warner,Rice,American Athletic,Situational Pocket QBs,1,438,0.619,2710.0,17.0,29.0,12.0,1.0,0.4,0.9137,0.0993,0.74,0.707,0.21,0.254,-0.442,0.388
4432722,Athan Kaliakmanis,Rutgers,Big Ten,High-Volume Dual-Threat,2,395,0.539,2696.0,18.0,92.0,251.0,3.0,2.7,1.0443,0.1568,0.779,0.698,0.313,0.336,0.243,0.451
5084084,Kevin Jennings,SMU,ACC,Pro-Style Starters,4,381,0.651,3189.0,23.0,101.0,354.0,5.0,3.5,0.9154,0.1871,0.726,0.736,0.539,0.604,0.26,0.827
5220424,Hunter Watson,Sam Houston,Conference USA,Pure Triple-Option,6,281,0.623,1811.0,12.0,168.0,647.0,9.0,3.9,1.657,0.5945,1.232,1.42,0.332,0.313,0.373,0.401
5126474,Danny O'Neil,San Diego State,Mountain West,Pure Triple-Option,6,330,0.633,2181.0,12.0,74.0,89.0,1.0,1.2,1.7432,0.2591,1.225,1.246,0.223,0.248,0.045,0.42
4694149,Walker Eget,San José State,Mountain West,Situational Pocket QBs,1,328,0.573,2504.0,13.0,29.0,99.0,0.0,3.4,0.6195,0.0943,0.489,0.509,0.31,0.379,-0.46,0.637
4920227,Giovanni Lopez,South Alabama,Sun Belt,Balanced Dual-Threat,0,311,0.659,2557.0,18.0,82.0,465.0,7.0,5.7,0.8223,0.1756,0.64,0.593,0.557,0.487,0.863,0.793
4875127,Lanorris Sellers,South Carolina,SEC,Balanced Dual-Threat,0,300,0.657,2527.0,18.0,165.0,681.0,7.0,4.1,0.9265,0.3096,0.669,0.69,0.385,0.454,0.236,0.531
4806463,Bryce Archie,South Florida,American Athletic,Situational Scramblers,5,290,0.593,1914.0,9.0,68.0,137.0,2.0,2.0,0.6724,0.1196,0.465,0.5,0.204,0.207,0.182,0.045
4433886,Tate Rodemaker,Southern Miss,Sun Belt,Pure Game-Managers,3,165,0.594,985.0,7.0,26.0,-90.0,0.0,-3.5,0.5142,0.0437,0.369,0.336,0.061,0.136,-0.787,0.428
4838679,Ashton Daniels,Stanford,ACC,Situational Scramblers,5,271,0.627,1700.0,10.0,148.0,669.0,3.0,4.5,0.6443,0.3516,0.592,0.565,0.204,0.138,0.325,0.407
4433971,Kyle McCord,Syracuse,ACC,Pro-Style Starters,4,592,0.66,4779.0,34.0,67.0,-65.0,3.0,-1.0,1.0339,0.1375,0.879,0.932,0.512,0.512,0.513,0.569
4685401,Josh Hoover,TCU,Big 12,Pro-Style Starters,4,471,0.665,3949.0,27.0,47.0,-19.0,4.0,-0.4,1.0286,0.1016,0.756,0.782,0.56,0.59,0.178,0.59
4431387,Evan Simon,Temple,American Athletic,Situational Scramblers,5,308,0.588,2032.0,15.0,87.0,20.0,3.0,0.2,0.7471,0.1925,0.586,0.636,0.314,0.357,0.104,0.423
4870799,Nico Iamaleava,Tennessee,SEC,High-Volume Dual-Threat,2,334,0.638,2616.0,19.0,109.0,364.0,3.0,3.3,0.9305,0.1634,0.59,0.588,0.391,0.427,0.241,0.612
4889929,Quinn Ewers,Texas,SEC,Pro-Style Starters,4,445,0.658,3472.0,31.0,57.0,-82.0,2.0,-1.4,0.8765,0.0547,0.64,0.636,0.475,0.468,0.578,0.757
4870971,Marcel Reed,Texas A&M,SEC,Balanced Dual-Threat,0,240,0.613,1864.0,15.0,116.0,547.0,7.0,4.7,0.6848,0.2124,0.46,0.506,0.416,0.377,0.508,0.576
4360890,Jordan McCloud,Texas State,Sun Belt,Pro-Style Starters,4,389,0.699,3222.0,30.0,74.0,278.0,7.0,3.8,0.965,0.1364,0.609,0.645,0.56,0.584,0.554,0.542
4431465,Behren Morton,Texas Tech,Big 12,High-Volume Dual-Threat,2,463,0.633,3300.0,27.0,55.0,-22.0,1.0,-0.4,0.9139,0.0796,0.692,0.68,0.426,0.442,0.198,0.535
4429801,Tucker Gleason,Toledo,Mid-American,High-Volume Dual-Threat,2,385,0.605,2793.0,24.0,97.0,364.0,7.0,3.8,0.8618,0.2302,0.701,0.696,0.469,0.51,0.296,0.422
4877717,Matthew Caldwell,Troy,Sun Belt,Situational Scramblers,5,224,0.629,1608.0,13.0,48.0,47.0,5.0,1.0,0.6952,0.1189,0.462,0.513,0.459,0.488,0.314,0.523
5121169,Darian Mensah,Tulane,American Athletic,Pro-Style Starters,4,287,0.659,2723.0,22.0,60.0,132.0,1.0,2.2,0.926,0.0891,0.553,0.564,0.667,0.702,0.445,0.843
5151618,Kirk Francis,Tulsa,American Athletic,Pure Game-Managers,3,253,0.589,1585.0,9.0,34.0,-18.0,0.0,-0.5,0.5753,0.0651,0.416,0.379,0.185,0.22,-0.139,0.145
4565187,Jalen Kitna,UAB,American Athletic,Situational Pocket QBs,1,316,0.62,2209.0,17.0,45.0,-60.0,0.0,-1.3,0.7521,0.0968,0.604,0.593,0.346,0.415,-0.346,0.565
4920156,Dylan Rizk,UCF,Big 12,Pure Game-Managers,3,118,0.619,915.0,5.0,29.0,43.0,0.0,1.5,0.3735,0.0435,0.279,0.245,0.261,0.331,-0.153,0.161
