team,playerid,name,conference,fumbles_fum,fumbles_lost,passing_att,passing_completions,passing_int,passing_pct,passing_td,passing_yds,passing_ypa,rushing_car,rushing_long,rushing_td,rushing_yds,rushing_ypc,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns
Michigan,4878681,Davis Warren,Big Ten,2.0,0.0,207,133.0,9.0,0.643,7.0,1198.0,5.8,17.0,13.0,0.0,-22.0,-1.3,0.2926,0.6875,0.0255,0.2312,0.267,0.452,0.217,0.430,0.256,0.268,0.029,-0.423,0.419,0.73,-0.059,0.618
Michigan State,5075805,Aidan Chiles,Big Ten,4.0,3.0,324,192.0,12.0,0.593,13.0,2415.0,7.5,96.0,26.0,3.0,234.0,2.4,0.5662,0.9074,0.2105,0.5413,0.487,0.727,0.443,0.683,0.38,0.404,0.269,0.276,0.271,0.599,0.335,0.452
Middle Tennessee,4682518,Nick Vattiato,Conference USA,5.0,4.0,418,269.0,10.0,0.644,16.0,3092.0,7.4,86.0,16.0,1.0,77.0,0.9,0.6933,1.0200,0.2074,0.6019,0.713,0.824,0.690,0.804,0.289,0.3,0.208,0.231,0.243,0.434,0.326,0.224
Minnesota,4573398,Max Brosmer,Big Ten,3.0,2.0,403,268.0,6.0,0.665,18.0,2829.0,7.0,71.0,28.0,5.0,-37.0,-0.5,0.6064,1.0070,0.1553,0.5923,0.549,0.726,0.528,0.686,0.388,0.392,0.36,0.16,0.414,0.64,0.332,0.499
Mississippi State,5079620,Michael Van Buren Jr.,SEC,7.0,5.0,256,140.0,7.0,0.547,11.0,1886.0,7.4,69.0,17.0,5.0,-12.0,-0.2,0.8706,1.4545,0.2789,0.8323,0.769,1.065,0.670,1.099,0.313,0.308,0.341,0.047,0.337,0.451,0.212,0.47
Missouri,4429435,Brady Cook,SEC,3.0,1.0,320,200.0,2.0,0.625,11.0,2525.0,7.9,87.0,31.0,5.0,223.0,2.6,0.4566,0.8186,0.1487,0.4220,0.382,0.625,0.310,0.637,0.404,0.399,0.426,0.02,0.376,0.9,0.288,0.584
NC State,5079301,CJ Bailey,ACC,7.0,3.0,302,196.0,10.0,0.649,17.0,2412.0,8.0,99.0,31.0,5.0,279.0,2.8,1.0516,1.6269,0.4679,0.8811,1.117,1.320,1.024,1.348,0.491,0.529,0.355,0.27,0.42,0.759,0.372,0.705
Navy,5081504,Blake Horvath,American Athletic,6.0,3.0,139,80.0,4.0,0.576,13.0,1353.0,9.7,176.0,95.0,17.0,1254.0,7.1,0.4550,0.8677,0.3201,0.4080,0.448,0.576,0.443,0.549,0.72,0.681,0.756,0.504,0.837,0.877,0.688,0.781
Nebraska,5079572,Dylan Raiola,Big Ten,7.0,2.0,409,274.0,11.0,0.67,13.0,2806.0,6.9,50.0,38.0,0.0,-65.0,-1.3,1.0605,1.9352,0.1758,0.9381,1.072,1.333,0.800,1.453,0.26,0.276,0.171,0.185,0.377,0.38,0.156,0.431
Nevada,4429149,Brendon Lewis,Mountain West,2.0,1.0,312,211.0,7.0,0.676,16.0,2290.0,7.3,157.0,67.0,8.0,775.0,4.9,0.6010,0.9082,0.3249,0.5528,0.586,0.759,0.514,0.746,0.432,0.36,0.615,0.31,0.272,0.818,0.373,0.531
