UC Davis,4571293,Miles Hastings,Big Sky,2.0,2.0,0.0,,,,,460,325.0,12.0,0.707,33.0,3916.0,8.5,42.0,8.0,1.0,-138.0,-3.3,,,,,,,,,,,,,,,,
UT Martin,4567241,Kinkead Dent,Big South-OVC,5.0,1.0,0.0,,,,,274,159.0,7.0,0.58,18.0,2111.0,7.7,71.0,55.0,7.0,313.0,4.4,,,,,,,,,,,,,,,,
UVA Wise,5222883,Jake Corkren,South Atlantic,1.0,0.0,0.0,,,,,24,8.0,1.0,0.333,0.0,59.0,2.5,4.0,2.0,0.0,-16.0,-4.0,,,,,,,,,,,,,,,,
Upper Iowa University,5222060,Darryl Overstreet Jr.,Great Lakes,,,,,,,,31,12.0,3.0,0.387,1.0,121.0,3.9,3.0,9.0,0.0,1.0,0.3,,,,,,,,,,,,,,,,
Utah Tech,5088960,Reggie Graff,UAC,6.0,5.0,0.0,,,,,203,120.0,3.0,0.591,10.0,1363.0,6.7,112.0,37.0,4.0,415.0,3.7,,,,,,,,,,,,,,,,
VMI,5168665,Chandler Wilson,Southern,2.0,0.0,0.0,,,,,109,53.0,6.0,0.486,3.0,424.0,3.9,29.0,11.0,0.0,-21.0,-0.7,,,,,,,,,,,,,,,,
Valparaiso,5157537,Caron Tyler,Pioneer,4.0,1.0,0.0,,,,,153,87.0,4.0,0.569,6.0,964.0,6.3,104.0,55.0,3.0,341.0,3.3,,,,,,,,,,,,,,,,
Villanova,4428805,Connor Watkins,CAA,5.0,4.0,0.0,,,,,315,164.0,4.0,0.521,13.0,1999.0,6.3,111.0,45.0,7.0,424.0,3.8,,,,,,,,,,,,,,,,
Virginia St,4371078,Romelo Williams,CIAA,,,,,,,,20,14.0,1.0,0.7,1.0,171.0,8.6,11.0,15.0,1.0,53.0,4.8,,,,,,,,,,,,,,,,
Virginia Union,4692936,Mark Wright,CIAA,,,,,,,,10,2.0,1.0,0.2,0.0,37.0,3.7,2.0,10.0,0.0,13.0,6.5,,,,,,,,,,,,,,,,
Wagner,5095499,Jacob Cady,NEC,3.0,2.0,0.0,,,,,276,151.0,8.0,0.547,16.0,1738.0,6.3,89.0,45.0,1.0,236.0,2.7,,,,,,,,,,,,,,,,
Weber State,5153685,Richie Munoz,Big Sky,6.0,3.0,0.0,,,,,347,213.0,5.0,0.614,20.0,2189.0,6.3,66.0,16.0,2.0,140.0,2.1,,,,,,,,,,,,,,,,
West Georgia,4836476,Davin Wydner,UAC,5.0,3.0,0.0,,,,,207,125.0,2.0,0.604,7.0,1515.0,7.3,58.0,47.0,7.0,216.0,3.7,,,,,,,,,,,,,,,,
West Virginia Wesleyan,5233567,Quinton Pulley,Mountain East,,,,,,,,21,9.0,2.0,0.429,0.0,85.0,4.0,2.0,5.0,0.0,8.0,4.0,,,,,,,,,,,,,,,,
Western Carolina,5089540,Cole Gonzales,Southern,3.0,0.0,1.0,,,,,312,196.0,5.0,0.628,12.0,2471.0,7.9,59.0,50.0,2.0,194.0,3.3,,,,,,,,,,,,,,,,
Western Illinois,4430016,Nate Lamb,Big South-OVC,4.0,3.0,0.0,,,,,402,262.0,8.0,0.652,21.0,3372.0,8.4,116.0,36.0,8.0,345.0,3.0,,,,,,,,,,,,,,,,
Western Oregon,4891346,Kainoa Jones,Lone Star,2.0,1.0,0.0,,,,,37,22.0,1.0,0.595,0.0,287.0,7.8,18.0,14.0,0.0,-10.0,-0.6,,,,,,,,,,,,,,,,
Wheeling,5221605,Javon Davis,Mountain East,,,,,,,,33,15.0,0.0,0.455,2.0,221.0,6.7,10.0,21.0,0.0,61.0,6.1,,,,,,,,,,,,,,,,
William & Mary,4878151,Darius Wilson,CAA,3.0,1.0,0.0,,,,,245,152.0,8.0,0.62,12.0,1941.0,7.9,138.0,53.0,9.0,615.0,4.5,,,,,,,,,,,,,,,,
Winston-Salem,5162467,Daylin Lee,CIAA,,,,,,,,27,13.0,0.0,0.481,0.0,122.0,4.5,6.0,22.0,1.0,55.0,9.2,,,,,,,,,,,,,,,,
Wofford,5153782,Amari Odom,Southern,6.0,2.0,0.0,,,,,211,117.0,6.0,0.555,7.0,1565.0,7.4,44.0,16.0,0.0,-41.0,-0.9,,,,,,,,,,,,,,,,
Yale,4883110,Grant Jordan,Ivy,1.0,1.0,0.0,,,,,250,166.0,3.0,0.664,22.0,1938.0,7.8,77.0,28.0,5.0,360.0,4.7,,,,,,,,,,,,,,,,
Youngstown State,5109518,Beau Brungard,MVFC,2.0,1.0,0.0,,,,,310,206.0,11.0,0.665,12.0,2077.0,6.7,159.0,66.0,16.0,998.0,6.3,,,,,,,,,,,,,,,,
