player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Jack Lausch,162845,QB,NWESTERN,10,107,13.1,0,256,1,9,16.8,10.3,70.1,13.1,0,18,14,18,11,107,75,14,11,27,18,3,10.3,25.2,8,16.8,2.8
Jackson Arnold,173684,QB,OKLAHOMA,10,107,13.1,0,261,0,10,16.8,20.6,77.6,9.3,0,17,14,18,22,107,83,10,12,25,17,7,11.2,23.4,7,15.9,6.5
C.J. Ogbonna,149182,QB,BUFFALO,13,105,9.5,0,126,2,10,14.3,24.8,76.2,8.6,0,17,10,15,26,105,80,9,8,22,17,5,7.6,21.0,5,16.2,4.8
E.J. Warner,156185,QB,RICE,11,105,20.0,0,275,1,10,22.9,15.2,82.9,5.7,0,13,21,24,16,105,87,6,19,15,13,5,18.1,14.3,2,12.4,4.8
Will Howard,122599,QB,OHIO STATE,16,104,17.3,0,260,0,6,13.5,22.1,81.7,6.7,0,12,18,14,23,104,85,7,18,20,12,4,17.3,19.2,6,11.5,3.8
Hudson Card,123109,QB,PURDUE,10,104,10.6,0,273,2,8,21.2,19.2,78.8,7.7,0,14,11,22,20,104,82,8,18,20,14,5,17.3,19.2,4,13.5,4.8
Nico Iamaleava,174728,QB,TENNESSEE,13,104,9.6,0,307,4,8,9.6,22.1,72.1,13.5,0,16,10,10,23,104,75,14,15,26,16,1,14.4,25.0,4,15.4,1.0
Eli Holstein,172381,QB,PITTSBURGH,10,103,7.8,0,268,4,13,17.5,21.4,74.8,5.8,0,21,8,18,22,103,77,6,16,26,21,0,15.5,25.2,4,20.4,0.0
Josh Hoover,127148,QB,TCU,13,102,9.8,0,305,5,8,11.8,16.7,68.6,11.8,0,19,10,12,17,102,70,12,13,25,19,4,12.7,24.5,6,18.6,3.9
Kevin Jennings,158272,QB,SMU,14,101,5.9,0,287,5,14,9.9,34.7,66.3,10.9,0,25,6,10,35,101,67,11,10,14,25,0,9.9,13.9,6,24.8,0.0
Ashton Daniels,157259,QB,STANFORD,11,101,17.8,0,300,1,17,13.9,28.7,76.2,3.0,0,20,18,14,29,101,77,3,14,19,20,4,13.9,18.8,2,19.8,4.0
Garrett Greene,123420,QB,W VIRGINIA,11,100,14.0,0,343,3,15,8.0,8.0,63.0,7.0,0,28,14,8,8,100,63,7,14,15,28,10,14.0,15.0,10,28.0,10.0
Brett Gabbert,97404,QB,MIAMI OH,14,100,9.0,0,221,4,7,16.0,19.0,77.0,7.0,0,17,9,16,19,100,77,7,19,13,17,9,19.0,13.0,6,17.0,9.0
Connor Bazelak,99135,QB,BOWL GREEN,13,99,9.1,0,122,2,7,20.2,20.2,78.8,6.1,0,15,9,20,20,99,78,6,15,18,15,6,15.2,18.2,6,15.2,6.1
Kadin Semonza,174001,QB,BALL ST,12,98,7.1,0,117,3,2,14.3,29.6,87.8,1.0,0,8,7,14,29,98,86,1,19,27,8,6,19.4,27.6,3,8.2,6.1
Miller Moss,70727,QB,USC,9,96,11.5,0,326,6,6,14.6,28.1,85.4,1.0,0,12,11,14,27,96,82,1,12,20,12,5,12.5,20.8,0,12.5,5.2
Avery Johnson,173108,QB,KANSAS ST,13,96,11.5,0,199,3,9,12.5,11.5,78.1,7.3,0,16,11,12,11,96,75,7,17,27,16,3,17.7,28.1,4,16.7,3.1
Jalen Milroe,146590,QB,ALABAMA,13,96,7.3,0,103,2,4,8.3,18.8,82.3,2.1,0,15,7,8,18,96,79,2,17,35,15,8,17.7,36.5,9,15.6,8.3
Dillon Gabriel,86272,QB,OREGON,14,96,8.3,0,264,1,10,10.4,9.4,74.0,6.3,0,18,8,10,9,96,71,6,24,29,18,2,25.0,30.2,7,18.8,2.1
Bryce Archie,156667,QB,USF,12,96,12.5,0,327,4,8,20.8,17.7,75.0,9.4,0,14,12,20,17,96,72,9,15,17,14,1,15.6,17.7,2,14.6,1.0
John Mateer,158516,QB,WASH STATE,12,95,17.9,0,341,5,13,15.8,9.5,64.2,3.2,0,32,17,15,9,95,61,3,6,18,32,2,6.3,18.9,14,33.7,2.1
Caden Veltkamp,156642,QB,W KENTUCKY,13,95,9.5,0,346,2,14,9.5,20.0,71.6,4.2,0,24,9,9,19,95,68,4,10,22,24,4,10.5,23.2,8,25.3,4.2
Danny O'Neil,184200,QB,S DIEGO ST,11,94,16.0,0,284,11,9,10.6,20.2,70.2,6.4,0,23,15,10,19,94,66,6,17,18,23,0,18.1,19.1,3,24.5,0.0
Mikey Keene,70961,QB,FRESNO ST,12,94,6.4,0,169,2,4,4.3,24.5,84.0,4.3,0,12,6,4,23,94,79,4,25,26,12,6,26.6,27.7,6,12.8,6.4
Michael Van Buren Jr.,184764,QB,MISS STATE,9,93,6.5,0,227,4,8,11.8,30.1,81.7,3.2,0,15,6,11,28,93,76,3,15,26,15,0,16.1,28.0,3,16.1,0.0
Jake Retzlaff,70874,QB,BYU,13,92,14.1,0,128,2,4,10.9,26.1,78.3,9.8,0,10,13,10,24,92,72,9,8,22,10,6,8.7,23.9,4,10.9,6.5
Carson Beck,124010,QB,GEORGIA,13,92,8.7,0,173,2,9,9.8,30.4,78.3,3.3,0,17,8,9,28,92,72,3,10,19,17,5,10.9,20.7,6,18.5,5.4
Jordan McCloud,101058,QB,TEXAS ST,13,91,5.5,0,314,6,8,11.0,25.3,67.0,13.2,0,20,5,10,23,91,61,12,13,12,20,3,14.3,13.2,6,22.0,3.3
Payton Thorne,101629,QB,AUBURN,11,91,9.9,0,115,1,5,17.6,22.0,82.4,6.6,0,10,9,16,20,91,75,6,8,26,10,4,8.8,28.6,4,11.0,4.4
Evan Bullock,170452,QB,LA TECH,11,90,10.0,0,208,5,6,5.6,18.9,66.7,12.2,0,22,9,5,17,90,60,11,15,19,22,4,16.7,21.1,11,24.4,4.4
Will Rogers,124184,QB,WASHINGTON,11,89,19.1,0,340,3,2,12.4,32.6,88.8,3.4,0,6,17,11,29,89,79,3,15,20,6,5,16.9,22.5,1,6.7,5.6
Brendan Sorsby,156398,QB,CINCINNATI,12,88,12.5,0,138,4,6,11.4,9.1,65.9,17.0,0,15,11,10,8,88,58,15,8,23,15,2,9.1,26.1,5,17.0,2.3
Maddux Madsen,163379,QB,BOISE ST,14,88,19.3,0,120,0,4,14.8,8.0,80.7,12.5,0,6,17,13,7,88,71,11,18,30,6,4,20.5,34.1,2,6.8,4.5
Sawyer Robertson,146839,QB,BAYLOR,12,87,11.5,0,118,4,8,6.9,29.9,66.7,14.9,0,18,10,6,26,87,58,13,9,10,18,3,10.3,11.5,6,20.7,3.4
Brock Vandagriff,146713,QB,KENTUCKY,11,87,12.6,0,202,2,9,16.1,19.5,77.0,6.9,0,16,11,14,17,87,67,6,8,23,16,6,9.2,26.4,5,18.4,6.9
Jalen Kitna,146688,QB,UAB,8,87,5.7,0,321,1,4,9.2,36.8,87.4,3.4,0,10,5,8,32,87,76,3,15,21,10,5,17.2,24.1,5,11.5,5.7
Kaidon Salter,132046,QB,LIBERTY,11,87,11.5,0,206,1,10,5.7,32.2,69.0,9.2,0,21,10,5,28,87,60,8,9,18,21,1,10.3,20.7,10,24.1,1.1
Cam Fancher,145266,QB,FAU,9,87,8.0,0,165,2,8,11.5,13.8,73.6,2.3,0,19,7,10,12,87,64,2,14,25,19,8,16.1,28.7,9,21.8,9.2
Skyler Locklear,164027,QB,UTEP,10,85,12.9,0,330,5,6,12.9,22.4,83.5,2.4,0,16,11,11,19,85,71,2,5,30,16,3,5.9,35.3,5,18.8,3.5
Tommy Ulatowski,163150,QB,KENT STATE,9,84,19.0,0,201,0,12,27.4,9.5,78.6,1.2,0,18,16,23,8,84,66,1,7,15,18,8,8.3,17.9,6,21.4,9.5
Hajj-Malik Williams,102348,QB,UNLV,12,84,8.3,0,325,1,14,10.7,16.7,65.5,3.6,0,27,7,9,14,84,55,3,7,8,27,11,8.3,9.5,12,32.1,13.1
Gio Lopez,172309,QB,S ALABAMA,11,83,16.9,0,288,6,11,14.5,19.3,73.5,0.0,0,20,14,12,16,83,61,0,11,16,20,3,13.3,19.3,3,24.1,3.6
Tyler Huff,142567,QB,JVILLE ST,14,83,19.3,0,196,1,4,8.4,13.3,88.0,2.4,0,10,16,7,11,83,73,2,17,23,10,5,20.5,27.7,5,12.0,6.0
Alonza Barnett III,156710,QB,JAMES MAD,12,82,13.4,0,197,0,5,22.0,17.1,78.0,9.8,0,11,11,18,14,82,64,8,11,17,11,1,13.4,20.7,6,13.4,1.2
Darian Mensah,169984,QB,TULANE,13,82,4.9,0,319,0,12,14.6,19.5,72.0,8.5,0,17,4,12,16,82,59,7,8,13,17,9,9.8,15.9,5,20.7,11.0
Colton Joseph,172283,QB,DOMINION,9,82,8.5,0,263,1,3,24.4,15.9,82.9,6.1,0,10,7,20,13,82,68,5,18,27,10,1,22.0,32.9,6,12.2,1.2
Keyone Jenkins,170403,QB,FIU,12,82,4.9,0,166,3,6,8.5,18.3,78.0,2.4,0,15,4,7,15,82,64,2,13,24,15,8,15.9,29.3,6,18.3,9.8
Taisun Phommachanh,99577,QB,UMASS,9,81,13.6,0,216,2,7,22.2,19.8,76.5,3.7,0,15,11,18,16,81,62,3,15,15,15,4,18.5,18.5,6,18.5,4.9
Brady Cook,124199,QB,MISSOURI,12,81,19.8,0,229,2,10,13.6,21.0,71.6,6.2,0,19,16,11,17,81,58,5,10,8,19,2,12.3,9.9,7,23.5,2.5
CJ Bailey,183349,QB,NC STATE,11,81,8.6,0,248,3,8,11.1,14.8,71.6,6.2,0,15,7,9,12,81,58,5,17,14,15,7,21.0,17.3,4,18.5,8.6
Parker Navarro,123758,QB,OHIO,13,80,12.5,0,259,3,8,12.5,18.8,65.0,10.0,0,22,10,10,15,80,52,8,7,16,22,3,8.8,20.0,11,27.5,3.8
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,13,79,3.8,0,144,0,11,12.7,15.2,73.4,8.9,0,14,3,10,12,79,58,7,9,23,14,6,11.4,29.1,3,17.7,7.6
Hayden Wolff,98362,QB,W MICHIGAN,13,79,12.7,0,347,1,3,25.3,19.0,84.8,6.3,0,6,10,20,15,79,67,5,5,15,6,9,6.3,19.0,2,7.6,11.4
Marcel Reed,175940,QB,TEXAS A&M,10,78,12.8,0,312,0,16,14.1,10.3,65.4,10.3,0,19,10,11,8,78,51,8,8,15,19,2,10.3,19.2,3,24.4,2.6
Kirk Francis,173296,QB,TULSA,11,76,11.8,0,320,1,4,11.8,35.5,90.8,2.6,0,6,9,9,27,76,69,2,16,20,6,1,21.1,26.3,1,7.9,1.3
Hunter Watson,183993,QB,SM HOUSTON,12,74,8.1,0,281,2,8,13.5,23.0,67.6,10.8,0,18,6,10,17,74,50,8,8,13,18,6,10.8,17.6,8,24.3,8.1
Evan Svoboda,157664,QB,WYOMING,10,74,4.1,0,351,0,1,14.9,39.2,85.1,9.5,0,5,3,11,29,74,63,7,13,16,5,3,17.6,21.6,4,6.8,4.1
Isaac Wilson,183872,QB,UTAH,9,74,12.2,0,328,1,7,16.2,16.2,66.2,18.9,0,11,9,12,12,74,49,14,11,8,11,4,14.9,10.8,3,14.9,5.4
Ethan Vasko,163817,QB,COAST CAR,12,73,13.7,0,141,1,7,9.6,27.4,82.2,0.0,0,11,10,7,20,73,60,0,12,17,11,2,16.4,23.3,3,15.1,2.7
Devon Dampier,171556,QB,NEW MEXICO,12,73,8.2,0,241,4,18,4.1,13.7,61.6,0.0,0,25,6,3,10,73,45,0,6,9,25,14,8.2,12.3,3,34.2,19.2
Nate Yarnell,144037,QB,PITTSBURGH,8,73,8.2,0,268,0,2,12.3,19.2,83.6,9.6,0,6,6,9,14,73,61,7,6,26,6,3,8.2,35.6,4,8.2,4.1
Walker Eget,146170,QB,S JOSE ST,11,72,15.3,0,285,2,4,15.3,23.6,80.6,11.1,0,6,11,11,17,72,58,8,6,24,6,0,8.3,33.3,0,8.3,0.0
Maalik Murphy,157302,QB,DUKE,12,71,8.5,0,154,2,6,12.7,38.0,70.4,15.5,0,12,6,9,27,71,50,11,7,7,12,2,9.9,9.9,4,16.9,2.8
