player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Emory Williams,170099,QB,MIAMI FL,2,4,25.0,0,220,0,0,25.0,25.0,100.0,0.0,0,0,1,1,1,4,4,0,1,1,0,0,25.0,25.0,0,0.0,0.0
Ryan Staub,171906,QB,COLORADO,3,4,50.0,0,143,0,0,0.0,25.0,100.0,-25.0,0,0,2,0,1,4,4,-1,0,2,0,1,0.0,50.0,0,0.0,25.0
Braxton Woodson,175276,QB,NAVY,3,4,25.0,0,237,1,0,0.0,0.0,75.0,0.0,0,1,1,0,0,4,3,0,1,0,1,1,25.0,0.0,0,25.0,25.0
Jacobe Robinson,174006,QB,BOSTON COL,1,4,0.0,0,121,0,1,0.0,0.0,25.0,25.0,0,2,0,0,0,4,1,1,0,1,2,0,0.0,25.0,1,50.0,0.0
Davis Beville,99588,QB,S CAROLINA,3,4,0.0,0,289,0,0,25.0,25.0,50.0,25.0,0,1,0,1,1,4,2,1,1,0,1,0,25.0,0.0,1,25.0,0.0
Ryan Hilinski,71295,QB,NWESTERN,3,4,0.0,0,256,0,0,25.0,25.0,100.0,0.0,0,0,0,1,1,4,4,0,2,0,0,0,50.0,0.0,0,0.0,0.0
Harrison Bailey,124266,QB,LOUISVILLE,3,3,66.7,0,210,0,1,0.0,0.0,66.7,0.0,0,1,2,0,0,3,2,0,0,0,1,0,0.0,0.0,0,33.3,0.0
Will Perry,184159,QB,UMASS,1,3,0.0,0,216,0,0,0.0,66.7,100.0,0.0,0,0,0,0,2,3,3,0,0,1,0,0,0.0,33.3,0,0.0,0.0
Bert Emanuel Jr.,158581,QB,C MICHIGAN,3,3,0.0,0,134,0,1,33.3,0.0,33.3,0.0,0,2,0,1,0,3,1,0,0,0,2,0,0.0,0.0,1,66.7,0.0
Dylan Lonergan,172386,QB,ALABAMA,2,3,0.0,0,103,0,0,0.0,33.3,100.0,0.0,0,0,0,0,1,3,3,0,1,0,0,1,33.3,0.0,0,0.0,33.3
KJ Jackson,184386,QB,ARKANSAS,1,3,0.0,0,111,0,1,33.3,33.3,66.7,0.0,0,1,0,1,1,3,2,0,0,0,1,0,0.0,0.0,0,33.3,0.0
Austin Simmons,175891,QB,OLE MISS,7,3,33.3,0,226,0,0,0.0,33.3,66.7,0.0,0,0,1,0,1,3,2,0,0,0,0,1,0.0,0.0,0,0.0,33.3
Nate Hampton,147548,QB,LIBERTY,1,3,0.0,0,206,0,0,0.0,33.3,100.0,0.0,0,0,0,0,1,3,3,0,0,2,0,0,0.0,66.7,0,0.0,0.0
Jacob Conover,70963,QB,UTAH ST,1,3,0.0,0,329,0,0,33.3,0.0,100.0,0.0,0,0,0,1,0,3,3,0,2,0,0,0,66.7,0.0,0,0.0,0.0
JD Sherrod,172365,QB,KENT STATE,2,3,0.0,0,201,0,0,33.3,33.3,66.7,0.0,0,1,0,1,1,3,2,0,0,0,1,0,0.0,0.0,1,33.3,0.0
Devin Brown,156479,QB,OHIO STATE,6,3,0.0,0,260,0,0,33.3,0.0,33.3,33.3,0,1,0,1,0,3,1,1,0,0,1,0,0.0,0.0,1,33.3,0.0
Brady Lichtenberg,144226,QB,CINCINNATI,2,3,33.3,0,138,0,0,0.0,33.3,100.0,0.0,0,0,1,0,1,3,3,0,1,1,0,0,33.3,33.3,0,0.0,0.0
Champ Long,170197,QB,MARYLAND,1,3,0.0,0,215,0,0,33.3,33.3,66.7,33.3,0,0,0,1,1,3,2,1,0,0,0,0,0.0,0.0,0,0.0,0.0
Ta'Quan Roberson,101625,QB,KANSAS ST,3,3,0.0,0,199,1,0,33.3,0.0,66.7,0.0,0,1,0,1,0,3,2,0,1,0,1,0,33.3,0.0,0,33.3,0.0
Pierce Clarkson,174699,QB,LOUISVILLE,1,3,0.0,0,210,0,0,0.0,33.3,100.0,0.0,0,0,0,0,1,3,3,0,1,1,0,1,33.3,33.3,0,0.0,33.3
Reese Poffenbarger,145346,QB,MIAMI FL,1,3,0.0,0,220,0,0,33.3,33.3,66.7,0.0,0,1,0,1,1,3,2,0,0,1,1,0,0.0,33.3,1,33.3,0.0
Ui Ale,173036,QB,HOUSTON,2,3,0.0,0,182,1,0,0.0,0.0,33.3,0.0,0,2,0,0,0,3,1,0,1,0,2,0,33.3,0.0,1,66.7,0.0
Rickie Collins,172474,QB,LSU,3,2,0.0,0,211,0,2,0.0,0.0,0.0,0.0,0,2,0,0,0,2,0,0,0,0,2,0,0.0,0.0,0,100.0,0.0
Broc Lowry,173383,QB,W MICHIGAN,5,2,0.0,0,347,0,0,0.0,100.0,100.0,0.0,0,0,0,0,2,2,2,0,0,1,0,0,0.0,50.0,0,0.0,0.0
Keldric Luster,175287,QB,SMU,3,2,0.0,0,287,0,1,0.0,50.0,50.0,0.0,0,1,0,0,1,2,1,0,0,0,1,0,0.0,0.0,0,50.0,0.0
Roman Gagliano,183961,QB,MIDDLE TN,2,2,50.0,0,224,0,0,0.0,50.0,100.0,0.0,0,0,1,0,1,2,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Cole Pennington,156787,QB,MARSHALL,2,2,0.0,0,214,0,0,50.0,0.0,100.0,0.0,0,0,0,1,0,2,2,0,1,0,0,0,50.0,0.0,0,0.0,0.0
Jackson Brousseau,173480,QB,COLO STATE,1,2,0.0,0,144,0,1,50.0,0.0,50.0,0.0,0,1,0,1,0,2,1,0,0,0,1,0,0.0,0.0,0,50.0,0.0
John-Keawe Sagapolutele,175709,QB,HAWAII,2,2,0.0,0,180,0,0,50.0,0.0,100.0,0.0,0,0,0,1,0,2,2,0,1,1,0,0,50.0,50.0,0,0.0,0.0
Kyle Lowe,156595,QB,GA STATE,2,2,0.0,0,175,0,0,50.0,0.0,100.0,0.0,0,0,0,1,0,2,2,0,1,0,0,0,50.0,0.0,0,0.0,0.0
Nate Johnson,158489,QB,VANDERBILT,2,2,0.0,0,333,0,0,0.0,50.0,100.0,0.0,0,0,0,0,1,2,2,0,1,1,0,0,50.0,50.0,0,0.0,0.0
Gunnar Gray,171202,QB,BUFFALO,1,2,0.0,0,126,0,0,50.0,0.0,100.0,0.0,0,0,0,1,0,2,2,0,0,0,0,1,0.0,0.0,0,0.0,50.0
Ken Seals,124359,QB,TCU,5,2,0.0,0,305,0,1,50.0,0.0,50.0,0.0,0,1,0,1,0,2,1,0,0,1,1,0,0.0,50.0,0,50.0,0.0
Julian Sayin,183708,QB,OHIO STATE,4,2,50.0,0,260,0,0,0.0,0.0,100.0,0.0,0,0,1,0,0,2,2,0,0,1,0,0,0.0,50.0,0,0.0,0.0
Aidan Leffler,163088,QB,BALL ST,2,2,0.0,0,117,0,0,0.0,0.0,50.0,50.0,0,0,0,0,0,2,1,1,0,1,0,0,0.0,50.0,0,0.0,0.0
EJ Caminong,188167,QB,CAL,1,2,50.0,0,130,0,1,0.0,0.0,50.0,0.0,0,1,1,0,0,2,1,0,0,1,1,0,0.0,50.0,0,50.0,0.0
Malachi Nelson,174203,QB,BOISE ST,3,2,0.0,0,120,0,0,0.0,50.0,100.0,0.0,0,0,0,0,1,2,2,0,0,0,0,1,0.0,0.0,0,0.0,50.0
Alex Walker,186495,QB,COAST CAR,1,1,0.0,0,141,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1,100.0,0.0
Shay Smith,188323,QB,UTEP,1,1,0.0,0,330,0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,100.0,0.0
Kiael Kelly,145634,QB,BALL ST,5,1,0.0,0,117,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0
Jackson Gutierrez,189488,QB,NAVY,1,1,0.0,0,237,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,100.0,0,0.0,0.0
Lucas Scheerhorn,190304,QB,KENNESAW,1,1,0.0,0,200,0,0,100.0,0.0,100.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Tim Carpenter,190715,QB,TULSA,3,1,0.0,0,320,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,1,1,0,0,100.0,100.0,0,0.0,0.0
Miles O'Neill,191260,QB,TEXAS A&M,1,1,0.0,0,312,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,100.0,0.0,0,0.0,0.0
Lex Thomas,170381,QB,NC STATE,2,1,0.0,0,248,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,100.0,0,0.0,0.0
Navy Shuler,122254,QB,TENNESSEE,1,1,0.0,0,307,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1,100.0,0.0
Dante Moore,173983,QB,OREGON,4,1,0.0,0,264,0,0,0.0,100.0,100.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Austin Novosad,174133,QB,OREGON,1,1,0.0,0,264,0,0,100.0,100.0,100.0,0.0,0,0,0,1,1,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Cameron Edge,162791,QB,MARYLAND,2,1,0.0,0,215,0,0,100.0,0.0,100.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Christian Gelov,123074,QB,PURDUE,1,1,0.0,0,273,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,100.0,0.0
Braden Bohannon,160367,QB,KENNESAW,1,1,0.0,0,200,0,0,100.0,0.0,100.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Zion Turner,158636,QB,JVILLE ST,1,1,0.0,0,196,0,0,100.0,0.0,100.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Haden Carlson,123620,QB,FIU,1,1,0.0,0,166,0,0,0.0,100.0,100.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Jalyn Gramstad,180656,QB,NEBRASKA,1,1,0.0,0,238,0,0,100.0,0.0,100.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
Jacob Knuth,157493,QB,KANSAS ST,2,1,0.0,0,199,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,100.0,0.0,0,0.0,0.0
Ethan Grunkemeyer,183606,QB,PENN STATE,1,1,0.0,0,266,1,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0,100.0,0.0
Mabrey Mettauer,183668,QB,WISCONSIN,1,1,0.0,0,349,0,0,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0
Hauss Hejny,183824,QB,TCU,1,1,0.0,0,305,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0,100.0,0.0,0,0.0,0.0
Landry Lyddy,156581,QB,UAB,2,1,0.0,0,321,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0,0.0,100.0
Trent Pearman,156233,QB,CLEMSON,3,1,0.0,0,140,0,0,0.0,0.0,100.0,0.0,0,0,0,0,0,1,1,0,0,1,0,0,0.0,100.0,0,0.0,0.0
Jalen Macon,153929,QB,N ILLINOIS,1,1,0.0,0,254,0,0,100.0,0.0,100.0,0.0,0,0,0,1,0,1,1,0,0,1,0,0,0.0,100.0,0,0.0,0.0
Hunter Herring,147138,QB,LA MONROE,2,1,0.0,0,209,0,0,0.0,100.0,100.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0
