player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kevin Jennings,158272,QB,SMU,14,87,21,6,33.5,145,0,261,0,0,16,90,36.3,14,24,287,7,25,47.8,85.1,89.6,85.0,62.2,60.0,63.1,60.1,59,0,0,0,1,413,172,24,0,63,5,433,149,1.71,5.0,0.0,24
Payton Thorne,101629,QB,AUBURN,11,86,8,1,7.0,31,0,190,0,0,1,66,3.3,12,20,115,3,17,68.4,74.7,88.2,74.4,,57.5,62.3,60.4,31,3,0,0,2,261,255,41,0,45,2,445,158,1.84,5.2,0.0,20
Nico Iamaleava,174728,QB,TENNESSEE,13,85,12,4,19.2,91,0,175,0,0,3,86,21.1,15,25,307,10,11,38.5,78.3,89.5,81.7,,,53.7,60.0,31,4,0,0,0,398,300,50,0,35,3,475,305,3.59,5.6,,13
Taisun Phommachanh,99577,QB,UMASS,9,85,31,2,7.3,33,0,239,0,0,12,142,56.3,15,26,216,4,17,46.5,62.7,65.8,62.7,,,59.4,60.0,33,4,0,0,0,273,216,30,0,55,3,455,378,4.45,5.4,,30
Thomas Castellanos,158433,QB,BOSTON COL,8,82,10,3,16.0,46,0,104,0,0,7,76,14.8,12,15,121,7,34,31.4,66.3,45.4,74.8,,,50.9,60.0,18,4,0,0,0,242,183,22,0,60,1,287,132,1.61,3.5,,6
CJ Bailey,183349,QB,NC STATE,12,81,28,0,0.0,0,0,148,0,0,12,73,40.5,12,21,248,8,16,34.3,74.0,78.4,74.3,62.2,51.6,61.6,60.7,31,1,-6,1,2,283,242,35,1,47,5,390,247,3.05,4.8,-3.0,12
Drew Allar,164157,QB,PENN STATE,16,81,21,0,0.0,0,0,98,0,0,6,68,28.3,17,36,266,5,11,69.2,82.2,90.7,79.1,,52.7,72.6,62.1,22,1,-4,0,9,448,321,43,0,38,6,419,252,3.11,5.2,-0.44,5
Aidan Chiles,173727,QB,MICH STATE,12,78,30,2,11.8,45,1,203,0,0,18,131,78.0,14,28,223,6,3,49.1,74.3,60.7,64.8,,60.0,84.9,60.0,26,7,0,0,1,310,177,23,0,55,3,380,279,3.58,4.9,0.0,26
Cam Fancher,145266,QB,FAU,9,76,17,4,31.6,154,0,268,0,0,9,128,75.7,18,25,165,4,13,55.1,62.2,62.3,59.9,,,63.3,60.0,76,2,0,0,0,211,220,37,0,39,3,488,248,3.26,6.4,,18
Athan Kaliakmanis,144971,QB,RUTGERS,13,75,5,1,5.9,20,0,130,0,0,1,64,3.2,13,25,278,2,6,76.2,77.3,75.0,73.0,,89.2,71.5,60.0,20,4,0,0,0,445,211,30,0,45,3,341,124,1.65,4.5,,18
