player,player_id,position,team_name,player_game_count,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating
Chad Mascoe II,160339,QB,CAMPBELL,8,2.48,118,73.7,81.2,8.8,3,2.3,3,2.3,3,11,6.8,1.69,18,11.1,1.7,120.5,58,55.2,64.2,9.7,4,6.0,3,3.1,2,1,13.2,3.58,38,26.3,11.6,80.0
Carter Cravens,150714,QB,MOREHEAD,9,2.63,102,60.8,69.8,6.8,3,2.8,4,3.5,4,5,6.3,1.86,22,27.3,5.6,81.1,70,40.0,48.4,9.1,7,9.2,4,3.8,1,5,20.3,3.49,55,23.6,13.4,91.1
Nate Yarnell,144037,QB,PITTSBURGH,8,2.76,76,71.1,79.7,5.7,0,0.0,1,1.1,1,8,5.5,1.93,17,23.5,5.0,114.5,92,47.8,59.8,6.8,7,7.1,8,6.3,4,2,14.0,3.37,66,19.7,10.8,59.4
Thomas Castellanos,158433,QB,BOSTON COL,8,3.27,59,72.9,78.9,6.1,0,0.0,1,1.7,2,6,4.8,1.87,5,0.0,0.0,107.9,102,54.9,60.4,9.9,6,5.7,6,4.1,3,12,14.5,3.87,62,29.0,12.7,115.9
Parker Awad,183974,QB,NEW MEX ST,7,2.82,78,53.8,68.1,6.0,1,1.2,7,8.1,2,3,5.6,1.86,16,25.0,4.9,74.3,86,39.5,57.1,7.3,7,7.4,4,3.3,2,4,16.8,3.56,57,22.8,11.5,71.3
Matthew Schecklman,159420,QB,N IOWA,8,2.63,106,64.2,76.7,6.4,3,2.8,3,2.8,2,2,6.2,1.91,17,5.9,0.9,80.6,68,57.4,64.6,8.9,7,9.7,5,5.3,0,5,12.0,3.48,37,43.2,17.8,111.4
Cutter Stewart,174531,QB,HOUCHR,9,2.19,141,56.7,62.5,8.4,9,6.2,10,6.8,6,11,9.9,1.78,14,14.3,1.4,92.8,44,31.8,43.6,7.1,1,2.2,5,9.1,2,2,15.7,3.29,20,25.0,9.4,54.5
Grayson James,145214,QB,BOSTON COL,6,2.71,83,75.9,85.9,6.1,1,1.1,3,3.3,1,3,4.3,1.83,20,15.0,3.5,97.9,83,51.8,64.7,8.4,6,6.7,6,5.3,1,3,15.3,3.47,58,15.5,8.4,87.2
Jack Wagner,175111,QB,IDAHO,9,2.92,89,61.8,65.9,6.9,7,7.5,1,1.1,1,5,11.0,1.84,8,0.0,0.0,96.4,83,47.0,53.8,9.3,7,7.8,6,5.3,4,7,19.1,3.85,30,30.0,8.7,88.2
Kamden Sixkiller,133096,QB,MCNEESE,8,2.67,103,61.2,69.3,6.0,1,0.9,1,0.9,0,2,6.7,1.84,9,22.2,1.9,84.6,57,36.8,49.0,5.4,3,4.8,5,5.2,6,1,15.4,3.65,45,28.9,14.8,21.6
Chris Zellous,153319,QB,HAMPTON,12,2.41,123,72.4,76.2,5.6,4,3.1,4,3.1,5,2,4.2,1.62,14,7.1,0.8,74.1,45,40.0,48.6,7.7,2,3.9,3,4.1,1,1,18.1,3.84,37,29.7,16.2,65.7
Jordyn Potts,174577,QB,TENN TECH,6,2.67,101,64.4,69.5,5.0,5,4.8,2,1.9,4,3,6.5,1.83,9,22.2,1.9,69.9,66,47.0,63.0,7.1,5,6.8,3,3.2,1,3,12.6,3.65,35,34.3,13.8,79.5
Mike Chandler,139371,QB,CAMPBELL,11,2.96,90,61.1,75.3,6.1,0,0.0,1,1.0,3,8,5.5,1.74,13,0.0,0.0,94.0,72,43.1,53.1,8.0,2,2.7,4,3.8,3,4,16.3,4.06,55,12.7,7.0,72.3
Bo Kelly,158923,QB,CAL POLY,8,2.57,110,73.6,80.0,6.4,3,2.5,2,1.7,3,3,6.8,1.85,13,0.0,0.0,87.9,62,50.0,59.6,7.2,5,7.9,4,5.0,3,3,13.5,3.6,26,11.5,3.8,69.6
Tate Rodemaker,122414,QB,SO MISS,8,2.58,92,58.7,71.1,3.6,0,0.0,5,5.1,6,3,4.3,1.88,22,13.6,3.2,49.6,74,60.8,68.2,8.8,4,5.0,5,5.2,1,4,10.5,3.33,51,21.6,12.2,101.9
Cade McNamara,101620,QB,IOWA,8,2.64,90,66.7,73.9,5.9,1,1.1,2,2.1,2,1,4.8,1.93,16,12.5,2.2,76.5,83,53.0,63.2,5.9,5,5.7,3,3.1,3,5,9.8,3.34,36,16.7,6.5,76.0
Zach Gibson,100201,QB,GA STATE,6,2.79,93,73.1,80.4,7.0,3,3.1,3,3.1,2,5,6.1,1.83,20,10.0,2.1,101.3,58,58.6,75.5,6.0,1,1.6,1,1.0,0,2,6.2,3.83,50,24.0,13.6,87.6
Hunter Helms,122149,QB,RHODE ISLD,9,2.28,120,69.2,76.5,7.4,2,1.6,5,4.0,4,3,7.5,1.9,14,7.1,0.8,85.0,53,43.4,50.0,7.3,4,7.1,7,10.8,5,2,15.8,3.03,22,18.2,6.5,42.0
Cooper Legas,101286,QB,TULSA,9,2.76,76,59.2,65.3,5.8,6,7.7,2,2.5,1,8,9.5,1.88,18,11.1,2.6,105.3,86,48.8,57.3,8.2,8,8.4,8,7.0,5,4,13.2,3.42,62,14.5,8.7,68.0
Jace Wilson,149892,QB,TEXAS STHN,8,2.85,85,61.2,72.3,4.9,1,1.1,2,2.2,2,3,6.4,1.91,14,14.3,2.3,75.4,60,36.7,53.8,5.4,0,0.0,7,6.9,4,1,14.5,3.76,41,31.7,13.8,33.0
Luca Stanzani,159449,QB,LIUSHAR,11,2.75,98,70.4,77.1,5.8,2,2.0,2,2.0,2,7,5.0,1.94,9,0.0,0.0,100.0,48,29.2,43.9,4.9,2,3.8,3,3.4,1,2,12.3,3.73,38,28.9,13.6,52.7
JT Fayard,172783,QB,NWSTATE,9,2.32,115,51.3,62.7,5.3,2,1.7,8,6.4,5,3,6.9,1.9,38,13.2,4.2,57.4,46,39.1,52.5,8.6,4,8.2,5,7.9,3,2,19.3,3.19,30,36.7,18.6,57.9
DJ Uiagalelei,122162,QB,FLORIDA ST,5,2.94,60,70.0,77.6,7.3,2,3.3,1,1.6,1,2,6.1,1.89,15,0.0,0.0,94.9,97,42.3,64.6,6.4,4,3.9,4,3.2,5,2,14.2,3.48,61,16.4,8.5,49.5
Jack Layne,158966,QB,IDAHO,6,2.57,88,71.6,78.6,7.5,2,2.2,3,3.2,1,6,6.4,1.74,13,7.7,1.1,110.8,67,55.2,66.7,12.2,6,8.6,4,4.4,3,8,14.5,3.43,36,25.0,10.2,119.9
Jayden Maiava,158135,QB,USC,5,2.73,99,65.7,75.0,6.4,5,5.0,4,4.0,4,6,5.9,1.94,26,0.0,0.0,86.9,70,51.4,61.0,8.1,4,5.3,4,4.8,2,5,14.5,3.75,35,14.3,6.4,90.5
Joe Labas,144847,QB,C MICHIGAN,6,2.58,87,63.2,72.6,6.6,2,2.2,2,2.2,1,3,7.4,1.91,13,15.4,2.2,89.2,73,53.4,67.2,7.3,4,5.1,8,8.3,6,4,11.5,3.26,43,14.0,6.8,61.2
Aidan Sayin,148974,QB,PENN,6,2.41,101,67.3,72.3,6.0,0,0.0,4,3.6,2,4,6.2,1.78,9,11.1,1.0,88.2,66,47.0,63.3,7.5,5,6.9,2,2.5,3,2,11.9,3.28,24,25.0,8.0,63.4
Jake Curry,185583,QB,S ILLINOIS,6,2.77,90,56.7,70.5,5.4,3,3.0,3,3.0,3,1,7.1,1.94,14,7.1,1.1,61.6,56,53.6,55.4,7.5,6,9.7,6,6.5,4,2,14.3,3.66,44,34.1,17.6,60.3
Kia'i Keone,179368,QB,N COLORADO,7,2.16,124,58.1,66.1,4.7,4,3.1,4,3.0,5,1,5.9,1.73,19,10.5,1.6,56.0,38,50.0,61.1,5.6,1,2.6,2,4.1,2,0,10.6,3.27,18,22.2,8.2,45.2
D.J. Smith,185876,QB,MERCER,10,2.67,92,79.3,85.6,8.5,1,1.1,2,2.2,4,5,2.6,1.69,7,0.0,0.0,101.9,47,59.6,78.0,11.3,5,9.8,5,5.8,2,4,12.0,3.77,47,38.3,22.2,109.4
Xavier Lankford,142724,QB,ALAB A&M,9,2.41,112,53.6,63.0,6.0,3,2.6,3,2.6,3,4,7.1,1.82,20,0.0,0.0,72.4,47,44.7,53.5,9.7,6,11.5,4,6.1,3,5,16.7,3.5,29,17.2,8.2,88.8
Malcolm Mays,165409,QB,HAMPTON,12,2.62,94,73.4,80.9,6.2,4,4.0,1,1.0,0,5,5.9,1.72,9,11.1,1.1,106.9,53,41.5,59.1,7.6,6,10.3,4,4.9,2,5,15.4,3.79,47,21.3,13.3,84.1
Cameron Peters,123326,QB,PRVIEW A&M,8,2.72,86,57.0,67.5,6.7,4,4.1,4,4.0,1,3,8.8,1.86,19,15.8,3.4,84.2,55,38.2,46.9,6.9,5,8.6,8,9.1,3,1,20.0,3.67,46,23.9,13.6,45.8
Dylan Laible,172564,QB,TENN TECH,7,2.22,97,58.8,65.6,5.2,3,3.0,2,1.9,2,1,8.3,1.86,15,40.0,5.8,67.7,48,54.2,69.0,8.4,4,8.0,3,4.8,2,3,10.6,3.01,27,40.7,18.0,85.9
Quincy Casey,104763,QB,W GEORGIA,7,2.47,108,56.5,66.0,6.9,6,5.2,3,2.6,3,10,9.4,1.84,16,0.0,0.0,97.3,42,57.1,64.1,8.9,3,7.1,2,3.3,2,1,10.6,3.6,38,13.2,8.3,75.0
Kareem Keye,197767,QB,ALABAMA ST,8,2.92,81,66.7,70.9,9.0,0,0.0,4,4.9,2,7,7.7,1.96,7,14.3,1.2,113.6,61,42.6,54.0,10.2,2,3.2,3,3.4,2,4,14.5,3.92,34,17.6,7.1,88.5
Zeon Chriss,156733,QB,HOUSTON,10,2.96,68,77.9,86.4,6.1,1,1.4,1,1.4,2,4,1.9,1.81,13,15.4,2.9,99.6,62,48.4,57.1,6.4,3,4.4,9,8.7,6,0,12.8,3.79,58,24.1,14.4,29.6
Nick Whitfield Jr.,159490,QB,ST FRANCIS,6,2.76,62,59.7,70.5,5.1,1,1.6,0,0.0,0,0,4.8,1.83,9,11.1,1.6,73.1,88,52.3,68.0,8.3,6,6.6,5,4.7,3,6,13.9,3.33,46,19.6,8.7,88.9
Donovan Smith,73929,QB,HOUSTON,7,2.89,69,71.0,75.8,4.7,0,0.0,1,1.3,3,2,3.4,1.79,10,40.0,5.5,72.4,65,56.9,71.4,8.3,2,2.9,6,6.2,5,2,10.2,3.81,47,25.5,13.3,62.1
Blake Horvath,162555,QB,NAVY,12,2.66,69,60.9,67.7,7.7,0,0.0,4,5.2,1,5,8.2,1.83,16,18.8,4.2,103.2,70,54.3,58.5,11.7,5,6.8,8,8.4,3,8,16.8,3.35,45,17.8,8.8,116.3
Byrum Brown,156206,QB,USF,5,3.07,58,75.9,85.7,6.3,0,0.0,0,0.0,0,2,2.0,1.94,13,0.0,0.0,102.9,74,45.9,55.1,6.4,2,2.5,2,1.7,0,0,13.9,3.69,57,28.1,15.1,67.0
Brennan Myer,192760,QB,BRYANT,7,2.71,80,63.8,75.0,8.1,2,2.4,2,2.3,4,10,9.1,1.88,12,16.7,2.4,107.7,63,55.6,70.7,7.4,1,1.5,3,3.6,4,2,11.1,3.62,38,21.1,10.3,63.5
Ethan Greenwood,161869,QB,LIUSHAR,9,3.38,56,64.3,71.7,8.6,2,3.4,2,3.4,2,4,8.2,1.93,9,11.1,1.8,100.4,56,39.3,44.4,8.1,6,10.3,2,1.9,0,2,18.0,4.22,45,33.3,14.6,80.3
Michael Hawkins Jr.,184595,QB,OKLAHOMA,7,3.27,60,76.7,83.3,5.5,0,0.0,2,3.1,1,1,3.6,1.78,12,8.3,1.6,87.6,60,50.0,73.3,7.5,3,4.3,3,2.7,1,2,13.7,4.2,56,26.8,15.2,79.2
Ethan Crawford,173571,QB,SO MISS,8,3.04,60,50.0,59.3,5.9,2,3.2,3,4.6,5,0,8.2,1.95,28,7.1,3.2,33.7,60,33.3,52.7,8.1,7,11.3,6,6.0,2,0,18.6,3.74,60,40.0,25.0,49.7
Demond Williams Jr.,183648,QB,WASHINGTON,13,3.21,58,87.9,91.1,6.8,1,1.7,0,0.0,0,2,2.9,1.72,5,40.0,3.3,106.4,47,66.0,73.8,11.7,6,11.5,3,2.9,1,6,12.8,4.18,63,31.7,20.8,136.6
Aidan Dunne,148181,QB,N IOWA,8,2.58,86,66.3,71.1,6.2,1,1.1,2,2.2,1,5,5.4,1.96,16,12.5,2.3,97.7,59,49.2,60.0,7.1,1,1.5,3,4.1,2,4,11.2,3.45,35,5.7,3.0,81.2
Zach Marker,173615,QB,DELAWARE,4,2.86,75,65.3,77.5,8.2,2,2.5,2,2.5,0,7,6.4,1.87,10,10.0,1.3,121.6,60,41.7,54.7,6.8,5,8.1,2,2.5,0,3,14.9,3.84,26,19.2,6.4,81.9
Kaleb Jackson,167198,QB,CHARLES SO,9,2.81,62,64.5,71.2,5.6,1,1.5,4,6.1,2,2,4.9,1.88,5,0.0,0.0,76.4,68,41.2,59.6,7.1,5,7.1,5,5.5,2,3,12.2,3.56,56,14.3,9.0,68.3
Gavin Rutherford,178188,QB,STF AUSTIN,9,2.75,75,76.0,79.7,5.9,0,0.0,0,0.0,0,2,3.5,1.72,5,20.0,1.3,98.9,49,38.8,48.8,8.4,3,5.7,3,3.7,2,2,16.0,3.81,37,37.8,18.2,65.9
Tahj Smith,173837,QB,MORGAN ST,6,2.81,76,63.2,75.7,5.6,2,2.4,2,2.4,1,1,4.0,1.92,22,9.1,2.5,76.9,40,42.5,54.5,7.1,2,4.7,3,3.9,0,2,13.2,3.77,39,38.5,20.8,83.8
Rob McCoy,108989,QB,CHARLES SO,8,2.37,91,62.6,67.0,5.1,0,0.0,3,3.3,5,2,6.1,1.86,15,0.0,0.0,60.0,42,50.0,61.5,8.4,3,6.8,5,8.5,2,2,16.3,3.24,27,29.6,14.0,74.8
Czavian Teasett,178078,QB,SOUTHERN U,8,2.65,79,64.6,75.0,7.2,4,4.7,3,3.4,2,4,8.1,1.9,19,15.8,3.7,92.3,45,37.8,40.9,7.5,2,4.1,4,5.6,0,2,19.5,3.59,35,22.9,12.1,79.8
Bryson Barnes,131845,QB,UTAH ST,7,2.59,70,72.9,80.3,5.0,1,1.4,2,2.7,2,9,5.1,1.86,17,0.0,0.0,111.1,56,44.6,62.5,8.2,3,5.3,5,6.4,4,2,16.1,3.35,30,20.0,8.0,55.5
Jacob Zeno,98014,QB,UAB,4,2.83,67,79.1,90.6,7.7,0,0.0,2,2.8,2,3,2.3,1.81,11,9.1,1.5,101.1,53,54.7,70.8,5.8,2,3.5,5,5.8,3,3,7.6,3.7,41,17.1,8.9,66.9
Nick Minicucci,173617,QB,DELAWARE,7,2.71,73,69.9,75.0,4.9,1,1.3,2,2.6,2,2,5.3,1.72,7,0.0,0.0,78.6,52,53.8,59.6,8.9,2,3.6,3,3.9,1,8,14.8,3.78,30,26.7,11.1,115.8
Stone Earle,123504,QB,MARSHALL,8,2.37,88,58.0,68.2,5.6,2,2.2,2,2.2,0,6,7.1,1.79,14,7.1,1.1,96.5,34,44.1,48.4,5.2,1,2.6,1,1.7,2,1,14.7,3.52,28,17.9,9.4,45.7
Malachi Marshall,191694,QB,STNY BROOK,5,2.57,77,54.5,60.3,6.9,1,1.2,1,1.2,1,1,6.8,1.82,14,0.0,0.0,75.2,45,37.8,45.0,6.4,1,2.1,3,4.5,1,0,13.7,3.56,33,21.2,10.9,51.2
Hunter Simmons,148254,QB,S ILLINOIS,5,2.49,73,60.3,75.0,6.1,4,5.3,2,2.6,0,3,7.2,1.92,17,5.9,1.4,91.4,54,51.9,61.5,7.6,4,7.0,0,0.0,0,0,12.1,3.15,27,25.9,10.4,76.9
Duce Taylor,150493,QB,MORGAN ST,7,2.55,72,73.6,81.2,6.0,1,1.4,0,0.0,1,2,3.2,1.86,11,9.1,1.4,91.9,46,56.5,68.3,8.8,1,2.1,3,4.5,0,1,12.1,3.41,36,27.8,15.4,93.0
Brock Glenn,170335,QB,FLORIDA ST,7,3.14,54,59.3,67.9,5.7,3,5.0,4,6.7,4,4,6.4,1.96,8,0.0,0.0,68.9,60,31.7,54.5,4.8,2,3.2,2,2.3,1,0,13.9,3.92,47,25.5,14.1,41.3
Van Weber,193276,QB,ALBANY,3,2.44,79,62.0,68.8,6.1,2,2.2,3,3.3,2,2,7.5,1.87,12,16.7,2.4,77.1,45,44.4,53.5,5.9,2,4.3,4,6.7,2,3,17.0,3.24,23,30.4,12.1,67.3
Josh Holst,171312,QB,N ILLINOIS,7,2.85,63,69.8,75.8,6.6,0,0.0,2,3.0,0,2,6.0,1.79,2,50.0,1.6,98.3,48,43.8,56.1,3.8,1,2.0,5,6.4,2,0,14.0,3.76,29,20.7,8.0,37.1
Conner Weigman,158683,QB,TEXAS A&M,6,2.98,59,67.8,72.4,6.9,1,1.6,3,4.6,0,2,5.6,1.94,17,5.9,1.7,98.6,55,43.6,62.5,7.4,4,6.8,5,6.0,5,1,13.1,3.77,37,21.6,10.1,37.6
C.J. Henry,155870,QB,DELWARE ST,8,2.66,75,68.0,78.1,4.3,0,0.0,1,1.2,3,0,5.2,1.94,10,50.0,6.3,59.9,38,36.8,44.1,7.6,1,2.5,2,3.3,1,2,18.5,3.65,27,51.9,24.1,70.9
Chase Goodwin,171117,QB,COLUMBIA,5,2.84,69,71.0,81.8,8.0,3,4.3,0,0.0,2,2,7.8,1.86,9,22.2,2.8,92.2,50,58.0,61.7,6.5,2,3.8,3,4.3,1,4,13.2,3.88,32,18.8,9.0,96.0
Blake Shapen,122282,QB,MISS STATE,4,2.69,65,73.8,81.0,8.4,3,4.3,0,0.0,0,5,6.6,1.78,7,14.3,1.5,124.1,43,60.5,75.0,10.0,4,8.2,6,7.7,1,3,13.7,3.53,40,25.0,14.1,107.7
Ben Gulbranson,131734,QB,OREGON ST,4,2.64,67,58.2,63.1,4.6,0,0.0,2,2.8,2,2,7.5,1.88,10,0.0,0.0,67.3,62,62.9,81.5,10.2,4,5.9,3,4.0,2,2,12.9,3.37,29,17.2,7.2,94.5
Chandler Wilson,177935,QB,VA MILT IN,8,2.7,62,62.9,68.3,3.4,0,0.0,1,1.5,1,1,3.7,1.71,11,18.2,3.1,67.3,52,28.8,40.5,4.2,3,5.8,7,9.9,5,2,14.0,3.58,34,32.4,15.5,17.9
Cole Freeman,145032,QB,COLUMBIA,6,2.86,66,65.2,75.8,6.7,1,1.5,1,1.4,1,3,7.5,1.91,9,11.1,1.5,93.3,49,36.7,52.5,6.6,4,8.0,8,11.6,5,4,17.1,3.79,42,23.8,14.7,48.0
Santino Marucci,144197,QB,NEW MEX ST,7,2.73,76,50.0,65.7,4.6,0,0.0,1,1.2,2,2,6.0,1.89,16,0.0,0.0,60.9,36,30.6,42.9,4.6,0,0.0,7,10.9,3,1,21.0,3.82,32,21.9,12.1,21.4
Dylan Rizk,174360,QB,UCF,6,2.85,61,73.8,80.0,7.2,1,1.6,2,3.2,1,2,6.2,1.9,9,11.1,1.6,97.8,58,46.6,58.0,8.0,3,5.0,4,5.4,1,3,14.7,3.68,24,16.7,5.7,84.1
Bronson Barben,188632,QB,UTAHTC,4,2.68,69,63.8,79.4,4.8,1,1.4,0,0.0,0,2,4.1,1.96,11,0.0,0.0,84.7,46,30.4,46.3,5.4,0,0.0,3,4.6,2,2,13.5,3.48,35,28.6,15.9,46.2
Jaylon Tolbert,154757,QB,HOWARD,6,2.64,67,70.1,77.3,6.3,1,1.4,3,4.3,0,4,6.5,1.76,10,10.0,1.5,106.7,56,53.6,66.7,8.4,5,8.6,3,4.6,4,2,13.3,3.58,30,10.0,4.8,63.8
Liam O'Brien,164675,QB,PENN,5,2.73,63,73.0,80.6,8.3,2,3.0,0,0.0,0,10,6.5,1.77,8,12.5,1.6,137.1,53,56.6,65.3,9.3,2,3.4,6,8.2,2,3,14.5,3.64,23,26.1,9.0,91.3
KJ Jefferson,99129,QB,UCF,5,3.09,36,69.4,71.4,9.7,0,0.0,1,2.6,1,2,4.9,1.78,4,0.0,0.0,107.3,72,54.2,62.7,9.2,5,6.6,6,6.1,3,5,14.3,3.61,43,30.2,13.8,91.4
Matthew Jenks,196957,QB,VA LYNCHBU,6,2.74,67,64.2,69.2,4.5,0,0.0,1,1.4,1,1,4.1,1.77,17,17.6,4.3,73.2,45,40.0,50.0,4.0,1,2.1,5,7.8,4,0,12.0,3.86,51,21.6,18.0,15.0
Luke Kromenhoek,183305,QB,FLORIDA ST,6,3.38,27,66.7,70.4,5.2,1,3.6,0,0.0,0,2,5.4,1.94,5,60.0,10.0,104.1,57,45.6,59.2,6.3,6,10.0,5,4.8,2,1,14.3,3.85,55,41.8,23.5,57.7
Ryan O'Connor,155510,QB,DELAWARE,3,2.65,55,78.2,87.0,5.7,0,0.0,2,3.3,0,2,3.1,1.84,3,0.0,0.0,102.6,68,50.0,54.5,8.4,7,9.7,3,3.9,1,6,16.5,3.3,17,11.8,2.8,101.8
Clifton McDowell,98003,QB,MCNEESE,6,2.77,71,59.2,74.2,8.5,3,4.1,1,1.4,1,3,9.1,1.78,10,10.0,1.4,95.2,41,48.8,52.5,11.0,4,9.3,4,7.0,2,3,19.1,4.13,29,17.2,9.3,92.4
Brady Hammonds,192233,QB,VA MILT IN,6,2.8,62,64.5,70.5,5.0,1,1.5,4,6.0,4,1,6.6,1.81,8,25.0,3.1,55.2,40,45.0,64.5,4.8,2,5.0,2,3.2,1,1,10.2,3.89,33,21.2,11.7,57.5
Kaden Anderson,127312,QB,WYOMING,9,2.75,56,69.6,75.0,5.8,0,0.0,1,1.6,0,2,6.3,1.98,13,0.0,0.0,96.2,64,48.4,67.9,9.9,8,12.3,4,5.9,3,4,15.3,3.4,30,3.3,1.5,85.0
Carson Jones,159807,QB,FURMAN,6,2.49,70,71.4,77.3,5.2,4,5.6,2,2.8,3,1,3.8,1.89,22,4.5,1.4,70.4,37,51.4,55.6,7.5,2,5.0,4,7.8,1,1,13.8,3.43,27,25.9,14.6,73.8
Pauly Seeley V,178692,QB,WOFFORD,4,3.01,34,67.6,69.7,4.2,0,0.0,1,2.9,2,1,5.5,2.08,5,0.0,0.0,61.2,75,42.7,53.0,5.9,1,1.3,6,7.0,5,2,11.8,3.42,30,6.7,2.4,43.4
Ashur Carraha,165036,QB,STHLSK,4,3.22,37,43.2,47.2,3.3,1,2.6,2,5.3,1,1,7.7,1.99,7,0.0,0.0,49.7,60,51.7,62.7,6.6,3,4.9,5,6.0,3,2,12.7,3.77,40,35.0,17.1,62.8
Eli Brickhandler,160410,QB,HOUCHR,7,2.7,58,51.7,56.9,6.7,3,4.8,1,1.5,0,3,9.5,1.87,9,33.3,4.9,90.2,22,45.5,47.6,9.3,3,11.1,3,4.7,2,1,18.5,3.59,28,50.0,24.6,56.1
Max Brown,157756,QB,CHARLOTTE,5,3.14,44,54.5,58.5,5.5,1,2.0,6,11.5,4,1,8.3,1.99,15,20.0,6.4,40.3,49,38.8,57.6,6.5,6,12.0,5,6.9,2,2,19.3,3.91,32,21.9,10.0,58.0
Michael Rostberg,172172,QB,STTHOM,8,2.69,48,45.8,55.8,3.2,0,0.0,2,4.1,2,0,5.7,1.9,9,0.0,0.0,36.1,51,37.3,39.6,5.2,2,3.7,5,7.0,4,2,15.8,3.26,23,39.1,13.4,35.0
Bryson Daily,147303,QB,ARMY,13,2.87,35,68.6,81.3,7.3,2,5.1,2,5.0,1,2,9.1,1.88,13,7.7,2.8,96.7,68,44.1,52.4,11.0,8,11.0,9,11.0,3,7,20.3,3.37,33,9.1,3.9,100.6
Forrest Brock,173260,QB,TEMPLE,3,2.48,65,67.7,74.2,4.7,0,0.0,2,2.8,3,0,3.3,1.84,14,7.1,1.5,58.9,37,43.2,50.0,6.3,2,4.7,1,1.9,2,1,13.0,3.39,25,28.0,14.9,50.8
Bronson Barron,141710,QB,SO UTAH,6,2.98,39,59.0,72.2,6.3,0,0.0,1,2.3,1,1,7.8,1.93,2,50.0,2.5,75.4,61,44.3,58.9,8.2,4,6.3,6,8.0,4,5,15.6,3.57,32,12.5,5.6,73.3
Carlos Davis,139131,QB,TOWSON,5,2.98,53,69.8,75.5,7.1,1,1.9,3,5.7,2,2,5.1,1.92,9,0.0,0.0,86.7,40,47.5,55.6,5.3,1,2.2,0,0.0,0,1,12.4,3.98,32,15.6,8.9,71.9
Jackson Akins,191379,QB,CAL POLY,4,2.38,69,69.6,76.8,5.6,0,0.0,1,1.3,1,2,5.3,1.85,12,16.7,2.8,86.9,30,73.3,76.7,9.7,4,12.1,1,2.5,1,2,12.8,3.39,10,30.0,8.1,111.8
Graham Mertz,97994,QB,FLORIDA,5,2.81,49,81.6,87.2,7.5,2,3.8,2,3.7,1,4,3.9,1.82,9,11.1,2.0,116.6,45,71.1,77.3,9.4,2,4.2,3,4.8,1,2,11.6,3.67,19,15.8,5.3,106.2
Jack Salopek,130662,QB,ELON,7,2.82,45,64.4,83.3,5.3,0,0.0,0,0.0,0,0,3.2,1.8,7,14.3,2.2,77.8,38,47.4,68.6,6.6,1,2.5,5,7.8,2,1,9.7,3.6,31,51.6,26.2,55.8
Grant Wilson,143041,QB,DOMINION,3,2.86,42,73.8,80.5,6.2,1,2.3,2,4.5,1,2,5.7,1.92,7,14.3,2.3,95.2,45,40.0,50.0,5.7,2,4.2,6,8.7,2,2,12.6,3.49,38,28.9,17.2,55.6
Jack O'Connell,165100,QB,STHLSK,5,2.89,43,53.5,62.5,6.1,1,2.2,4,8.9,3,5,9.6,1.92,11,0.0,0.0,81.7,41,51.2,62.2,10.1,2,4.7,2,3.1,1,3,13.8,3.55,30,23.3,11.1,101.2
Chandler Fields,97286,QB,LA LAFAYET,7,3.02,46,73.9,81.0,6.4,0,0.0,1,2.1,1,1,4.9,1.71,4,0.0,0.0,88.5,42,69.0,75.0,14.3,7,15.6,0,0.0,0,4,16.1,4.06,19,21.1,6.9,143.5
Ari Patu,146360,QB,N ALABAMA,3,2.69,59,62.7,72.4,5.2,1,1.7,2,3.3,5,1,4.2,1.77,9,11.1,1.7,46.5,28,39.3,54.5,8.2,2,7.1,3,6.8,1,0,16.1,4.03,28,21.4,14.0,54.0
Ryan Browne,174949,QB,PURDUE,8,3.64,30,66.7,70.0,7.5,2,6.3,2,6.3,1,1,6.7,1.79,4,0.0,0.0,86.0,46,50.0,65.0,6.7,2,4.2,3,4.0,1,3,10.9,4.41,44,22.7,13.9,84.2
Arch Manning,173162,QB,TEXAS,7,2.74,48,77.1,86.7,8.4,2,4.1,0,0.0,0,4,3.9,1.74,4,0.0,0.0,129.0,42,57.1,65.0,12.8,4,8.9,2,3.4,2,5,19.2,3.65,22,31.8,13.2,121.5
Luke Schomburg,159795,QB,CHATTNOOGA,6,2.63,52,65.4,69.4,7.6,2,3.5,3,5.2,1,2,9.5,1.92,6,16.7,1.9,93.2,40,37.5,54.5,6.4,2,4.7,4,8.2,4,2,14.5,3.44,20,30.0,13.0,37.1
Dante Perri,143112,QB,LEHIGH,11,2.82,47,68.1,71.7,6.1,3,5.6,0,0.0,0,2,8.3,1.8,5,20.0,2.1,98.4,42,31.0,35.9,6.3,5,11.6,7,13.5,4,3,17.5,3.78,21,19.0,7.8,38.4
