player,player_id,position,team_name,player_game_count,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating
Alonza Barnett III,156710,QB,JAMES MAD,12,2.79,194,68.6,81.7,7.1,5,2.6,4,2.0,1,12,5.7,1.81,17,23.5,2.0,107.4,161,49.7,65.4,7.5,9,5.3,9,3.9,3,14,14.1,3.66,99,30.3,13.5,96.0
Jameson Wang,148782,QB,CORNELL,10,2.75,211,73.5,78.2,6.3,5,2.3,10,4.6,6,19,5.4,1.87,21,4.8,0.5,107.7,167,51.5,64.3,7.2,13,7.3,7,3.2,5,5,12.9,3.65,70,10.0,3.4,72.6
Austin Smith,145763,QB,AUSTINPEAY,12,2.77,205,68.3,79.1,7.2,6,2.9,3,1.4,3,7,5.7,1.94,37,16.2,2.8,94.2,135,54.1,64.5,6.6,6,4.3,7,3.3,4,8,10.9,3.63,103,32.0,16.1,81.9
Nico Iamaleava,174728,QB,TENNESSEE,13,2.95,165,77.0,85.4,6.4,2,1.2,5,2.8,1,9,5.0,1.83,15,33.3,2.9,108.5,169,50.9,59.1,9.2,15,8.2,6,2.3,4,10,16.9,3.76,105,23.8,10.2,92.9
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,13,2.73,209,67.0,73.9,7.1,8,3.6,3,1.3,2,5,5.3,1.82,22,4.5,0.5,91.3,171,52.0,62.7,7.5,11,6.2,10,4.7,7,9,15.0,3.69,78,10.3,4.0,77.0
Cam Miller,125299,QB,N DAK ST,16,2.87,199,79.4,83.8,8.0,7,3.3,2,1.0,2,22,7.0,1.89,19,0.0,0.0,132.8,152,65.8,69.1,10.9,13,7.8,7,3.1,2,11,14.4,3.8,81,27.2,10.4,120.9
Luke Altmyer,146802,QB,ILLINOIS,13,2.98,166,67.5,75.6,7.4,4,2.3,2,1.1,2,10,7.1,1.89,29,17.2,2.9,104.3,183,54.1,66.9,8.1,16,7.9,12,4.6,4,12,13.9,3.76,125,20.0,10.5,93.9
Sawyer Robertson,146839,QB,BAYLOR,12,2.57,220,65.5,71.2,7.9,9,3.8,7,3.0,5,16,7.6,1.78,25,4.0,0.5,104.1,146,56.2,65.0,9.1,6,3.7,9,4.5,3,12,12.7,3.58,71,21.1,8.2,105.7
Avery Johnson,173108,QB,KANSAS ST,13,3.07,165,66.7,79.1,6.9,4,2.4,5,2.9,5,13,6.3,1.92,19,0.0,0.0,100.0,207,50.7,64.0,7.6,11,5.1,9,3.6,5,12,12.0,3.87,101,10.9,4.6,85.1
Jake Retzlaff,70874,QB,BYU,13,2.74,191,67.0,79.7,6.9,2,1.0,3,1.5,6,11,6.0,1.81,19,5.3,0.5,92.9,176,48.3,59.4,9.2,10,5.3,15,6.6,6,9,17.1,3.59,97,16.5,7.5,83.6
Beau Brungard,164897,QB,YNGTOWN ST,12,3.24,157,78.3,81.2,7.1,3,1.9,2,1.3,2,6,5.5,1.9,15,0.0,0.0,103.7,160,55.0,63.0,6.5,5,3.0,13,5.2,9,6,12.0,4.12,112,17.9,8.2,63.9
Connor Watkins,108971,QB,VILLANOVA,14,2.72,184,64.1,74.7,5.9,5,2.6,5,2.5,2,6,6.0,1.87,29,20.7,3.2,86.3,160,36.9,43.8,6.3,5,2.9,4,1.8,3,7,16.9,3.54,103,26.2,12.9,66.0
Brady Olson,147415,QB,CENT CT ST,13,2.59,208,59.1,68.3,6.1,6,2.7,8,3.6,5,10,6.5,1.87,29,6.9,1.0,82.9,154,40.3,51.7,6.3,11,6.8,8,4.0,7,7,14.4,3.4,73,11.0,4.2,58.0
Mekhi Hagens,167009,QB,ARKAPB,12,3.19,158,66.5,75.5,6.6,4,2.4,2,1.2,3,4,5.1,1.8,22,18.2,2.5,85.6,173,39.3,54.2,8.5,17,9.0,14,5.6,4,12,17.1,4.16,138,24.6,14.5,83.8
Sonny Mannino,166694,QB,MARIST,11,2.98,171,67.3,76.4,5.1,1,0.6,3,1.7,3,8,3.9,1.77,15,6.7,0.6,87.6,155,38.7,50.4,5.9,16,9.5,10,4.3,3,6,16.4,3.97,121,16.5,9.2,63.9
Anthony Colandrea,170131,QB,VIRGINIA,11,2.91,178,73.0,79.5,6.2,1,0.5,2,1.1,2,5,4.3,1.82,34,17.6,3.3,93.3,140,47.1,58.5,7.3,11,7.1,13,5.8,9,8,13.2,3.88,122,27.0,15.9,64.0
Dean DeNobile,159740,QB,LAFAYETTE,12,2.69,215,72.6,80.3,6.3,7,3.2,3,1.4,7,12,7.3,1.82,17,0.0,0.0,93.8,137,52.6,60.7,7.9,11,7.6,7,3.8,5,2,15.9,3.79,79,30.4,13.8,68.3
Tyler Riddell,102355,QB,GARD-WEBB,12,2.84,184,72.3,77.5,6.8,5,2.6,2,1.0,2,11,3.8,1.8,21,9.5,1.1,106.2,162,51.2,61.9,8.0,10,5.7,9,4.2,9,5,13.6,3.83,93,18.3,8.5,65.3
Payton Thorne,101629,QB,AUBURN,11,2.77,206,68.9,76.0,7.0,1,0.5,2,0.9,3,11,7.3,1.84,25,20.0,2.4,100.3,112,50.9,67.0,11.4,9,7.7,4,2.2,6,10,15.9,3.9,90,24.4,12.6,99.4
Danny O'Neil,184200,QB,S DIEGO ST,11,2.76,179,75.4,82.7,5.9,2,1.1,1,0.5,2,6,4.3,1.83,22,18.2,2.2,96.2,151,47.7,59.1,7.5,11,6.4,6,2.7,4,6,16.5,3.64,100,21.0,10.5,75.1
Carter Peevy,129563,QB,MAINE,12,2.94,176,72.2,75.7,5.9,3,1.6,4,2.1,1,11,6.0,1.79,23,30.4,3.8,105.4,149,59.1,71.8,9.4,13,8.2,6,2.8,4,7,12.8,3.98,105,22.9,11.9,95.0
Cole Gonzales,159939,QB,W CAROLINA,8,2.65,177,66.1,72.5,6.5,2,1.1,4,2.1,3,5,6.1,1.85,23,0.0,0.0,86.5,155,57.4,65.1,9.0,13,7.9,10,4.7,4,7,12.2,3.37,79,22.8,8.9,91.8
Jacolby Criswell,122830,QB,N CAROLINA,12,2.93,150,66.0,76.8,6.9,1,0.6,5,3.1,1,5,4.2,1.91,33,18.2,3.8,94.1,172,50.6,61.4,8.3,9,4.8,7,2.9,5,10,15.6,3.67,118,15.3,8.1,86.0
C.J. Ogbonna,149182,QB,BUFFALO,13,2.5,218,64.7,73.0,6.7,10,4.4,6,2.6,4,9,7.5,1.87,38,18.4,3.1,90.0,119,41.2,57.4,7.7,13,10.2,6,3.7,1,10,15.4,3.44,82,17.1,9.1,92.9
LaNorris Sellers,174326,QB,S CAROLINA,12,3.31,126,74.6,78.7,7.6,1,0.8,4,3.0,2,10,3.9,1.98,24,12.5,2.3,115.7,173,58.4,71.4,9.0,15,7.8,15,5.5,5,8,12.8,4.0,138,20.3,11.2,91.8
Nate Glantz,157587,QB,LNDNWD,12,2.83,179,65.4,72.6,8.2,10,5.2,6,3.0,4,12,7.6,1.76,24,50.0,6.3,103.7,126,49.2,62.4,6.9,6,4.5,11,5.6,7,5,13.6,3.95,89,31.5,15.1,61.9
Mark Gronowski,138303,QB,S DAK ST,15,2.76,184,69.6,76.2,7.6,5,2.7,2,1.0,4,10,6.0,1.81,26,11.5,1.6,100.8,153,51.0,61.7,8.6,15,9.3,5,2.5,3,13,13.1,3.73,81,4.9,2.1,100.6
Garrett Greene,123420,QB,W VIRGINIA,11,3.01,154,69.5,78.7,6.3,4,2.5,6,3.6,5,10,5.8,1.86,26,15.4,2.5,94.5,161,50.9,61.3,8.2,14,7.8,9,3.8,7,5,15.0,3.85,94,19.1,8.3,70.8
Aidan Chiles,173727,QB,MICH STATE,12,3.09,153,67.3,72.4,6.4,1,0.6,7,4.3,5,5,6.5,1.94,28,7.1,1.3,82.2,171,52.0,64.0,8.4,12,6.6,13,5.6,6,8,13.8,3.91,115,21.7,11.4,81.3
Grant Sergent,108937,QB,SAN DIEGO,11,2.79,168,61.9,67.7,6.4,6,3.4,3,1.7,2,11,8.2,1.93,22,22.7,2.9,97.4,154,57.1,66.7,8.5,19,11.6,5,2.4,3,15,15.4,3.56,91,27.5,12.6,109.7
Miller Moss,70727,QB,USC,9,2.59,188,70.7,77.8,6.6,7,3.5,3,1.5,3,12,4.8,1.9,34,5.9,1.1,103.0,175,57.1,66.7,7.5,6,3.3,9,4.8,6,6,10.8,3.3,80,8.8,3.8,78.1
Daniel Richardson,97103,QB,FL A&M,12,2.64,176,83.0,86.7,7.5,4,2.1,5,2.6,2,12,3.8,1.84,20,5.0,0.6,116.0,159,56.0,66.9,8.7,13,7.6,12,5.7,6,11,14.1,3.37,89,23.6,10.7,92.4
