player,player_id,position,team_name,player_game_count,comp_pct_diff,ypa_diff,no_screen_accuracy_percent,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_interceptions,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_ypa,npa_accuracy_percent,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_def_gen_pressures,npa_drop_rate,npa_interceptions,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_ypa,pa_accuracy_percent,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_def_gen_pressures,pa_drop_rate,pa_interceptions,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_ypa,screen_accuracy_percent,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_def_gen_pressures,screen_drop_rate,screen_interceptions,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_ypa
Jackson Arnold,173684,QB,OKLAHOMA,10,-6.92,-1.3,68.2,209,9.9,3.09,7,3.2,57.4,125,8.4,3,28.0,89.2,12.2,12,8,2.7,6.3,75.2,155,7.0,2.97,4,2.4,65.2,82,7.3,1,30.5,92.5,12.1,6,3,1.4,6.2,67.9,91,9.2,2.84,3,3.3,58.2,50,7.0,2,22.0,83.9,9.2,6,5,4.1,4.9,94.6,37,-3.0,1.72,0,0.0,91.9,7,2.9,0,14.3,79.2,2.5,0,0,0.0,2.7
Kaidon Salter,132046,QB,LIBERTY,11,10.85,2.92,64.6,237,13.5,3.13,19,7.4,53.2,95,12.5,6,21.1,86.4,6.9,14,14,4.5,7.4,62.4,178,12.0,2.96,10,5.3,52.2,62,9.7,3,12.9,87.0,3.9,12,8,3.6,6.2,74.7,84,11.5,3.06,9,9.7,63.1,33,14.5,3,36.4,89.8,11.2,3,6,5.1,9.1,84.0,25,-2.5,1.56,0,0.0,80.0,0,4.8,0,,99.7,0.0,1,0,0.0,4.7
Michael Van Buren Jr.,184764,QB,MISS STATE,9,2.22,3.17,61.3,228,13.2,2.88,14,5.7,50.0,113,8.8,7,23.0,74.7,9.2,9,11,3.6,7.3,65.4,147,8.4,2.73,2,1.3,53.7,69,7.1,5,24.6,71.4,9.4,6,6,3.1,6.0,66.3,109,15.3,2.76,12,10.3,56.0,44,9.0,2,20.5,94.6,6.9,5,5,3.6,9.2,100.0,28,-2.3,1.41,0,0.0,92.9,0,3.7,0,,122.2,0.0,2,0,0.0,7.6
Braedyn Locke,157141,QB,WISCONSIN,10,0.06,2.15,65.1,258,10.5,2.68,10,3.6,51.9,65,11.3,10,15.4,72.4,3.7,12,18,6.2,6.6,68.8,195,7.4,2.5,4,1.9,55.4,52,10.7,8,17.3,67.3,4.4,7,14,6.4,5.8,69.2,101,11.2,2.66,6,5.5,55.4,15,11.1,2,6.7,93.0,1.0,6,4,3.5,8.0,94.3,38,-3.1,1.69,0,0.0,78.9,2,9.1,0,0.0,100.0,0.0,1,0,0.0,5.9
Christian Veilleux,145086,QB,GA STATE,10,-1.45,2.17,64.2,239,12.7,2.54,11,4.3,51.5,85,12.1,11,11.8,75.0,3.9,13,15,5.5,7.5,71.5,206,8.7,2.3,6,2.8,57.8,57,10.5,10,8.8,63.1,2.3,4,13,5.7,6.4,66.7,87,11.7,2.5,5,5.4,56.3,31,12.5,1,16.1,114.4,5.3,9,2,2.0,8.6,94.2,54,-3.2,1.51,0,0.0,83.3,3,8.2,0,0.0,88.2,0.0,0,0,0.0,5.2
Marcel Reed,175940,QB,TEXAS A&M,10,-6.4,1.08,64.9,223,11.3,3.21,8,3.4,58.3,95,5.1,6,13.7,93.6,4.7,14,10,3.5,8.0,69.3,175,9.8,3.16,8,4.4,62.3,71,5.2,5,15.5,88.1,5.0,8,8,3.5,7.4,64.1,68,11.3,2.99,0,0.0,55.9,25,7.3,1,8.0,112.1,2.5,7,2,2.4,8.5,100.0,20,-2.1,1.87,0,0.0,85.0,1,10.5,0,0.0,101.9,0.0,1,0,0.0,4.5
Ethan Vasko,163817,QB,COAST CAR,12,-1.21,4.22,60.0,233,13.2,2.75,19,7.6,48.9,88,13.6,7,5.7,82.5,2.0,13,10,3.7,8.0,65.3,201,10.2,2.49,13,6.0,54.7,65,11.3,6,6.2,74.6,1.9,7,8,3.5,6.7,64.7,71,12.4,2.79,6,7.9,53.5,26,13.6,2,7.7,113.2,2.6,7,3,3.6,10.9,94.7,39,-3.2,1.5,0,0.0,87.2,3,5.6,1,33.3,90.0,2.4,1,1,2.4,6.1
Ethan Hampton,145858,QB,N ILLINOIS,11,4.29,3.85,68.0,224,9.4,2.7,5,2.1,54.5,91,9.0,6,16.5,81.9,5.7,12,12,4.3,6.7,69.7,170,7.0,2.33,2,1.1,56.5,61,9.4,4,14.8,70.8,4.7,5,8,4.0,5.2,73.9,79,10.9,3.1,3,3.7,60.8,32,5.9,2,18.8,109.5,6.0,7,4,3.9,9.1,95.8,25,-1.6,1.53,0,0.0,88.0,2,4.3,0,0.0,85.2,0.0,0,0,0.0,4.4
Davis Bryson,160369,QB,KENNESAW,11,-11.29,3.55,59.4,231,8.7,2.49,4,1.7,51.9,77,7.0,10,19.5,61.6,5.8,6,10,3.7,6.2,64.4,216,6.5,2.26,4,1.8,56.9,61,6.8,7,18.0,58.8,4.6,1,9,3.6,5.1,57.5,46,11.5,2.88,0,0.0,45.7,20,8.7,3,20.0,85.1,7.8,5,1,1.9,8.6,92.9,31,-3.2,1.45,0,0.0,77.4,4,7.7,0,0.0,79.1,0.0,0,0,0.0,2.4
Taisun Phommachanh,99577,QB,UMASS,9,-3.41,2.11,65.1,212,11.3,2.95,8,3.5,53.3,93,9.6,6,23.7,74.8,8.3,7,9,3.2,7.0,67.7,179,9.1,2.82,4,2.1,57.0,76,8.1,5,22.4,77.2,7.7,7,8,3.4,6.3,68.0,56,12.3,2.87,4,6.7,53.6,20,11.8,1,25.0,80.3,7.4,1,1,1.4,8.4,90.9,23,-2.8,1.59,0,0.0,82.6,3,5.0,0,0.0,103.1,0.0,1,0,0.0,5.3
Haynes King,124329,QB,GA TECH,11,3.88,2.33,75.6,200,9.6,2.78,8,3.7,64.0,55,5.9,2,12.7,101.6,3.3,10,3,1.3,8.1,80.0,187,5.8,2.38,3,1.5,71.1,43,2.2,2,16.3,104.1,3.6,10,3,1.4,7.0,87.3,84,6.7,2.64,5,5.8,75.0,17,8.7,0,5.9,119.5,1.1,4,0,0.0,9.4,100.0,71,-3.1,1.52,0,0.0,95.8,5,1.4,0,20.0,114.0,1.4,4,0,0.0,6.8
Hudson Card,123109,QB,PURDUE,10,11.77,2.46,69.6,220,11.0,3.27,8,3.4,54.5,120,11.1,6,16.7,75.9,7.8,8,9,3.3,6.6,69.5,174,9.4,2.98,7,3.8,54.0,81,12.1,6,21.0,70.4,8.5,7,8,3.8,5.8,77.9,76,9.2,3.38,1,1.3,65.8,42,5.7,1,7.1,94.7,3.5,2,1,1.1,8.3,89.3,30,-2.0,1.61,0,0.0,80.0,3,4.0,1,0.0,89.4,0.0,1,0,0.0,6.1
Kirk Francis,173296,QB,TULSA,11,-2.04,2.75,63.7,229,11.6,2.89,17,6.9,54.6,88,8.8,6,14.8,76.6,5.0,9,15,5.5,6.4,65.9,173,8.6,2.73,8,4.4,59.5,61,4.6,6,18.0,67.5,5.6,4,11,5.4,5.4,70.7,80,13.5,2.83,9,10.2,57.5,28,13.2,0,10.7,104.8,3.4,5,4,4.1,8.2,100.0,24,-2.9,1.5,0,0.0,100.0,1,0.0,0,100.0,86.1,4.0,0,0,0.0,4.7
Skyler Locklear,164027,QB,UTEP,10,-13.28,2.77,65.7,188,11.7,3.21,14,7.0,55.3,92,6.3,6,14.1,80.2,5.7,9,10,4.2,7.0,77.2,171,6.4,2.82,7,3.9,67.3,68,5.7,3,17.6,89.6,5.7,7,7,3.2,6.0,60.7,63,15.8,3.24,7,10.6,54.0,28,0.0,3,7.1,79.8,2.8,3,4,5.4,8.8,100.0,46,-1.8,1.64,0,0.0,97.8,4,0.0,0,25.0,97.8,2.0,1,1,1.9,5.7
Cam Fancher,145266,QB,FAU,9,-2.59,-0.83,68.6,173,10.8,3.49,4,2.2,56.6,102,6.7,6,21.6,79.3,9.5,6,10,4.1,7.9,71.9,149,7.7,3.29,4,2.6,59.7,77,8.2,4,18.2,80.7,7.4,4,5,2.5,7.5,67.9,63,9.0,3.09,0,0.0,57.1,36,5.3,2,27.8,74.7,11.9,2,6,6.7,6.6,78.9,39,-2.9,1.75,0,0.0,69.2,11,10.0,0,18.2,77.4,4.9,0,1,2.4,4.2
Katin Houser,158386,QB,E CAROLINA,9,-3.13,2.93,62.2,199,14.1,2.55,19,8.8,53.3,55,9.4,10,16.4,88.6,4.1,16,14,6.0,8.7,71.5,145,7.9,2.15,6,3.9,61.4,33,9.2,5,15.2,78.8,3.1,5,10,5.9,6.8,62.6,103,15.0,2.54,13,11.4,58.3,24,3.2,6,16.7,106.6,3.6,13,4,3.3,9.7,89.6,49,-1.8,1.37,0,0.0,87.8,2,0.0,1,0.0,93.8,0.0,2,0,0.0,5.3
Colton Joseph,172283,QB,DOMINION,9,4.49,4.95,57.8,168,14.3,3.18,6,3.3,51.8,87,6.5,5,20.7,85.5,8.5,10,19,8.4,7.9,65.2,144,8.5,2.84,2,1.3,58.3,71,6.7,4,15.5,74.0,6.4,5,14,7.7,5.6,65.8,78,13.9,2.93,4,4.8,62.8,22,2.0,1,31.8,118.6,7.3,6,6,5.9,10.5,88.7,54,-1.5,1.73,0,0.0,85.2,6,2.1,0,0.0,96.1,0.0,1,1,1.8,5.6
Brock Vandagriff,146713,QB,KENTUCKY,11,-11.9,-0.04,66.9,195,12.5,3.21,15,7.1,52.8,101,8.8,8,24.8,75.8,10.5,9,12,4.6,7.5,73.6,142,8.2,2.92,8,5.3,61.3,64,8.4,5,29.7,80.3,11.1,5,6,3.3,7.2,64.6,79,14.9,3.25,7,8.1,49.4,39,7.1,3,15.4,78.5,6.4,5,6,5.8,7.2,96.0,26,-3.0,1.42,0,0.0,88.5,2,4.2,0,0.0,99.2,0.0,1,0,0.0,4.7
Isaac Wilson,183872,QB,UTAH,9,9.13,3.08,61.0,196,11.8,3.11,7,3.5,51.5,90,9.0,11,21.1,65.9,8.2,9,17,7.1,6.9,63.0,173,9.4,2.95,4,2.3,54.3,77,7.8,10,20.8,57.8,7.9,5,15,7.2,6.0,71.4,52,10.9,3.05,3,5.6,63.5,17,5.7,1,17.6,116.7,5.0,5,2,3.2,9.1,89.7,29,-3.3,1.91,0,0.0,89.7,4,0.0,0,0.0,99.1,0.0,1,0,0.0,5.0
Evan Svoboda,157664,QB,WYOMING,10,-8.89,2.27,57.8,202,13.6,2.93,8,3.7,45.5,85,14.0,7,31.8,58.9,11.3,5,13,5.1,6.0,66.4,165,10.0,2.81,7,3.8,51.5,69,15.8,5,30.4,58.2,10.9,2,9,4.3,5.2,47.4,61,16.3,2.95,1,1.6,42.6,19,3.7,3,31.6,64.7,8.5,3,5,7.0,7.5,87.5,24,-2.5,2.0,0,0.0,79.2,3,9.5,1,0.0,67.4,0.0,0,1,3.8,4.3
Kyron Drones,144506,QB,VA TECH,9,7.86,3.48,70.6,199,10.2,3.16,9,4.3,57.8,98,9.4,5,13.3,87.2,5.7,10,9,3.8,7.4,70.3,152,7.9,2.89,3,1.9,57.9,68,9.3,4,14.7,81.1,5.7,8,6,3.3,5.8,77.6,73,9.9,3.17,6,7.9,65.8,32,7.7,2,9.4,93.3,3.8,2,3,3.6,9.3,88.0,26,-3.4,1.54,0,0.0,80.8,2,4.5,1,0.0,66.0,0.0,0,0,0.0,3.7
Gevani McCoy,147609,QB,OREGON ST,9,6.08,2.76,64.8,185,9.6,3.02,7,3.5,58.9,72,6.0,6,20.8,70.5,6.6,3,7,2.9,6.6,66.2,157,7.8,2.9,2,1.2,59.9,59,6.0,6,20.3,62.1,6.3,1,7,3.6,5.8,69.6,47,10.5,3.11,5,9.3,66.0,17,3.1,0,17.6,106.7,5.3,2,0,0.0,8.5,88.9,19,-3.3,2.05,0,0.0,84.2,4,0.0,0,0.0,85.7,0.0,0,0,0.0,4.6
DeShawn Purdie,184271,QB,CHARLOTTE,9,3.01,-0.7,53.8,184,16.9,2.91,24,12.1,45.7,87,7.7,6,26.4,83.5,10.5,10,20,8.5,9.3,56.0,117,14.0,2.86,15,11.9,48.7,56,6.6,5,26.8,74.7,10.5,4,15,9.8,9.2,60.0,87,15.8,2.64,9,9.7,51.7,31,6.3,1,25.8,98.9,8.1,6,5,4.8,8.5,90.0,20,-3.6,1.31,0,0.0,90.0,0,0.0,0,,89.0,0.0,0,0,0.0,5.4
Matthew Caldwell,150302,QB,TROY,9,7.37,0.49,70.6,196,9.9,2.78,7,3.4,60.2,65,5.6,8,15.4,85.7,4.8,12,13,5.9,7.2,68.6,130,8.6,2.64,5,3.7,60.0,40,3.7,7,20.0,71.3,5.7,5,12,8.1,6.9,81.4,95,7.7,2.56,2,2.0,67.4,25,8.6,1,8.0,112.7,2.0,8,1,1.0,7.4,96.3,29,-2.7,1.43,0,0.0,82.8,0,7.7,0,,105.0,0.0,1,0,0.0,6.4
Braylon Braxton,144442,QB,MARSHALL,11,3.15,1.43,63.0,161,14.5,3.08,12,6.9,52.2,61,8.7,2,14.8,109.2,4.8,17,8,4.0,8.1,68.8,136,9.3,2.78,5,3.4,58.8,45,7.0,0,15.6,108.9,4.5,11,3,1.8,7.4,71.2,71,12.5,2.75,7,9.5,62.0,19,6.4,2,10.5,116.3,2.4,8,5,5.9,8.8,91.1,46,-2.6,1.57,0,0.0,87.0,3,2.4,0,0.0,111.2,0.0,2,0,0.0,7.2
Emmett Brown,157344,QB,S JOSE ST,8,-4.26,-2.18,65.1,210,13.1,2.56,13,5.8,56.2,63,7.1,5,11.1,95.4,3.1,16,13,5.3,7.5,67.5,162,12.8,2.56,11,6.3,58.6,49,6.9,4,12.2,96.6,3.4,11,12,6.4,8.0,63.5,57,11.4,2.41,2,3.3,54.4,15,6.1,1,6.7,93.5,1.7,5,1,1.6,5.8,100.0,9,-3.5,1.59,0,0.0,88.9,1,0.0,0,0.0,94.4,0.0,0,0,0.0,6.7
Davis Warren,73940,QB,MICHIGAN,9,4.87,0.38,70.4,184,8.0,2.99,6,3.1,60.3,69,6.7,9,13.0,69.5,4.5,7,9,4.3,6.0,73.5,157,6.6,2.71,5,3.0,63.1,57,8.3,5,12.3,75.3,4.1,5,5,2.8,5.6,76.6,53,6.3,3.08,1,1.9,67.9,13,0.0,4,15.4,64.7,3.4,2,4,6.8,6.0,100.0,26,-3.5,1.46,0,0.0,92.3,1,4.0,0,0.0,82.5,0.0,0,0,0.0,3.8
Aidan Armenta,175731,QB,LA MONROE,11,-5.36,1.23,63.9,176,12.3,2.88,10,5.4,50.6,72,16.0,10,20.8,64.9,7.4,8,13,6.1,7.0,71.8,88,7.9,2.53,3,3.3,56.8,43,18.0,5,20.9,58.6,8.3,2,6,5.4,6.1,62.5,103,13.8,2.87,7,6.4,51.5,32,11.7,5,21.9,77.8,5.9,7,7,5.6,7.3,100.0,15,-3.3,1.22,0,0.0,93.3,3,6.7,0,33.3,103.1,4.3,1,0,0.0,3.4
DJ Lagway,184426,QB,FLORIDA,12,9.59,2.74,63.1,170,14.1,3.13,18,10.2,53.5,74,8.1,9,17.6,84.9,6.5,10,7,3.4,9.8,64.9,125,10.7,2.78,9,7.0,55.2,51,6.8,6,19.6,83.3,6.8,7,5,3.3,8.8,73.5,71,13.5,3.25,9,12.0,64.8,23,8.0,3,13.0,109.9,3.8,5,2,2.4,11.5,100.0,26,-2.6,1.5,0,0.0,92.3,0,4.0,0,,133.5,0.0,2,0,0.0,9.9
Joe Fagnano,104768,QB,UCONN,10,3.3,0.5,67.5,180,10.9,2.64,7,3.7,52.8,65,13.6,4,9.2,101.7,3.1,18,4,1.9,7.6,68.6,149,10.0,2.56,4,2.5,57.0,51,9.6,3,7.8,98.1,2.5,11,3,1.8,7.7,77.4,58,6.8,2.35,3,4.9,60.3,16,14.6,1,12.5,119.1,3.3,9,1,1.6,8.2,92.6,27,-1.6,1.5,0,0.0,92.6,2,0.0,0,0.0,132.7,0.0,2,0,0.0,9.9
Tommy Ulatowski,163150,QB,KENT STATE,9,4.08,4.01,58.2,164,14.5,3.53,15,8.6,44.5,101,6.4,8,27.7,83.1,13.5,15,9,4.1,8.1,62.1,108,11.4,3.52,6,5.2,44.4,65,11.1,4,23.1,67.9,11.5,6,4,2.9,6.2,57.9,68,16.1,3.27,9,12.7,48.5,37,0.0,4,35.1,100.0,14.8,9,5,5.5,10.2,90.0,12,-3.4,1.59,0,0.0,66.7,1,11.1,0,0.0,70.1,0.0,0,0,0.0,2.3
Nick Evers,158082,QB,UCONN,9,6.4,-0.1,61.9,149,12.0,2.98,7,4.5,49.0,61,15.1,4,16.4,65.7,5.7,5,8,4.4,5.5,66.4,120,10.3,2.9,6,4.9,51.7,44,17.3,5,15.9,54.7,5.1,2,7,4.9,5.1,70.2,62,7.5,2.54,1,1.5,58.1,20,10.0,0,25.0,87.5,6.9,3,1,1.3,5.0,93.5,33,-2.4,1.75,0,0.0,75.8,3,13.8,1,66.7,66.5,5.7,0,0,0.0,3.3
Jake Garcia,143941,QB,E CAROLINA,6,-7.73,1.41,68.0,160,13.0,2.66,12,7.0,56.9,69,9.0,12,21.7,69.2,8.1,8,17,8.6,8.2,73.1,96,8.6,2.37,5,4.8,63.5,34,10.3,6,20.6,65.7,6.5,2,7,6.0,7.1,67.1,86,14.1,2.7,7,7.9,55.8,36,5.9,6,22.2,78.4,8.0,6,10,9.7,8.6,86.4,22,-1.7,1.45,0,0.0,81.8,1,5.3,0,0.0,86.6,0.0,0,0,0.0,4.8
Nate Yarnell,144037,QB,PITTSBURGH,8,-10.09,-1.35,66.2,154,11.2,2.88,7,4.2,54.5,82,10.6,5,20.7,78.6,9.1,8,9,4.5,6.5,74.5,110,9.4,2.71,6,5.0,61.8,51,10.5,2,19.6,98.4,7.8,8,6,4.3,6.8,59.3,58,11.0,2.86,1,1.6,51.7,32,6.3,3,21.9,57.6,9.5,2,3,3.8,5.4,100.0,14,-2.6,1.44,0,0.0,100.0,1,0.0,0,0.0,120.8,0.0,2,0,0.0,3.5
Thomas Castellanos,158433,QB,BOSTON COL,8,11.3,3.31,65.7,148,12.2,3.39,6,3.9,60.1,65,3.3,5,26.2,115.5,9.1,18,7,3.6,9.1,63.9,115,11.1,3.28,5,4.2,58.3,47,2.9,5,27.7,95.8,9.1,11,6,4.0,7.5,75.6,46,10.6,3.24,1,2.2,69.6,20,5.9,0,25.0,144.8,8.5,7,1,1.7,10.8,84.6,13,-2.8,1.84,0,0.0,76.9,2,9.1,0,50.0,78.7,6.3,0,0,0.0,1.7
Parker Awad,183974,QB,NEW MEX ST,7,15.57,1.85,58.1,137,14.3,3.03,8,5.4,41.6,71,16.2,4,23.9,67.9,10.1,6,11,6.1,6.9,57.4,117,11.1,2.91,5,3.9,41.9,60,15.5,4,26.7,59.8,11.1,4,10,6.5,6.2,75.6,47,11.2,2.57,3,6.1,57.4,13,12.9,0,7.7,104.7,1.9,3,1,1.8,8.0,84.0,27,-3.5,1.6,0,0.0,70.4,2,9.5,0,0.0,96.8,0.0,1,0,0.0,5.7
Grayson James,145214,QB,BOSTON COL,6,3.07,0.42,72.6,141,11.5,2.91,7,4.6,60.3,76,5.6,2,15.8,91.5,7.1,6,8,4.5,7.4,74.3,116,9.6,2.65,4,3.2,62.9,58,6.4,1,13.8,89.2,5.8,3,3,2.1,7.1,80.5,50,8.9,2.87,3,5.6,66.0,21,0.0,1,19.0,100.2,6.9,3,6,9.7,7.5,95.5,25,-2.5,1.5,0,0.0,84.0,3,0.0,0,0.0,93.0,0.0,0,1,3.6,6.3
Cade McNamara,101620,QB,IOWA,8,12.87,1.04,65.5,156,8.3,2.73,6,3.7,57.7,51,7.2,5,15.7,75.0,4.8,6,5,2.9,6.1,65.3,127,7.4,2.48,4,3.0,56.7,35,8.9,3,20.0,68.1,5.1,2,4,2.8,5.6,79.1,46,6.3,3.1,2,4.2,69.6,17,5.9,2,5.9,98.6,2.1,4,1,2.0,6.7,100.0,17,-4.2,1.78,0,0.0,82.4,1,12.5,0,0.0,83.6,0.0,0,0,0.0,4.1
Tate Rodemaker,122414,QB,SO MISS,8,-2.51,2.8,60.7,127,10.4,2.79,4,2.9,51.2,67,4.4,7,20.9,62.4,9.6,6,10,6.5,6.0,69.8,104,5.7,2.45,0,0.0,60.6,45,6.0,4,24.4,66.5,9.5,3,5,4.1,4.9,69.8,62,9.5,2.81,4,6.2,58.1,28,2.7,3,10.7,83.8,4.3,4,5,6.9,7.7,97.3,39,-3.1,1.8,0,0.0,87.2,6,5.6,0,0.0,99.3,0.0,1,0,0.0,5.8
Zach Gibson,100201,QB,GA STATE,6,3.9,2.74,73.9,121,8.9,2.97,4,3.1,62.0,67,8.5,2,20.9,94.0,9.2,7,4,2.4,6.7,77.3,127,6.5,2.73,2,1.5,66.9,54,7.6,2,22.2,90.3,7.9,5,4,2.5,6.2,86.4,24,4.5,3.1,2,7.4,70.8,16,10.5,0,12.5,126.2,6.3,2,0,0.0,9.0,96.7,30,-3.9,1.92,0,0.0,90.0,3,6.9,0,0.0,93.8,0.0,0,0,0.0,6.5
Cooper Legas,101286,QB,TULSA,9,-12.52,3.16,59.0,147,12.8,2.88,14,8.9,52.4,79,2.5,6,13.9,88.2,6.6,12,10,5.6,7.7,67.0,109,9.0,2.65,8,7.0,57.8,52,3.1,5,11.5,80.7,5.1,8,7,5.6,6.0,50.0,53,16.0,2.95,6,10.2,45.3,28,4.0,1,17.9,95.4,7.8,4,3,4.2,9.2,84.6,15,-3.2,1.39,0,0.0,66.7,1,9.1,0,0.0,70.1,0.0,0,0,0.0,0.5
DJ Uiagalelei,122162,QB,FLORIDA ST,5,5.03,1.97,65.5,132,13.8,3.06,6,4.4,47.0,71,16.2,6,14.1,62.9,6.6,4,5,3.2,7.3,68.3,95,9.5,2.87,2,2.1,50.5,46,14.3,5,15.2,54.0,6.5,2,5,4.5,5.9,72.7,63,12.7,3.0,4,6.1,55.6,30,12.5,1,10.0,85.3,4.2,2,0,0.0,7.9,91.7,26,-3.2,2.17,0,0.0,80.8,5,4.5,0,0.0,81.9,0.0,0,0,0.0,3.7
Joe Labas,144847,QB,C MICHIGAN,6,-9.83,3.91,69.0,154,9.7,2.59,6,3.7,58.4,55,8.2,7,14.5,77.0,4.7,7,10,5.5,7.2,73.3,107,7.2,2.44,3,2.7,61.7,31,10.8,4,9.7,70.6,2.6,3,6,4.9,5.6,63.8,54,13.5,2.81,3,5.1,51.9,25,6.7,3,20.0,86.5,8.2,4,4,6.0,9.5,100.0,7,-4.2,1.96,0,0.0,57.1,1,33.3,0,0.0,62.2,0.0,0,0,0.0,0.9
Jayden Maiava,158135,QB,USC,5,-2.5,0.13,62.5,133,12.9,2.95,9,6.4,52.6,59,6.7,5,8.5,87.2,3.5,10,8,5.4,7.6,70.9,119,8.3,2.54,8,6.4,60.5,37,7.7,3,5.4,93.9,1.7,8,4,3.1,7.1,66.7,50,11.3,3.16,1,2.0,58.0,24,3.3,3,12.5,75.4,5.4,3,4,7.0,7.2,94.3,36,-3.5,1.89,0,0.0,86.1,2,6.1,1,0.0,85.6,0.0,1,0,0.0,5.1
Zeon Chriss,156733,QB,HOUSTON,10,6.46,3.37,64.4,97,10.6,3.28,4,3.8,54.6,66,8.6,8,22.7,55.0,11.3,4,10,7.1,6.7,69.0,92,6.5,2.99,2,2.0,62.0,50,5.0,8,26.0,50.4,10.7,3,9,7.0,5.3,82.9,38,7.8,2.87,2,5.1,68.4,21,10.3,0,14.3,103.9,6.7,1,1,2.2,8.7,96.9,33,-3.6,1.7,0,0.0,90.9,5,3.2,0,20.0,87.4,2.9,0,0,0.0,5.0
Donovan Smith,73929,QB,HOUSTON,7,13.51,3.48,68.4,103,9.1,3.18,2,1.8,59.2,53,6.2,7,28.3,62.1,11.5,3,7,4.9,7.0,70.3,83,5.2,2.97,0,0.0,59.0,43,5.8,6,27.9,50.5,11.2,2,5,4.4,5.1,79.2,51,8.5,2.73,2,3.6,72.5,15,2.6,2,26.7,95.1,7.0,2,2,3.2,8.6,92.6,31,-2.7,1.72,0,0.0,80.6,5,0.0,1,20.0,82.5,3.0,1,0,0.0,4.5
Byrum Brown,156206,QB,USF,5,-23.23,-4.23,62.0,105,11.4,3.33,2,1.8,51.4,66,12.9,0,22.7,76.8,11.0,2,2,1.3,6.1,73.9,70,6.5,3.2,0,0.0,70.0,40,3.9,0,17.5,99.9,8.0,1,2,2.1,8.3,62.5,62,11.1,2.93,2,3.1,46.8,30,17.1,0,30.0,63.5,11.8,1,0,0.0,4.1,96.0,27,-2.8,1.83,0,0.0,88.9,4,0.0,0,25.0,96.8,3.6,0,0,0.0,7.2
Blake Horvath,162555,QB,NAVY,12,4.59,2.98,57.7,119,15.1,2.79,5,3.9,52.9,59,1.6,4,16.9,102.9,7.0,11,12,7.9,9.6,61.4,74,10.8,2.41,1,1.3,55.4,29,4.7,3,17.2,97.6,6.0,7,10,11.1,8.3,65.0,65,14.6,2.93,4,5.9,60.0,32,0.0,1,18.8,123.6,7.5,6,2,2.4,11.3,94.7,20,-2.4,1.82,0,0.0,85.0,2,5.6,0,50.0,144.4,4.8,2,0,0.0,10.7
Michael Hawkins Jr.,184595,QB,OKLAHOMA,7,25.3,1.55,73.8,99,10.4,3.55,3,2.7,58.6,66,6.5,2,22.7,82.8,10.9,3,5,3.2,7.3,75.9,73,8.6,3.5,1,1.2,53.4,52,11.4,1,26.9,74.7,13.3,2,3,2.6,5.9,83.0,47,7.2,2.85,2,3.8,78.7,16,5.1,1,12.5,96.0,3.6,1,2,3.2,7.5,100.0,21,-2.0,1.56,0,0.0,85.7,2,14.3,0,50.0,79.6,4.5,0,0,0.0,3.1
Ethan Crawford,173571,QB,SO MISS,8,16.62,2.96,50.0,99,16.7,3.21,9,8.7,35.4,83,22.2,5,30.1,39.5,18.4,0,8,5.6,6.9,50.8,67,13.1,3.24,4,5.9,34.3,55,28.1,5,29.1,23.4,17.4,0,6,6.3,5.7,63.0,53,14.0,2.76,5,8.8,50.9,33,6.9,2,30.3,64.9,15.2,0,3,4.3,8.7,84.2,21,-1.7,2.01,0,0.0,71.4,5,6.3,2,20.0,52.4,4.5,0,1,4.3,7.3
Demond Williams Jr.,183648,QB,WASHINGTON,13,15.97,0.87,78.4,80,10.1,3.54,6,6.9,72.5,66,0.0,1,31.8,130.2,16.2,8,3,2.2,9.5,81.2,76,8.0,3.07,7,8.6,73.7,52,0.0,1,32.7,116.4,15.0,5,3,2.5,8.8,89.7,29,5.2,3.6,0,0.0,89.7,16,0.0,0,31.3,141.2,11.4,3,0,0.0,9.6,100.0,25,-1.9,1.65,1,4.0,96.0,2,0.0,0,50.0,97.5,3.7,0,0,0.0,7.4
