player,player_id,position,team_name,player_game_count,comp_pct_diff,ypa_diff,no_screen_accuracy_percent,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_interceptions,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_ypa,npa_accuracy_percent,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_def_gen_pressures,npa_drop_rate,npa_interceptions,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_ypa,pa_accuracy_percent,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_def_gen_pressures,pa_drop_rate,pa_interceptions,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_ypa,screen_accuracy_percent,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_def_gen_pressures,screen_drop_rate,screen_interceptions,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_ypa
Cole Snyder,97617,QB,E MICHIGAN,12,1.24,1.3,69.1,355,11.2,2.71,18,4.7,56.1,135,7.4,9,21.5,80.1,7.0,14,15,3.4,6.9,70.5,317,9.2,2.6,11,3.2,59.0,112,5.6,8,19.6,77.8,6.1,10,13,3.4,6.4,77.3,88,10.3,2.62,7,7.4,60.2,27,8.6,1,29.6,98.4,7.7,5,3,2.7,7.7,91.1,50,-2.7,1.75,0,0.0,82.0,4,0.0,0,25.0,93.7,1.9,1,1,1.8,4.9
Billy Edwards Jr.,144185,QB,MARYLAND,11,-2.42,0.82,67.2,342,11.3,2.54,18,4.9,57.0,133,7.6,9,12.8,83.8,4.4,15,12,2.9,7.3,74.6,332,8.3,2.29,15,4.2,65.1,111,5.7,8,11.7,84.9,3.6,11,11,2.8,6.6,68.2,91,9.5,2.55,3,3.2,62.6,26,5.0,1,15.4,95.4,4.0,4,1,1.0,7.5,96.3,81,-2.4,1.41,0,0.0,96.3,4,0.0,0,0.0,85.9,0.0,0,0,0.0,4.6
E.J. Warner,156185,QB,RICE,11,1.83,1.68,65.7,384,9.0,2.66,13,3.3,57.8,127,6.3,13,5.5,76.3,1.7,16,17,4.1,6.3,68.1,316,7.7,2.48,10,3.0,61.1,94,6.8,11,6.4,72.8,1.8,10,13,3.7,5.7,73.4,124,7.3,2.72,3,2.3,62.9,34,2.5,2,2.9,97.4,0.8,7,4,3.0,7.4,96.2,56,-2.5,1.8,0,0.0,87.5,1,2.0,0,0.0,94.8,0.0,1,0,0.0,5.3
Fernando Mendoza,158323,QB,CAL,11,-1.49,0.8,73.0,332,10.3,2.72,12,3.4,65.1,153,4.8,6,26.1,98.7,10.0,16,17,4.0,8.1,77.8,266,7.6,2.6,6,2.2,68.4,115,5.7,5,22.6,94.8,8.3,10,12,3.6,7.4,70.6,124,10.0,2.55,6,4.4,66.9,41,1.2,1,34.1,105.0,9.6,6,5,3.1,8.3,89.3,58,-2.0,1.65,0,0.0,84.5,3,2.0,0,0.0,88.9,0.0,0,0,0.0,5.3
Drew Allar,164157,QB,PENN STATE,16,5.86,1.34,69.9,344,10.8,3.04,21,5.8,63.1,140,6.5,8,15.0,104.3,5.1,24,10,2.3,8.7,70.6,275,9.2,2.86,14,4.9,64.7,106,6.3,8,15.1,96.8,4.9,16,9,2.7,8.0,78.6,119,8.8,2.98,7,5.6,70.6,37,4.5,0,13.5,122.4,3.7,8,1,0.7,9.4,93.9,50,-2.7,1.71,0,0.0,90.0,3,2.2,0,0.0,95.3,0.0,0,0,0.0,6.9
Will Howard,122599,QB,OHIO STATE,16,9.55,3.25,76.9,363,10.5,2.84,22,5.8,70.0,121,3.4,10,13.2,119.6,4.0,33,15,3.6,9.7,75.8,259,8.5,2.64,13,4.9,69.1,86,3.2,6,14.0,106.1,4.2,17,10,3.4,8.2,85.4,164,8.4,2.71,9,5.1,78.7,37,4.4,4,10.8,140.8,2.3,18,5,2.7,11.5,95.0,60,-2.8,1.53,0,0.0,90.0,2,5.3,0,0.0,111.7,0.0,2,0,0.0,8.2
Max Brosmer,105568,QB,MINNESOTA,13,-1.29,0.35,75.2,360,10.3,2.87,13,3.5,63.1,121,8.5,6,22.3,93.1,6.6,17,8,1.9,7.1,76.9,303,8.7,2.61,10,3.2,66.3,92,6.9,5,21.7,92.1,5.9,12,6,1.7,6.8,79.6,103,8.7,3.17,3,2.8,65.0,31,9.5,1,22.6,101.5,5.9,6,2,1.6,7.2,95.5,46,-3.2,1.75,0,0.0,89.1,2,2.4,0,0.0,95.7,0.0,1,0,0.0,5.2
Taylen Green,145996,QB,ARKANSAS,13,0.95,0.0,67.5,349,12.1,3.3,22,6.0,57.3,173,7.4,9,17.9,88.4,7.4,15,17,3.9,8.4,69.1,304,10.4,3.13,14,4.4,59.5,139,7.2,8,19.4,84.6,7.4,9,14,3.7,8.2,73.9,81,12.2,3.41,8,9.5,60.5,38,3.9,1,13.2,106.1,5.3,6,3,3.1,8.2,96.8,36,-3.5,1.91,0,0.0,83.3,4,0.0,0,25.0,91.6,2.7,0,0,0.0,6.0
Dylan Raiola,183581,QB,NEBRASKA,13,-5.13,0.79,67.4,327,11.0,3.01,17,4.8,60.2,136,3.0,11,18.4,80.5,6.9,12,12,3.1,7.2,73.9,320,7.8,2.74,12,3.5,67.5,115,2.3,8,18.3,87.0,5.9,11,8,2.1,6.6,71.4,93,8.8,2.65,5,5.0,62.4,25,3.3,3,16.0,78.7,4.0,2,4,3.7,7.4,95.1,86,-2.9,1.57,0,0.0,89.5,4,1.3,0,0.0,92.9,0.0,1,0,0.0,5.4
Athan Kaliakmanis,144971,QB,RUTGERS,13,12.84,2.55,63.7,387,11.7,2.73,15,3.7,53.5,152,10.8,7,14.5,81.8,5.0,17,19,4.1,6.7,61.8,318,12.1,2.7,12,3.6,51.3,122,12.4,5,13.1,76.0,4.5,11,14,3.7,6.3,73.6,78,8.3,2.76,3,3.7,64.1,31,5.7,2,19.4,111.6,6.6,7,5,5.3,8.9,77.8,9,-1.7,1.68,0,0.0,66.7,1,14.3,0,0.0,135.4,0.0,1,0,0.0,9.8
