player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Kirk Francis,173296,QB,TULSA,11,284,77,49.4,59.7,4.8,2,2.4,5,5.4,2,2,9.4,2.43,28,10.7,3.6,60.9,176,63.1,70.7,6.9,15,8.2,10,4.8,4,7,10.4,2.91,61,18.0,5.5,87.3,64,43.8,54.5,5.3,5,7.1,11,11.6,4,2,11.4,3.43,89,15.7,15.7,44.9,189,64.0,71.2,6.6,12,6.0,4,2.0,2,7,9.7,2.46,0,,0.0,90.9
Skyler Locklear,164027,QB,UTEP,10,280,58,53.4,65.3,5.9,3,4.8,2,2.7,2,2,9.9,2.75,31,19.4,8.6,68.2,176,67.0,75.2,7.1,11,5.9,9,4.1,4,8,8.6,2.98,65,12.3,3.8,93.1,59,37.3,57.1,5.4,4,6.3,5,5.0,2,1,12.6,4.19,96,14.6,14.6,47.1,175,72.6,76.7,7.3,10,5.5,6,3.1,4,9,8.0,2.27,0,,0.0,100.4
Cam Fancher,145266,QB,FAU,9,273,74,54.1,69.4,6.4,0,0.0,3,2.9,3,4,6.5,3.06,55,23.6,13.3,74.8,138,61.6,71.3,7.7,4,2.8,8,4.4,3,2,8.9,3.32,58,19.0,6.3,81.1,68,38.2,54.9,4.4,3,4.1,6,5.0,2,1,8.4,4.13,113,21.2,21.2,44.9,144,68.8,76.4,8.5,1,0.7,5,3.0,4,5,8.0,2.6,0,,0.0,95.0
Katin Houser,158386,QB,E CAROLINA,9,272,70,50.0,58.7,6.8,4,4.9,4,4.5,5,4,12.0,2.22,22,18.2,5.2,61.3,178,64.0,71.1,8.5,15,8.0,10,4.9,6,14,10.4,2.34,35,14.3,2.6,103.2,41,39.0,51.5,5.5,2,4.1,7,10.8,6,4,10.4,3.12,57,14.0,14.0,50.5,207,64.3,70.4,8.5,17,7.8,7,3.1,5,14,10.9,2.09,0,,0.5,103.7
Colton Joseph,172283,QB,DOMINION,9,269,72,51.4,57.1,5.2,3,3.9,7,6.8,1,5,10.0,2.92,39,20.5,8.3,83.9,150,64.0,69.4,8.3,3,1.9,13,7.2,4,6,10.6,2.85,54,18.5,5.8,92.4,59,40.7,51.9,5.5,1,1.4,12,11.3,3,1,13.7,3.67,93,18.3,18.3,43.3,163,66.9,69.8,8.0,5,3.0,8,4.5,2,10,9.4,2.45,0,,0.6,106.4
Brock Vandagriff,146713,QB,KENTUCKY,11,265,76,52.6,72.6,7.4,3,3.6,2,1.9,1,3,10.9,2.98,50,28.0,14.4,84.3,145,59.3,69.7,7.1,12,7.8,10,5.6,7,7,10.3,3.07,53,20.8,6.5,77.2,70,30.0,50.0,4.4,5,6.6,5,4.5,2,2,13.5,3.86,103,23.3,23.3,43.0,151,69.5,77.4,8.5,10,6.2,7,4.0,6,8,9.5,2.51,0,,0.6,96.6
Isaac Wilson,183872,QB,UTAH,9,263,80,46.3,54.1,6.4,1,1.2,5,4.9,4,6,10.0,2.89,51,21.6,11.2,71.5,145,62.1,70.8,6.8,6,4.1,12,7.2,7,4,9.6,3.03,43,18.6,4.8,71.4,63,34.9,49.0,5.2,3,4.7,9,9.4,5,3,13.1,3.77,94,20.2,20.2,35.7,162,64.8,70.0,7.3,4,2.4,8,4.6,6,7,8.6,2.54,0,,0.0,85.4
Evan Svoboda,157664,QB,WYOMING,10,263,71,40.8,50.8,5.4,3,4.0,3,3.2,3,2,10.8,2.91,42,28.6,13.5,50.2,155,52.9,65.8,6.1,5,3.0,11,5.9,5,3,12.1,2.82,46,32.6,8.6,64.4,58,41.4,56.8,5.8,3,5.0,4,4.4,1,0,13.7,3.44,88,30.7,30.7,53.6,168,51.8,62.4,5.8,5,2.7,10,5.3,7,5,11.2,2.55,0,,0.0,62.1
Kyron Drones,144506,QB,VA TECH,9,256,104,55.8,75.3,6.5,2,1.9,2,1.7,3,2,6.8,2.97,56,5.4,2.6,70.2,121,64.5,70.7,7.3,7,5.5,7,4.7,3,8,9.9,2.99,44,22.7,7.0,97.8,76,40.8,58.3,5.5,3,3.8,5,4.8,2,3,10.0,3.88,100,13.0,13.0,61.2,149,70.5,78.6,7.7,6,3.9,4,2.5,4,7,8.0,2.41,0,,0.0,97.2
Gevani McCoy,147609,QB,OREGON ST,9,246,68,63.2,71.4,7.5,4,5.5,2,2.2,1,2,9.2,2.97,39,15.4,7.0,89.6,136,60.3,64.9,5.8,3,2.1,5,3.0,5,1,8.1,2.93,37,24.3,5.6,63.8,48,58.3,69.0,7.4,2,3.8,2,2.4,2,1,8.2,3.59,76,19.7,19.7,70.9,156,62.2,66.5,6.1,5,3.0,5,2.8,4,2,8.5,2.66,0,,0.0,72.9
DeShawn Purdie,184271,QB,CHARLOTTE,9,242,98,46.9,55.1,8.9,17,15.9,12,9.0,2,9,14.9,2.65,49,34.7,13.8,100.3,106,52.8,60.0,9.0,7,6.3,8,6.4,4,1,14.6,2.88,38,15.8,5.0,71.0,58,29.3,45.5,7.4,9,15.0,9,10.0,2,5,19.3,3.61,87,24.1,24.1,72.3,146,58.2,61.4,9.5,15,9.4,11,6.5,4,5,13.3,2.29,0,,1.3,90.3
Matthew Caldwell,150302,QB,TROY,9,239,80,70.0,79.5,7.6,2,2.4,3,3.4,2,6,7.6,2.46,26,7.7,2.4,106.6,145,59.3,71.0,6.9,5,3.4,10,6.2,6,7,8.6,2.69,39,20.5,5.2,78.9,54,42.6,68.4,4.6,1,1.8,7,10.1,4,3,11.4,3.53,65,15.4,15.4,44.2,171,69.6,75.3,7.9,6,3.4,6,3.3,4,10,7.5,2.26,0,,0.0,102.8
Braylon Braxton,144442,QB,MARSHALL,11,238,96,59.4,70.1,9.5,9,8.7,5,4.3,1,11,10.9,2.5,32,15.6,4.6,125.2,111,60.4,69.2,6.4,3,2.6,3,2.2,1,8,10.1,3.0,32,12.5,3.1,99.5,42,35.7,56.7,5.0,2,4.1,5,6.9,0,3,14.3,4.07,64,14.1,14.1,76.3,165,66.1,72.0,8.6,10,5.9,3,1.7,2,16,9.7,2.3,0,,0.0,120.3
Emmett Brown,157344,QB,S JOSE ST,8,233,83,61.4,71.4,9.2,4,4.4,4,4.0,0,5,11.7,2.36,32,15.6,5.6,111.6,136,55.1,63.5,6.4,9,6.3,9,5.9,5,11,12.9,2.63,32,6.3,1.4,86.2,51,35.3,55.0,5.6,4,6.7,6,7.9,1,3,15.2,3.25,64,9.4,9.4,66.1,168,64.3,69.3,8.0,9,5.1,7,4.0,4,13,11.7,2.25,0,,0.6,104.8
Davis Warren,73940,QB,MICHIGAN,9,228,69,60.9,71.0,6.0,2,2.9,6,8.0,5,2,6.2,2.66,28,17.9,6.8,57.1,141,66.0,75.8,5.6,4,2.7,3,1.9,4,5,6.7,2.87,42,9.5,2.6,80.2,57,47.4,57.1,4.7,3,5.2,6,8.5,5,2,9.2,3.73,70,12.9,12.9,36.4,153,70.6,80.0,6.1,3,1.9,3,1.8,4,5,5.6,2.39,0,,0.0,86.2
Aidan Armenta,175731,QB,LA MONROE,11,226,68,55.9,70.3,6.8,3,3.9,4,4.6,1,3,10.9,2.56,27,18.5,6.3,85.6,123,52.8,65.0,6.7,7,5.6,9,6.0,9,6,11.1,2.79,48,22.9,7.5,59.8,54,48.1,68.9,7.2,2,3.5,4,5.1,2,3,8.4,3.51,75,21.3,21.3,75.2,137,56.2,66.2,6.6,8,5.6,9,5.7,8,6,11.8,2.31,0,,0.0,66.5
DJ Lagway,184426,QB,FLORIDA,12,225,65,61.5,66.1,9.9,7,10.6,1,1.4,1,4,12.5,2.76,30,20.0,8.2,108.9,131,57.3,69.2,9.7,11,8.0,6,3.8,8,8,11.4,3.04,44,15.9,4.6,85.1,50,44.0,54.5,6.7,4,7.8,2,2.7,3,2,13.7,3.87,74,17.6,17.6,54.8,146,63.7,72.5,10.8,14,9.2,5,3.2,6,10,11.1,2.49,0,,0.0,106.0
Joe Fagnano,104768,QB,UCONN,10,222,54,53.7,70.2,6.6,3,5.2,1,1.6,2,6,8.7,2.47,29,10.3,5.2,96.1,153,59.5,71.3,8.3,4,2.5,3,1.7,2,14,9.3,2.51,38,7.9,1.8,111.3,56,35.7,60.5,4.8,1,1.7,2,2.7,2,4,11.6,3.14,67,9.0,9.0,60.9,151,66.2,74.1,9.0,6,3.8,2,1.2,2,16,8.4,2.23,0,,0.0,124.6
Tommy Ulatowski,163150,QB,KENT STATE,9,219,74,33.8,44.6,5.4,5,6.3,3,3.2,3,5,13.3,3.33,56,17.9,11.5,58.3,102,54.9,70.5,9.4,10,9.3,6,4.4,5,10,13.3,3.48,46,39.1,13.6,99.3,70,28.6,43.8,5.0,4,5.5,3,2.9,2,5,13.6,3.99,102,25.5,25.5,59.8,106,57.5,68.8,9.5,11,9.6,6,4.8,6,10,13.1,2.92,0,,1.7,97.5
Nick Evers,158082,QB,UCONN,9,210,53,41.5,62.2,3.3,0,0.0,4,5.6,2,1,9.6,2.92,35,20.0,10.3,40.8,129,58.9,69.6,5.8,7,5.3,4,2.7,3,4,9.3,2.7,29,17.2,3.5,76.1,42,38.1,54.5,4.2,1,2.3,5,7.6,1,2,12.5,3.5,64,18.8,18.8,57.3,140,58.6,70.8,5.3,6,4.1,3,2.0,4,3,8.6,2.46,0,,0.0,68.4
Jake Garcia,143941,QB,E CAROLINA,6,208,67,53.7,66.7,7.2,3,4.2,6,7.1,3,3,9.8,2.48,38,21.1,10.3,73.0,115,63.5,72.5,8.2,9,7.4,11,8.1,9,5,11.8,2.56,32,21.9,5.4,71.0,51,45.1,61.0,6.4,5,8.9,8,10.5,6,2,12.7,3.07,70,21.4,21.4,39.7,131,65.6,73.4,8.4,7,5.1,9,6.3,6,6,10.6,2.26,0,,0.0,87.9
Nate Yarnell,144037,QB,PITTSBURGH,8,202,54,61.1,68.6,6.9,3,5.1,3,4.2,2,3,8.6,2.5,32,28.1,13.6,84.6,114,57.0,69.5,6.0,4,3.3,6,4.2,3,7,10.6,2.89,51,15.7,5.9,84.2,59,47.5,63.3,5.9,5,7.6,5,5.5,4,2,11.0,3.25,83,20.5,20.5,49.1,109,64.2,72.0,6.5,2,1.7,4,3.2,1,8,9.5,2.42,0,,0.0,103.4
Thomas Castellanos,158433,QB,BOSTON COL,8,202,42,52.4,59.0,8.8,1,2.4,1,1.8,0,8,9.9,3.07,27,25.9,12.5,122.0,119,64.7,70.2,8.4,5,4.1,6,3.9,5,10,11.2,3.35,40,27.5,7.5,101.4,38,42.1,48.5,5.9,1,2.6,4,5.7,2,5,13.4,4.4,67,26.9,26.9,79.4,123,67.5,72.5,9.3,5,4.0,3,2.2,3,13,10.2,2.71,0,,0.0,122.1
Parker Awad,183974,QB,NEW MEX ST,7,197,54,42.6,56.3,3.4,1,1.7,4,6.2,1,2,9.8,2.36,21,14.3,5.2,56.6,110,48.2,66.0,8.3,7,6.0,7,4.8,3,5,11.8,3.01,52,26.9,10.1,80.6,46,32.6,47.1,5.8,2,3.9,6,7.6,2,1,15.1,3.61,73,23.3,23.3,42.6,118,51.7,67.6,7.1,6,4.8,5,3.8,2,6,9.9,2.35,0,,0.0,84.4
Grayson James,145214,QB,BOSTON COL,6,195,74,59.5,79.7,6.2,2,2.5,6,6.7,1,5,8.6,2.45,39,15.4,7.1,94.3,92,67.4,73.6,8.1,5,5.1,3,2.6,1,1,10.0,2.91,40,15.0,5.4,91.1,53,41.5,61.1,7.0,4,7.0,4,4.8,0,1,11.6,3.37,79,15.2,15.2,72.1,113,74.3,80.9,7.4,3,2.5,5,4.0,2,5,8.7,2.26,0,,0.0,102.1
Cade McNamara,101620,QB,IOWA,8,185,84,60.7,71.4,6.3,2,2.4,0,0.0,0,3,6.4,2.58,29,13.8,4.4,90.6,89,59.6,66.7,5.6,4,4.2,5,5.0,5,3,7.8,2.69,23,17.4,4.2,62.7,43,44.2,54.1,3.4,2,4.5,4,7.4,3,1,7.6,3.16,52,15.4,15.4,31.6,130,65.4,73.2,6.7,4,2.9,1,0.7,2,5,7.0,2.43,0,,0.0,91.0
Tate Rodemaker,122414,QB,SO MISS,8,185,65,50.8,64.8,7.0,2,3.0,6,8.1,3,5,9.6,2.57,37,13.5,6.9,79.9,101,65.3,72.6,5.2,2,1.8,4,3.3,4,2,5.6,2.59,36,25.0,8.0,68.5,55,38.2,51.2,6.9,2,3.3,8,10.1,5,2,11.3,3.12,73,19.2,19.2,37.0,111,70.3,76.9,5.4,2,1.7,2,1.7,2,5,5.4,2.23,0,,0.0,90.7
Zach Gibson,100201,QB,GA STATE,6,183,52,63.5,76.6,7.6,2,3.6,2,3.2,0,5,7.6,2.44,25,16.0,7.0,118.6,99,69.7,79.8,6.2,2,1.9,2,1.5,2,2,5.4,2.95,45,22.2,7.9,84.2,48,45.8,62.5,4.0,0,0.0,2,2.6,2,2,6.1,3.45,70,18.6,18.6,53.4,103,77.7,85.1,7.9,4,3.7,2,1.7,0,5,6.2,2.38,0,,0.9,115.8
Cooper Legas,101286,QB,TULSA,9,182,49,46.9,56.8,4.5,1,2.0,2,3.8,2,4,8.6,2.46,24,8.3,3.8,70.2,113,56.6,63.1,8.2,13,10.6,8,5.6,4,8,12.6,2.88,56,16.1,6.9,92.2,64,48.4,61.1,6.1,3,4.2,7,7.9,4,3,10.0,3.28,80,13.8,13.8,57.6,98,57.1,61.3,7.7,11,10.8,3,2.8,2,9,12.2,2.35,0,,0.0,103.7
DJ Uiagalelei,122162,QB,FLORIDA ST,5,179,78,50.0,69.2,5.5,1,1.3,3,3.3,2,1,10.0,2.78,47,17.0,8.9,60.1,80,55.0,70.8,7.9,5,6.0,2,2.1,4,3,11.5,3.07,29,6.9,2.2,72.6,59,32.2,61.9,4.2,1,1.6,3,3.8,4,0,13.6,3.41,76,13.2,13.2,18.1,99,64.6,73.7,8.2,5,4.9,2,1.9,2,4,9.6,2.57,0,,0.0,95.3
Joe Labas,144847,QB,C MICHIGAN,6,178,63,55.6,72.2,7.1,0,0.0,4,5.1,2,3,7.1,2.57,32,15.6,6.9,80.5,98,60.2,69.1,6.8,6,5.9,6,5.4,5,4,10.4,2.57,24,12.5,2.8,73.0,43,46.5,75.0,4.0,1,2.1,2,3.2,1,1,8.9,3.05,56,14.3,14.3,55.5,118,62.7,69.0,8.0,5,4.1,8,6.3,6,6,9.2,2.35,0,,0.0,83.4
Jayden Maiava,158135,QB,USC,5,177,71,52.1,59.1,6.3,5,6.7,5,6.3,4,3,10.7,2.62,28,7.1,2.7,62.5,98,65.3,77.5,7.7,4,4.0,3,2.9,2,8,8.1,2.82,33,9.1,2.9,107.2,53,43.4,59.5,7.1,4,7.0,5,7.7,3,1,13.6,3.61,61,8.2,8.2,50.4,116,67.2,73.5,7.1,5,4.2,3,2.5,3,10,7.5,2.27,0,,0.0,105.7
Zeon Chriss,156733,QB,HOUSTON,10,167,67,62.7,70.3,6.7,3,4.3,6,6.9,3,3,6.2,2.76,43,27.9,14.1,78.4,63,65.1,75.9,5.9,1,1.4,4,4.5,5,1,7.7,3.17,28,14.3,4.9,52.9,41,43.9,63.6,4.5,0,0.0,6,8.1,5,2,6.8,3.73,71,22.5,22.5,33.9,89,73.0,76.4,7.1,4,4.3,4,4.0,3,2,6.9,2.39,0,,0.0,86.0
Donovan Smith,73929,QB,HOUSTON,7,164,51,68.6,77.8,5.2,1,1.8,2,2.9,3,1,4.9,2.6,29,34.5,15.4,62.8,83,61.4,71.4,7.2,1,1.1,5,4.7,5,3,7.4,3.07,29,20.7,6.1,70.3,32,40.6,66.7,4.2,0,0.0,3,5.0,2,1,7.6,3.82,58,27.6,28.1,37.8,102,71.6,75.2,7.1,2,1.8,4,3.4,6,3,6.3,2.39,0,,0.0,76.8
Byrum Brown,156206,QB,USF,5,164,41,63.4,71.1,6.6,0,0.0,0,0.0,0,2,9.8,2.86,23,26.1,12.2,98.6,91,57.1,67.8,6.2,2,2.1,2,1.6,0,0,8.0,3.16,47,21.3,8.7,75.7,46,45.7,55.0,4.3,2,3.7,2,2.5,0,1,12.6,3.6,70,22.9,22.9,65.2,86,66.3,75.3,7.4,0,0.0,0,0.0,0,1,6.7,2.68,0,,0.0,92.2
Blake Horvath,162555,QB,NAVY,12,164,61,55.7,63.6,8.9,3,4.7,3,4.1,2,5,13.4,2.47,34,11.8,5.7,99.1,78,59.0,62.7,10.4,2,2.4,9,9.0,2,8,11.9,2.81,27,25.9,7.4,118.1,45,42.2,50.0,8.9,2,4.2,7,10.9,1,5,17.6,3.2,61,18.0,18.0,102.1,94,64.9,68.5,10.1,3,3.0,5,4.6,3,8,10.4,2.35,0,,0.0,113.5
Michael Hawkins Jr.,184595,QB,OKLAHOMA,7,160,37,48.6,62.5,4.8,1,2.4,2,3.2,1,1,12.7,3.48,31,22.6,12.5,60.2,83,69.9,86.3,7.3,2,2.2,3,2.6,1,2,5.8,3.16,37,24.3,8.7,93.8,37,35.1,63.6,4.0,1,2.2,5,6.3,2,2,8.9,4.24,68,22.1,22.1,43.5,83,75.9,83.1,7.7,2,2.3,0,0.0,0,1,7.7,2.56,0,,1.1,101.2
Ethan Crawford,173571,QB,SO MISS,8,158,60,40.0,54.7,6.5,2,3.2,3,3.7,5,0,11.3,2.93,49,24.5,15.6,27.8,60,43.3,57.1,7.5,7,11.3,6,7.1,2,0,15.5,3.14,39,35.9,17.3,55.6,52,32.7,50.0,5.8,2,3.6,6,6.5,2,0,14.4,3.43,88,29.5,29.5,37.4,68,48.5,59.7,7.9,7,10.0,3,4.2,5,0,12.9,2.55,0,,0.0,45.0
Demond Williams Jr.,183648,QB,WASHINGTON,13,157,40,82.5,86.8,10.8,4,9.1,2,2.8,1,5,7.3,3.22,32,37.5,18.2,140.7,65,75.4,81.7,7.9,3,4.4,1,1.1,0,3,7.1,3.21,36,27.8,11.0,113.2,21,57.1,70.6,10.6,2,9.1,1,1.4,0,1,12.5,4.39,68,32.4,32.4,109.8,84,83.3,86.4,8.6,5,5.6,2,2.1,1,7,6.1,2.32,0,,0.0,125.2
Jacob Zeno,98014,QB,UAB,4,148,46,67.4,82.9,5.6,0,0.0,3,5.0,3,3,4.9,2.58,21,9.5,3.8,76.0,75,68.0,81.7,7.5,2,2.5,4,4.0,2,3,4.4,2.93,31,19.4,6.3,92.3,36,44.4,70.0,4.5,2,5.1,3,5.2,4,2,7.8,3.53,52,15.4,15.4,36.9,85,77.6,86.6,7.7,0,0.0,4,3.9,1,4,3.4,2.42,0,,0.0,109.6
Bryson Barnes,131845,QB,UTAH ST,7,147,41,58.5,68.4,4.5,1,2.3,2,4.1,1,5,8.8,2.27,21,14.3,6.4,99.2,85,61.2,75.0,7.3,3,3.4,5,4.8,5,6,10.2,2.74,26,11.5,3.0,82.4,36,47.2,66.7,4.6,2,5.3,3,5.9,1,1,10.1,2.93,47,12.8,12.8,58.1,90,65.6,74.7,7.1,2,2.2,4,3.9,5,10,9.6,2.43,0,,0.0,100.3
Stone Earle,123504,QB,MARSHALL,8,146,50,54.0,60.9,5.6,0,0.0,1,1.7,0,3,10.1,2.49,18,16.7,5.3,90.6,72,54.2,64.3,5.4,3,3.9,2,2.1,2,4,8.5,2.3,24,12.5,3.4,76.7,28,42.9,54.2,5.1,2,6.3,0,0.0,0,1,13.3,3.14,42,11.9,11.9,70.8,94,57.4,65.2,5.6,1,1.0,3,2.8,2,6,8.0,2.06,0,,1.0,85.8
Brock Glenn,170335,QB,FLORIDA ST,7,140,32,50.0,60.7,6.4,2,5.3,0,0.0,0,2,9.2,3.04,13,15.4,5.4,91.3,82,42.7,62.3,4.7,3,3.5,6,5.7,5,2,10.0,3.17,43,23.3,9.7,40.0,34,32.4,65.0,4.2,2,5.4,3,5.1,2,1,13.4,4.0,56,21.4,21.4,31.9,80,50.0,61.0,5.6,3,3.5,3,3.3,3,3,8.9,2.56,0,,0.0,64.0
Josh Holst,171312,QB,N ILLINOIS,7,140,23,65.2,71.4,7.2,0,0.0,2,6.5,1,2,10.5,2.82,9,33.3,9.7,97.2,89,56.2,67.1,4.9,1,1.1,5,4.4,1,0,8.8,2.84,22,18.2,3.7,64.5,19,42.1,61.5,1.7,0,0.0,1,3.2,1,0,8.6,3.86,31,19.4,19.4,27.7,93,61.3,68.9,6.1,1,1.0,6,5.3,1,2,9.3,2.54,0,,0.9,81.2
Conner Weigman,158683,QB,TEXAS A&M,6,139,50,62.0,70.2,8.0,1,1.9,2,3.4,1,2,6.6,2.5,28,10.7,5.4,92.3,64,51.6,66.1,6.5,4,5.6,6,6.7,4,1,10.9,3.3,26,23.1,7.2,51.1,34,38.2,48.1,5.1,1,2.7,1,1.8,2,1,8.8,3.66,54,16.7,16.7,40.7,80,63.8,74.7,8.0,4,4.7,7,7.7,3,2,9.1,2.55,0,,0.0,81.3
Blake Shapen,122282,QB,MISS STATE,4,138,29,65.5,75.9,10.3,2,6.5,2,4.3,1,3,9.6,2.86,22,36.4,17.8,119.8,80,68.8,79.7,8.4,5,5.7,4,3.9,0,5,9.2,2.58,25,12.0,3.2,115.4,25,48.0,60.9,6.7,2,7.7,3,6.1,1,0,12.7,3.35,47,23.4,23.4,53.4,84,73.8,83.8,9.6,5,5.4,3,3.0,0,8,8.4,2.31,0,,0.0,135.3
Ben Gulbranson,131734,QB,OREGON ST,4,136,52,50.0,68.2,5.5,1,1.7,1,1.6,1,3,8.6,2.66,24,12.5,5.5,77.7,77,67.5,73.3,8.6,3,3.7,4,4.7,3,1,10.7,2.62,15,13.3,2.5,82.1,33,57.6,88.0,5.9,2,5.3,1,2.3,0,2,6.5,3.31,39,12.8,12.8,95.0,96,61.5,67.0,7.8,2,2.0,4,3.9,4,2,10.9,2.37,0,,0.0,75.3
Santino Marucci,144197,QB,NEW MEX ST,7,134,43,46.5,61.1,4.6,0,0.0,1,1.8,1,2,8.1,2.48,22,4.5,2.1,65.8,69,42.0,57.6,4.7,0,0.0,7,7.7,4,1,11.9,2.86,26,23.1,7.0,37.2,32,37.5,60.9,4.4,0,0.0,3,5.3,2,2,11.3,3.32,48,14.6,14.6,46.6,80,46.3,58.3,4.7,0,0.0,5,5.6,3,1,10.2,2.39,0,,0.0,48.8
Dylan Rizk,174360,QB,UCF,6,132,48,50.0,55.6,6.2,0,0.0,5,8.8,1,2,9.2,2.69,17,17.6,5.4,74.7,71,67.6,80.0,8.6,4,5.5,1,1.3,1,3,10.6,2.96,16,12.5,2.6,102.3,25,48.0,60.0,6.8,0,0.0,3,8.3,0,1,12.0,3.81,33,15.2,15.2,83.8,94,63.8,72.2,7.8,4,4.2,3,3.0,2,4,9.6,2.52,0,,0.0,93.1
KJ Jefferson,99129,QB,UCF,5,131,42,54.8,62.2,9.8,4,8.9,2,3.8,2,1,13.7,2.9,20,35.0,14.0,76.8,66,62.1,67.7,9.1,1,1.4,5,6.0,2,6,9.6,3.21,27,22.2,7.4,109.3,28,50.0,58.3,5.8,1,3.4,3,6.3,1,0,12.0,3.72,47,27.7,27.7,53.0,80,62.5,67.9,10.6,4,4.7,4,4.5,3,7,10.8,2.74,0,,0.0,112.0
Luke Kromenhoek,183305,QB,FLORIDA ST,6,129,38,50.0,61.8,5.2,4,10.0,3,4.5,0,2,10.7,3.27,34,47.1,25.8,82.9,46,54.3,64.3,6.6,3,6.3,2,2.9,2,1,11.5,3.47,26,38.5,14.9,64.1,24,45.8,75.0,4.0,2,7.7,2,3.1,0,0,8.5,3.97,60,43.3,43.3,56.9,60,55.0,60.0,6.8,5,8.1,3,4.2,2,3,11.8,2.87,0,,0.0,78.9
Kaden Anderson,127312,QB,WYOMING,9,123,40,52.5,65.8,5.1,2,4.5,1,2.2,1,2,9.3,2.49,16,0.0,0.0,73.2,80,61.3,74.3,9.4,6,7.3,4,4.8,2,4,11.6,2.88,27,3.7,1.2,98.7,42,47.6,61.1,5.7,4,9.1,1,2.2,2,0,12.1,3.19,43,2.3,2.3,45.5,78,64.1,76.3,9.2,4,4.9,4,4.8,1,6,10.2,2.52,0,,0.0,114.3
Max Brown,157756,QB,CHARLOTTE,5,118,44,36.4,50.0,5.9,2,4.2,5,8.5,3,2,13.9,2.86,26,19.2,9.1,43.7,50,54.0,64.3,6.0,5,9.6,6,9.1,3,1,12.7,3.33,21,23.8,7.9,53.9,32,31.3,55.6,4.1,1,2.9,6,11.8,2,2,12.8,3.51,47,21.3,21.3,40.0,62,53.2,58.9,6.9,6,9.2,5,6.8,4,1,13.3,2.85,0,,0.0,53.8
Bryson Daily,147303,QB,ARMY,13,114,68,52.9,63.9,10.4,7,9.3,6,7.3,3,7,16.0,2.83,35,8.6,4.0,105.3,35,51.4,58.8,8.5,3,8.1,5,12.2,1,2,17.3,2.95,12,8.3,2.6,87.4,38,39.5,45.5,8.6,2,4.7,6,11.5,3,2,17.9,3.21,47,8.5,8.5,55.4,65,60.0,71.0,10.4,8,11.6,5,7.0,1,7,15.7,2.64,0,,0.0,124.9
Forrest Brock,173260,QB,TEMPLE,3,113,49,49.0,57.8,4.2,0,0.0,2,3.1,3,0,7.6,2.46,25,28.0,12.3,35.1,53,67.9,72.5,6.2,2,3.6,1,1.7,2,1,6.0,2.51,14,7.1,1.8,75.3,28,25.0,39.1,4.2,2,5.9,1,2.2,1,1,14.1,3.05,39,20.5,20.5,41.5,74,71.6,74.0,5.7,0,0.0,2,2.5,4,0,4.4,2.19,0,,0.0,63.0
Grant Wilson,143041,QB,DOMINION,3,108,18,50.0,58.8,5.6,1,5.0,3,10.7,1,0,15.2,3.12,12,16.7,8.0,44.0,70,57.1,66.7,5.9,2,2.8,5,5.8,2,4,7.6,2.74,33,30.3,12.0,81.6,30,43.3,53.8,6.1,1,3.1,6,12.2,1,1,12.4,3.4,45,26.7,26.7,60.7,58,62.1,70.2,5.8,2,3.3,2,3.1,2,3,7.7,2.43,0,,0.0,80.7
Graham Mertz,97994,QB,FLORIDA,5,107,37,70.3,79.4,7.0,2,5.3,2,4.4,1,3,7.4,2.74,16,18.8,7.0,105.7,57,80.7,84.2,9.3,2,3.2,3,4.2,1,3,7.8,2.85,12,8.3,1.6,115.7,22,54.5,63.2,4.5,1,3.8,2,6.1,1,0,11.1,3.3,28,14.3,14.3,47.3,72,83.3,87.5,9.6,3,4.0,3,3.6,1,6,6.7,2.63,0,,0.0,128.7
