player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Ben Finley,122864,QB,AKRON,12,436,149,53.7,66.2,6.4,2,1.3,5,2.9,1,4,8.3,2.56,65,15.4,6.0,79.9,241,55.2,65.8,6.9,14,5.4,10,3.5,8,12,10.1,2.78,85,17.6,5.6,79.5,112,37.5,52.1,5.9,6,5.0,8,5.1,3,6,13.4,3.46,150,16.7,16.7,64.6,278,61.5,70.7,7.1,10,3.4,7,2.3,6,10,8.1,2.3,0,,0.0,85.7
Devon Dampier,171556,QB,NEW MEXICO,12,435,116,61.2,71.0,7.8,2,1.6,2,1.4,3,6,10.4,2.69,45,6.7,2.4,91.9,275,56.0,65.3,6.8,18,6.0,8,2.4,9,6,12.5,2.9,53,1.9,0.3,70.6,79,34.2,49.2,6.1,5,5.3,4,3.5,7,3,16.2,4.06,98,4.1,4.1,31.6,312,63.5,70.5,7.3,15,4.5,6,1.7,5,9,11.0,2.48,0,,0.0,88.4
Brendan Sorsby,156398,QB,CINCINNATI,12,435,152,56.6,65.0,7.5,6,3.8,6,3.5,4,13,10.6,2.68,54,11.1,3.7,98.2,236,68.6,76.1,7.1,2,0.8,7,2.5,3,5,8.1,2.9,58,19.0,4.1,90.5,83,43.4,51.4,6.1,1,1.1,5,4.0,4,1,12.6,3.67,112,14.3,14.3,47.7,305,69.5,76.8,7.6,7,2.2,8,2.4,3,17,8.2,2.52,0,,0.3,106.0
Jordan McCloud,101058,QB,TEXAS ST,13,434,116,64.7,77.0,7.1,4,3.3,5,3.6,6,9,9.6,2.51,58,12.1,5.3,90.1,276,72.1,80.9,8.7,11,3.8,7,2.2,7,21,8.4,2.57,56,16.1,3.0,113.2,86,46.5,62.1,7.3,5,5.4,6,5.0,6,8,12.7,3.23,114,13.2,13.2,73.3,306,76.5,83.8,8.5,10,3.1,6,1.8,7,22,7.8,2.31,0,,0.3,115.6
John Mateer,158516,QB,WASH STATE,12,433,117,60.7,70.4,8.7,7,5.7,6,3.8,3,13,9.9,2.83,58,27.6,10.6,115.3,231,65.8,74.1,9.2,11,4.5,10,3.4,4,16,10.3,3.15,70,24.3,6.0,111.0,64,46.9,62.3,6.5,2,2.8,4,2.8,0,5,13.5,4.42,128,25.8,25.8,94.3,284,68.0,74.9,9.6,16,5.5,12,3.8,7,24,9.5,2.46,0,,0.0,116.5
Joey Aguilar,174978,QB,APP STATE,11,432,154,51.3,61.9,7.3,5,3.0,8,4.5,5,11,11.7,2.42,70,4.3,1.8,85.4,238,58.4,66.8,7.9,21,8.2,17,5.9,9,12,11.7,2.74,76,13.2,3.7,84.7,115,40.0,54.8,6.5,7,5.6,12,7.6,5,4,12.2,3.4,146,8.9,8.9,56.2,277,62.1,68.4,8.1,19,6.4,13,4.2,9,19,11.5,2.22,0,,0.0,96.9
Mikey Keene,70961,QB,FRESNO ST,12,430,120,65.0,74.5,8.5,4,3.1,6,4.0,2,9,7.4,2.45,44,27.3,8.8,109.8,275,72.0,82.6,6.8,10,3.4,9,2.9,9,9,7.5,2.86,64,18.8,4.1,87.7,79,43.0,60.0,5.3,3,3.3,7,5.8,3,2,11.4,3.59,108,21.3,21.3,52.6,316,76.6,84.1,7.8,11,3.3,8,2.4,8,16,6.8,2.44,0,,0.3,104.8
Brett Gabbert,97404,QB,MIAMI OH,14,428,98,46.9,58.1,6.8,2,2.0,5,4.4,4,8,10.9,2.34,37,24.3,8.1,79.9,283,60.1,67.9,7.9,14,4.8,12,3.7,7,13,10.8,2.62,74,21.6,5.0,90.2,76,21.1,34.0,3.2,3,3.8,7,6.2,4,0,15.0,3.4,111,21.6,21.6,18.5,305,65.6,71.1,8.8,13,4.1,10,3.1,7,21,10.1,2.25,0,,0.3,106.6
Kevin Jennings,158272,QB,SMU,14,427,124,66.9,74.6,9.0,4,2.9,4,2.6,3,11,8.0,2.82,59,11.9,4.9,114.8,260,64.2,75.7,8.3,16,5.7,10,3.3,8,12,9.1,2.92,77,13.0,3.5,92.7,103,48.5,63.9,8.5,7,5.9,10,6.6,6,8,12.4,4.07,136,12.5,12.5,79.6,281,71.2,78.9,8.5,13,4.3,4,1.3,5,15,7.6,2.33,0,,0.0,107.2
Tyler Shough,83537,QB,LOUISVILLE,12,424,137,57.7,73.3,8.4,7,4.8,3,1.9,2,12,9.7,2.65,67,11.9,5.4,108.0,254,64.6,76.1,8.1,14,5.3,5,1.7,4,11,9.7,3.07,83,7.2,2.2,97.3,123,42.3,60.2,6.9,7,5.4,7,4.5,4,6,11.0,3.8,150,8.7,8.7,68.9,268,71.3,80.5,8.7,14,5.0,1,0.3,2,17,9.2,2.44,0,,0.4,115.9
