player,player_id,position,team_name,player_game_count,base_attempts,base_dropbacks,deep_attempts,deep_completion_percent,deep_accuracy_percent,deep_ypa,deep_big_time_throws,deep_btt_rate,deep_turnover_worthy_plays,deep_twp_rate,deep_interceptions,deep_touchdowns,deep_avg_depth_of_target,deep_avg_time_to_throw,deep_def_gen_pressures,deep_pressure_to_sack_rate,deep_sack_percent,deep_qb_rating,medium_attempts,medium_completion_percent,medium_accuracy_percent,medium_ypa,medium_big_time_throws,medium_btt_rate,medium_turnover_worthy_plays,medium_twp_rate,medium_interceptions,medium_touchdowns,medium_avg_depth_of_target,medium_avg_time_to_throw,medium_def_gen_pressures,medium_pressure_to_sack_rate,medium_sack_percent,medium_qb_rating,short_attempts,short_completion_percent,short_accuracy_percent,short_ypa,short_big_time_throws,short_btt_rate,short_turnover_worthy_plays,short_twp_rate,short_interceptions,short_touchdowns,short_avg_depth_of_target,short_avg_time_to_throw,short_def_gen_pressures,short_pressure_to_sack_rate,short_sack_percent,short_qb_rating,behind_los_attempts,behind_los_completion_percent,behind_los_accuracy_percent,behind_los_ypa,behind_los_big_time_throws,behind_los_btt_rate,behind_los_turnover_worthy_plays,behind_los_twp_rate,behind_los_interceptions,behind_los_touchdowns,behind_los_avg_depth_of_target,behind_los_avg_time_to_throw,behind_los_def_gen_pressures,behind_los_pressure_to_sack_rate,behind_los_sack_percent,behind_los_qb_rating
Braedyn Locke,157141,QB,WISCONSIN,10,296,311,32,37.5,37.5,13.5,10,27.8,3,8.3,1,5,31.4,2.79,5,0.0,0.0,112.0,68,52.9,58.8,9.9,0,0.0,7,9.5,4,5,13.2,2.8,14,0.0,0.0,87.6,120,63.3,73.3,4.9,0,0.0,5,3.9,5,3,4.9,2.38,16,0.0,0.0,66.1,47,85.1,93.6,5.2,0,0.0,0,0.0,0,0,-3.3,1.94,4,0.0,0.0,88.2
Christian Veilleux,145086,QB,GA STATE,10,293,310,44,36.4,38.6,11.1,8,15.1,7,13.2,4,7,30.2,2.7,12,0.0,0.0,80.3,70,42.9,50.0,8.3,3,4.2,6,8.3,6,4,15.4,2.68,28,0.0,0.0,55.9,91,73.6,84.6,6.5,0,0.0,1,1.1,1,1,4.4,2.05,17,0.0,0.0,89.6,65,84.6,92.3,6.1,0,0.0,0,0.0,0,1,-3.2,1.6,4,0.0,0.0,97.3
Marcel Reed,175940,QB,TEXAS A&M,10,243,299,36,27.8,27.8,9.4,6,14.6,2,4.9,2,5,29.0,3.23,11,0.0,0.0,82.9,70,55.7,60.0,10.8,2,2.8,4,5.6,3,6,13.8,3.02,19,0.0,0.0,104.3,93,75.3,79.6,6.5,0,0.0,1,1.0,1,4,4.6,2.5,16,0.0,0.0,101.9,31,90.3,96.8,5.2,0,0.0,0,0.0,0,0,-3.2,2.21,6,0.0,0.0,88.3
Ethan Vasko,163817,QB,COAST CAR,12,272,292,53,41.5,52.8,15.1,18,29.5,6,9.8,4,6,29.7,2.91,16,0.0,0.0,95.0,65,41.5,49.2,7.9,1,1.4,2,2.8,1,6,13.4,2.62,24,0.0,0.0,94.1,97,64.9,72.2,6.0,0,0.0,2,2.0,2,2,4.9,2.36,24,0.0,0.0,79.4,43,83.7,88.4,5.0,0,0.0,1,2.3,1,0,-3.4,1.66,4,0.0,0.0,78.0
Ethan Hampton,145858,QB,N ILLINOIS,11,249,291,29,37.9,44.8,14.4,5,15.2,3,9.1,4,4,31.1,3.0,10,0.0,0.0,85.8,43,48.8,53.5,8.5,0,0.0,3,6.5,1,3,12.8,2.44,11,0.0,0.0,91.8,110,72.7,79.1,6.0,0,0.0,3,2.6,1,3,4.2,2.07,16,0.0,0.0,92.8,39,82.1,87.2,4.2,0,0.0,0,0.0,0,2,-2.7,1.87,9,0.0,0.0,101.1
Davis Bryson,160369,QB,KENNESAW,11,262,291,29,27.6,34.5,8.0,2,5.9,2,5.9,1,2,25.0,2.67,11,0.0,0.0,69.0,54,40.7,42.6,7.5,2,3.4,2,3.4,3,4,13.7,2.5,17,0.0,0.0,68.7,100,61.0,64.0,5.9,0,0.0,6,5.9,6,0,5.3,2.07,12,0.0,0.0,52.4,62,85.5,93.5,4.4,0,0.0,0,0.0,0,0,-3.3,1.71,9,0.0,0.0,85.0
Taisun Phommachanh,99577,QB,UMASS,9,235,288,37,29.7,32.4,11.0,8,18.2,4,9.1,3,5,29.7,2.93,8,0.0,0.0,78.6,53,49.1,52.8,9.2,0,0.0,3,5.5,3,1,13.7,2.78,12,0.0,0.0,63.9,90,71.1,80.0,6.0,0,0.0,1,1.1,0,1,4.4,2.2,12,0.0,0.0,90.1,34,91.2,97.1,4.9,0,0.0,0,0.0,0,1,-3.3,1.88,6,0.0,0.0,96.8
Haynes King,124329,QB,GA TECH,11,271,285,25,48.0,52.0,16.0,7,25.9,0,0.0,0,3,30.8,3.0,5,0.0,0.0,133.8,44,63.6,65.9,10.7,1,2.0,2,4.1,2,2,14.9,3.01,10,0.0,0.0,95.8,95,80.0,84.2,7.6,0,0.0,0,0.0,0,5,3.8,2.38,16,0.0,0.0,116.0,85,94.1,97.6,6.0,0,0.0,0,0.0,0,4,-3.2,1.78,9,0.0,0.0,107.3
Hudson Card,123109,QB,PURDUE,10,250,285,33,30.3,42.4,9.5,5,12.8,3,7.7,1,3,29.3,2.97,15,0.0,0.0,84.8,56,64.3,69.6,10.2,3,5.0,1,1.7,2,3,13.7,3.29,22,0.0,0.0,101.2,99,69.7,77.8,5.8,0,0.0,5,4.9,3,3,4.4,2.7,31,0.0,0.0,81.9,34,85.3,88.2,5.2,0,0.0,0,0.0,1,0,-2.6,1.99,7,0.0,0.0,76.1
Kirk Francis,173296,QB,TULSA,11,253,284,48,31.3,39.6,11.1,14,25.5,2,3.6,1,6,30.2,2.64,11,0.0,0.0,105.1,56,44.6,50.0,6.3,3,4.8,7,11.1,4,2,13.8,2.84,17,0.0,0.0,47.7,83,74.7,79.5,6.3,0,0.0,2,2.4,1,1,4.6,2.48,18,0.0,0.0,89.6,52,90.4,92.3,3.5,0,0.0,0,0.0,0,0,-3.6,2.1,9,0.0,0.0,81.1
Skyler Locklear,164027,QB,UTEP,10,234,280,40,47.5,47.5,18.0,13,31.0,0,0.0,2,5,33.4,2.9,11,0.0,0.0,112.5,21,33.3,33.3,4.2,0,0.0,4,16.7,2,1,13.3,3.22,6,0.0,0.0,23.8,102,71.6,78.4,4.8,1,0.9,4,3.8,2,1,4.1,2.28,19,0.0,0.0,76.8,51,98.0,98.0,5.6,0,0.0,0,0.0,0,3,-2.6,1.84,6,0.0,0.0,109.7
Cam Fancher,145266,QB,FAU,9,212,273,27,33.3,33.3,8.8,3,9.7,3,9.7,3,2,27.1,3.97,6,0.0,0.0,51.5,42,64.3,69.0,14.5,1,2.2,3,6.7,1,3,14.4,3.21,16,0.0,0.0,121.6,79,70.9,77.2,6.0,0,0.0,2,2.4,2,1,4.4,2.4,20,0.0,0.0,79.9,43,76.7,83.7,4.8,0,0.0,1,2.3,0,0,-3.1,1.83,9,0.0,0.0,86.1
Katin Houser,158386,QB,E CAROLINA,9,248,272,49,44.9,49.0,16.5,18,34.0,4,7.5,4,9,30.4,2.54,8,0.0,0.0,97.2,60,46.7,53.3,7.5,1,1.6,6,9.5,5,3,13.7,2.62,6,0.0,0.0,54.0,86,73.3,79.1,6.2,0,0.0,1,1.1,1,6,4.1,2.06,16,0.0,0.0,107.5,41,87.8,87.8,4.9,0,0.0,1,2.3,1,0,-2.4,1.52,3,0.0,0.0,76.8
Colton Joseph,172283,QB,DOMINION,9,222,269,35,31.4,31.4,11.0,5,12.5,3,7.5,0,4,32.9,2.9,11,0.0,0.0,112.2,63,57.1,60.3,9.9,1,1.5,8,11.8,5,5,13.8,3.03,17,0.0,0.0,84.4,80,71.3,76.3,5.5,0,0.0,2,2.4,0,2,3.7,2.43,22,0.0,0.0,92.7,36,80.6,83.3,4.9,0,0.0,1,2.8,0,0,-2.6,1.69,2,0.0,0.0,87.0
Brock Vandagriff,146713,QB,KENTUCKY,11,221,265,34,44.1,50.0,14.9,12,31.6,4,10.5,2,3,29.8,3.52,14,0.0,0.0,95.8,59,52.5,57.6,8.9,3,4.5,5,7.5,5,4,14.4,3.01,15,0.0,0.0,70.4,69,75.4,82.6,6.2,0,0.0,1,1.4,1,2,4.0,2.43,16,0.0,0.0,94.3,32,87.5,90.6,4.2,0,0.0,0,0.0,0,1,-3.3,1.74,3,0.0,0.0,94.5
Isaac Wilson,183872,QB,UTAH,9,225,263,39,38.5,41.0,12.0,7,15.9,9,20.5,6,4,28.1,2.92,15,0.0,0.0,78.8,47,51.1,55.3,8.8,0,0.0,3,6.4,3,3,14.6,2.97,15,0.0,0.0,76.1,88,67.0,75.0,5.5,0,0.0,2,2.3,2,2,4.4,2.44,13,0.0,0.0,78.9,37,78.4,78.4,3.8,0,0.0,0,0.0,0,1,-3.3,2.06,8,0.0,0.0,91.3
Evan Svoboda,157664,QB,WYOMING,10,226,263,47,27.7,31.9,9.2,5,9.3,3,5.6,2,3,30.2,2.96,13,0.0,0.0,68.9,54,44.4,50.0,7.8,3,5.3,5,8.8,3,2,13.9,2.81,13,0.0,0.0,61.0,83,65.1,77.1,4.5,0,0.0,3,3.4,2,0,4.5,2.57,16,0.0,0.0,64.8,25,80.0,88.0,3.7,0,0.0,1,3.7,1,0,-3.5,1.94,2,0.0,0.0,65.5
Kyron Drones,144506,QB,VA TECH,9,225,256,28,32.1,35.7,11.1,6,19.4,3,9.7,2,3,32.6,3.21,9,0.0,0.0,81.3,41,58.5,70.7,11.9,3,7.1,0,0.0,1,6,13.8,3.24,17,0.0,0.0,129.8,91,70.3,76.9,6.6,0,0.0,3,3.2,1,1,4.6,2.35,23,0.0,0.0,87.2,45,86.7,88.9,3.6,0,0.0,1,2.2,2,0,-3.2,2.26,11,0.0,0.0,63.2
Gevani McCoy,147609,QB,OREGON ST,9,204,246,19,42.1,47.4,13.0,7,31.8,0,0.0,1,2,28.7,3.31,4,0.0,0.0,102.4,48,33.3,39.6,6.5,0,0.0,3,6.1,1,0,14.4,3.12,9,0.0,0.0,48.4,109,75.2,78.0,6.1,0,0.0,3,2.6,4,1,4.6,2.4,26,0.0,0.0,77.8,21,90.5,90.5,3.9,0,0.0,0,0.0,0,0,-3.8,2.09,3,0.0,0.0,82.9
DeShawn Purdie,184271,QB,CHARLOTTE,9,204,242,59,50.8,52.5,19.5,24,35.8,5,7.5,1,7,32.0,2.86,18,0.0,0.0,129.0,45,28.9,31.1,5.2,0,0.0,4,8.3,3,1,14.6,2.82,14,0.0,0.0,28.3,62,64.5,72.6,5.2,0,0.0,3,4.6,2,1,5.1,2.43,11,0.0,0.0,69.6,23,82.6,82.6,4.9,0,0.0,0,0.0,0,1,-3.3,1.55,1,0.0,0.0,101.4
Matthew Caldwell,150302,QB,TROY,9,225,239,23,43.5,43.5,13.3,5,20.0,4,16.0,4,2,29.7,2.98,8,0.0,0.0,79.8,46,60.9,65.2,9.4,2,4.1,3,6.1,3,7,13.5,2.85,9,0.0,0.0,104.4,105,72.4,78.1,6.4,0,0.0,4,3.7,1,4,4.5,2.45,20,0.0,0.0,97.8,30,93.3,96.7,6.3,0,0.0,0,0.0,0,0,-3.0,1.63,1,0.0,0.0,92.8
Braylon Braxton,144442,QB,MARSHALL,11,207,238,43,34.9,39.5,10.5,11,22.4,2,4.1,0,9,29.3,3.0,9,0.0,0.0,114.6,44,59.1,68.2,11.9,1,2.1,4,8.5,1,4,13.7,2.93,12,0.0,0.0,121.7,58,69.0,72.4,5.5,0,0.0,1,1.7,1,4,4.7,2.3,6,0.0,0.0,98.3,46,93.5,95.7,7.3,0,0.0,0,0.0,0,2,-3.0,1.64,3,0.0,0.0,111.5
Emmett Brown,157344,QB,S JOSE ST,8,219,233,48,37.5,41.7,11.5,13,23.6,3,5.5,2,10,30.1,2.73,14,0.0,0.0,103.6,44,40.9,47.7,5.9,0,0.0,3,6.5,1,3,13.3,2.49,10,0.0,0.0,73.9,102,79.4,83.3,7.4,0,0.0,3,2.8,2,3,5.1,2.19,15,0.0,0.0,99.3,9,100.0,100.0,6.1,0,0.0,0,0.0,0,0,-3.3,1.67,1,0.0,0.0,92.1
Davis Warren,73940,QB,MICHIGAN,9,210,228,15,40.0,40.0,10.3,5,33.3,1,6.7,1,1,25.6,4.07,7,0.0,0.0,72.9,37,56.8,59.5,8.4,1,2.4,2,4.9,4,4,13.9,3.08,13,0.0,0.0,80.6,99,68.7,75.8,5.9,0,0.0,4,3.9,4,2,5.2,2.49,25,0.0,0.0,73.8,43,93.0,95.3,3.4,0,0.0,0,0.0,0,0,-3.3,2.03,4,0.0,0.0,80.9
Aidan Armenta,175731,QB,LA MONROE,11,191,226,41,29.3,34.1,10.4,9,20.0,6,13.3,5,4,30.2,2.81,6,0.0,0.0,63.4,42,52.4,61.9,7.8,1,2.2,3,6.5,4,4,13.5,3.06,10,0.0,0.0,70.4,64,60.9,73.4,6.8,0,0.0,3,4.5,1,0,4.7,2.35,21,0.0,0.0,74.5,34,88.2,100.0,2.9,0,0.0,0,0.0,0,1,-3.3,2.24,8,0.0,0.0,89.0
DJ Lagway,184426,QB,FLORIDA,12,196,225,36,52.8,52.8,20.4,15,39.5,1,2.6,2,5,31.2,2.96,8,0.0,0.0,114.6,58,46.6,53.4,8.7,3,4.9,4,6.6,7,3,14.6,3.16,19,0.0,0.0,54.8,63,73.0,79.4,7.1,0,0.0,2,3.0,0,2,3.9,2.58,16,0.0,0.0,103.1,25,92.0,96.0,9.2,0,0.0,0,0.0,0,2,-3.0,1.64,1,0.0,0.0,131.7
Joe Fagnano,104768,QB,UCONN,10,207,222,30,43.3,43.3,14.2,6,18.2,2,6.1,0,6,29.3,2.87,9,0.0,0.0,129.9,39,46.2,48.7,9.3,1,2.3,2,4.7,2,5,13.5,2.59,13,0.0,0.0,97.5,90,67.8,82.2,6.6,0,0.0,0,0.0,1,6,4.4,2.23,17,0.0,0.0,103.6,31,90.3,93.5,8.1,0,0.0,0,0.0,1,3,-2.0,1.57,4,0.0,0.0,119.1
Tommy Ulatowski,163150,QB,KENT STATE,9,176,219,39,46.2,48.7,17.2,13,30.2,5,11.6,4,10,29.4,2.97,13,0.0,0.0,92.6,40,55.0,55.0,9.2,2,4.8,2,4.8,2,4,13.8,3.16,15,0.0,0.0,98.9,48,56.3,64.6,5.8,0,0.0,1,2.0,2,1,5.5,2.96,16,0.0,0.0,62.8,17,82.4,88.2,2.4,0,0.0,0,0.0,0,0,-3.2,2.2,4,0.0,0.0,79.2
Nick Evers,158082,QB,UCONN,9,182,210,30,20.0,26.7,6.0,6,18.2,4,12.1,3,2,29.7,2.94,7,0.0,0.0,34.9,34,41.2,50.0,7.2,1,2.8,1,2.8,1,1,13.1,2.9,11,0.0,0.0,64.0,70,68.6,80.0,5.1,0,0.0,1,1.4,0,1,5.0,2.41,11,0.0,0.0,85.2,36,83.3,94.4,4.0,0,0.0,0,0.0,1,1,-2.5,1.79,4,0.0,0.0,80.9
Jake Garcia,143941,QB,E CAROLINA,6,182,208,39,41.0,43.6,14.4,12,28.6,8,19.0,6,3,30.6,2.94,13,0.0,0.0,74.4,31,61.3,67.7,9.1,0,0.0,3,8.6,3,2,13.0,2.53,8,0.0,0.0,73.1,78,73.1,80.8,6.2,0,0.0,2,2.4,2,2,4.3,2.09,16,0.0,0.0,86.5,21,81.0,85.7,4.6,0,0.0,1,4.8,1,1,-2.5,1.71,4,0.0,0.0,81.7
Nate Yarnell,144037,QB,PITTSBURGH,8,168,202,21,19.0,28.6,5.4,6,23.1,3,11.5,2,0,28.9,3.01,6,0.0,0.0,9.9,53,69.8,71.7,11.1,1,1.8,4,7.1,3,5,14.4,2.77,20,0.0,0.0,114.4,59,59.3,69.5,4.9,0,0.0,1,1.6,0,3,4.5,2.41,21,0.0,0.0,88.8,23,95.7,100.0,2.9,0,0.0,0,0.0,0,2,-3.5,1.87,2,0.0,0.0,108.2
Thomas Castellanos,158433,QB,BOSTON COL,8,161,202,33,39.4,39.4,15.3,6,17.1,3,8.6,3,6,29.3,3.15,9,0.0,0.0,88.7,33,51.5,54.5,11.2,0,0.0,1,2.9,0,5,13.6,3.55,10,0.0,0.0,131.3,69,76.8,79.7,6.8,0,0.0,1,1.4,2,7,4.4,2.65,11,0.0,0.0,116.0,18,88.9,94.4,1.4,0,0.0,0,0.0,0,0,-2.7,1.98,3,0.0,0.0,79.2
Parker Awad,183974,QB,NEW MEX ST,7,164,197,34,29.4,35.3,10.0,8,19.5,5,12.2,3,4,29.5,2.83,12,0.0,0.0,71.1,34,44.1,50.0,9.6,0,0.0,2,5.4,0,1,14.0,3.1,11,0.0,0.0,88.8,42,64.3,76.2,5.9,0,0.0,2,4.7,1,0,5.0,2.28,9,0.0,0.0,70.4,32,75.0,87.5,5.7,0,0.0,0,0.0,0,2,-3.3,1.88,2,0.0,0.0,109.2
Grayson James,145214,QB,BOSTON COL,6,166,195,25,48.0,48.0,13.8,4,13.8,3,10.3,0,3,30.1,3.0,9,0.0,0.0,133.8,34,61.8,70.6,10.0,3,8.1,3,8.1,1,3,13.5,2.8,8,0.0,0.0,112.4,62,80.6,83.9,5.8,0,0.0,1,1.5,1,0,3.9,2.24,17,0.0,0.0,84.0,25,92.0,92.0,6.4,0,0.0,0,0.0,0,0,-3.0,1.69,2,0.0,0.0,93.5
Cade McNamara,101620,QB,IOWA,8,173,185,14,21.4,21.4,7.4,5,33.3,2,13.3,2,1,29.1,3.23,4,0.0,0.0,42.3,39,48.7,48.7,9.2,1,2.5,1,2.5,2,3,13.8,2.68,10,0.0,0.0,85.2,83,68.7,75.9,5.5,0,0.0,1,1.1,1,2,3.9,2.44,18,0.0,0.0,85.2,28,89.3,100.0,3.6,0,0.0,0,0.0,0,0,-3.5,2.09,5,0.0,0.0,81.7
Tate Rodemaker,122414,QB,SO MISS,8,166,185,18,33.3,33.3,13.2,4,17.4,5,21.7,2,1,28.6,3.13,11,0.0,0.0,60.9,28,42.9,42.9,6.8,0,0.0,2,6.5,2,1,14.5,2.6,7,0.0,0.0,48.4,63,66.7,73.0,5.1,0,0.0,2,3.1,3,4,4.3,2.42,18,0.0,0.0,80.4,40,97.5,100.0,5.8,0,0.0,0,0.0,0,1,-3.6,1.99,5,0.0,0.0,99.0
Zach Gibson,100201,QB,GA STATE,6,151,183,14,50.0,50.0,14.3,4,25.0,1,6.3,1,1,27.4,2.41,2,0.0,0.0,89.9,22,63.6,63.6,9.9,0,0.0,2,7.1,0,3,13.4,2.77,7,0.0,0.0,135.8,73,72.6,82.2,5.6,0,0.0,1,1.4,1,3,4.4,2.42,28,0.0,0.0,94.0,32,87.5,93.8,5.5,0,0.0,0,0.0,0,0,-4.1,1.9,3,0.0,0.0,89.7
Cooper Legas,101286,QB,TULSA,9,162,182,34,47.1,47.1,13.9,11,28.2,4,10.3,2,6,28.8,2.84,9,0.0,0.0,108.5,31,45.2,45.2,10.8,3,9.1,2,6.1,2,4,14.7,2.62,14,0.0,0.0,97.4,61,63.9,67.2,5.0,0,0.0,2,3.2,2,2,5.1,2.6,24,0.0,0.0,73.5,21,85.7,90.5,1.5,0,0.0,0,0.0,0,0,-3.4,1.95,7,0.0,0.0,79.2
DJ Uiagalelei,122162,QB,FLORIDA ST,5,158,179,20,25.0,25.0,9.2,6,27.3,2,9.1,2,1,33.1,3.31,7,0.0,0.0,42.3,52,57.7,65.4,10.6,0,0.0,2,3.7,3,3,14.0,2.77,20,0.0,0.0,89.4,42,64.3,83.3,5.9,0,0.0,0,0.0,1,0,4.2,2.64,13,0.0,0.0,70.2,23,91.3,95.7,3.5,0,0.0,0,0.0,0,0,-3.8,1.97,2,0.0,0.0,81.3
Joe Labas,144847,QB,C MICHIGAN,6,161,178,21,33.3,38.1,11.3,6,26.1,4,17.4,3,4,27.6,2.89,7,0.0,0.0,76.9,33,42.4,45.5,10.5,0,0.0,3,8.1,3,2,14.2,2.4,4,0.0,0.0,63.3,81,77.8,85.2,6.3,0,0.0,1,1.2,1,1,4.4,2.24,19,0.0,0.0,92.0,13,76.9,92.3,1.5,0,0.0,0,0.0,0,0,-3.8,2.37,2,0.0,0.0,78.7
Jayden Maiava,158135,QB,USC,5,169,177,32,37.5,40.6,11.9,9,25.0,3,8.3,3,1,27.4,2.76,12,0.0,0.0,54.4,26,61.5,61.5,9.6,0,0.0,3,11.1,2,4,13.7,2.87,12,0.0,0.0,100.8,57,64.9,71.9,5.9,0,0.0,0,0.0,0,4,5.8,2.31,15,0.0,0.0,104.1,40,90.0,95.0,5.9,0,0.0,0,0.0,1,2,-3.5,2.01,3,0.0,0.0,97.4
Zeon Chriss,156733,QB,HOUSTON,10,130,167,13,23.1,23.1,9.9,3,18.8,2,12.5,2,0,31.8,3.01,1,0.0,0.0,28.8,27,55.6,55.6,9.5,1,3.4,3,10.3,3,2,14.3,2.9,12,0.0,0.0,73.0,43,74.4,81.4,6.3,0,0.0,1,2.2,3,2,4.1,2.62,13,0.0,0.0,77.0,39,84.6,92.3,4.1,0,0.0,0,0.0,0,0,-3.5,1.89,7,0.0,0.0,83.5
Donovan Smith,73929,QB,HOUSTON,7,134,164,14,28.6,28.6,10.7,2,13.3,4,26.7,4,1,31.1,3.34,2,0.0,0.0,56.0,17,52.9,52.9,11.5,0,0.0,2,8.7,2,0,14.2,3.05,6,0.0,0.0,54.7,56,71.4,78.6,6.3,0,0.0,0,0.0,0,2,4.0,2.53,9,0.0,0.0,99.8,35,94.3,94.3,4.7,0,0.0,0,0.0,2,1,-3.1,1.92,4,0.0,0.0,71.8
Byrum Brown,156206,QB,USF,5,132,164,14,7.1,14.3,2.5,2,11.1,1,5.6,0,0,34.3,3.24,6,0.0,0.0,39.6,33,48.5,54.5,9.8,0,0.0,1,2.8,0,0,13.0,3.32,17,0.0,0.0,83.1,53,69.8,79.2,5.8,0,0.0,0,0.0,0,2,4.6,2.63,14,0.0,0.0,97.1,25,96.0,96.0,6.9,0,0.0,0,0.0,0,0,-3.3,1.93,3,0.0,0.0,95.3
Blake Horvath,162555,QB,NAVY,12,139,164,40,35.0,35.0,11.3,5,11.6,6,14.0,4,4,27.9,2.7,19,0.0,0.0,71.9,30,60.0,60.0,12.8,0,0.0,2,6.3,0,4,12.9,2.46,7,0.0,0.0,143.8,41,75.6,78.0,7.8,0,0.0,1,2.3,0,3,4.4,2.3,9,0.0,0.0,122.0,19,89.5,94.7,10.5,0,0.0,0,0.0,0,2,-3.1,1.97,3,0.0,0.0,145.6
Michael Hawkins Jr.,184595,QB,OKLAHOMA,7,120,160,12,16.7,33.3,9.7,3,20.0,1,6.7,2,1,37.9,3.79,4,0.0,0.0,55.6,17,82.4,82.4,14.7,0,0.0,0,0.0,0,1,12.5,2.75,2,0.0,0.0,138.4,49,75.5,79.6,5.8,0,0.0,1,1.9,0,1,4.8,2.31,12,0.0,0.0,96.0,27,85.2,96.3,4.9,0,0.0,0,0.0,0,0,-2.6,2.18,4,0.0,0.0,87.0
Ethan Crawford,173571,QB,SO MISS,8,120,158,33,27.3,36.4,9.5,9,25.7,4,11.4,3,0,30.2,3.14,12,0.0,0.0,29.0,24,37.5,58.3,8.7,0,0.0,2,8.3,1,0,14.2,2.9,12,0.0,0.0,52.1,38,52.6,57.9,5.4,0,0.0,0,0.0,2,0,4.6,2.26,15,0.0,0.0,46.5,14,85.7,92.9,8.1,0,0.0,0,0.0,1,0,-3.1,2.04,3,0.0,0.0,70.5
Demond Williams Jr.,183648,QB,WASHINGTON,13,105,157,13,69.2,69.2,24.5,6,37.5,0,0.0,0,4,32.6,3.29,5,0.0,0.0,151.4,13,61.5,61.5,9.7,1,5.9,0,0.0,0,1,12.9,3.08,4,0.0,0.0,119.4,45,88.9,88.9,7.2,0,0.0,2,4.4,1,2,4.3,2.5,6,0.0,0.0,102.4,27,92.6,92.6,6.4,0,0.0,0,0.0,0,1,-3.1,1.75,2,0.0,0.0,105.7
Jacob Zeno,98014,QB,UAB,4,121,148,6,16.7,16.7,6.5,1,16.7,2,33.3,3,1,32.0,3.2,3,0.0,0.0,54.2,18,55.6,72.2,10.3,1,5.0,2,10.0,1,2,14.2,3.01,8,0.0,0.0,105.3,52,73.1,82.7,7.2,0,0.0,2,3.6,1,2,3.4,2.54,13,0.0,0.0,97.6,36,91.7,97.2,6.2,0,0.0,0,0.0,0,1,-3.1,1.91,6,0.0,0.0,101.6
Bryson Barnes,131845,QB,UTAH ST,7,126,147,22,36.4,36.4,12.1,4,17.4,4,17.4,4,0,28.8,2.94,6,0.0,0.0,43.4,21,52.4,61.9,10.5,0,0.0,2,9.5,2,4,13.6,2.57,5,0.0,0.0,89.6,48,75.0,83.3,5.2,0,0.0,0,0.0,0,6,5.1,2.27,10,0.0,0.0,125.8,23,91.3,95.7,3.0,0,0.0,0,0.0,0,1,-2.5,1.75,6,0.0,0.0,93.7
Stone Earle,123504,QB,MARSHALL,8,122,146,17,35.3,41.2,9.5,3,16.7,0,0.0,1,4,25.2,2.58,6,0.0,0.0,86.3,32,43.8,46.9,6.7,0,0.0,1,2.8,1,2,14.0,2.51,9,0.0,0.0,74.3,48,58.3,66.7,4.5,0,0.0,1,2.0,0,1,5.2,1.99,8,0.0,0.0,76.4,19,94.7,100.0,4.1,0,0.0,0,0.0,0,0,-3.4,1.52,1,0.0,0.0,83.8
Brock Glenn,170335,QB,FLORIDA ST,7,114,140,14,21.4,35.7,7.5,4,23.5,0,0.0,1,1,34.1,3.02,5,0.0,0.0,52.4,25,48.0,60.0,7.4,1,3.6,2,7.1,1,2,13.3,3.14,5,0.0,0.0,82.9,38,52.6,60.5,5.3,0,0.0,3,7.7,3,1,5.2,2.37,5,0.0,0.0,44.1,20,80.0,85.0,4.9,0,0.0,1,4.5,0,0,-3.0,2.14,5,0.0,0.0,87.1
Josh Holst,171312,QB,N ILLINOIS,7,112,140,16,18.8,25.0,4.6,1,5.3,3,15.8,1,1,28.1,3.3,1,0.0,0.0,41.1,25,52.0,56.0,8.8,0,0.0,2,8.0,1,0,12.6,2.86,4,0.0,0.0,65.4,50,76.0,82.0,5.4,0,0.0,1,1.9,0,1,4.2,2.1,7,0.0,0.0,94.7,12,91.7,91.7,2.8,0,0.0,0,0.0,0,0,-2.1,1.78,1,0.0,0.0,79.2
Conner Weigman,158683,QB,TEXAS A&M,6,114,139,15,26.7,33.3,7.7,4,22.2,2,11.1,2,1,28.5,2.96,2,0.0,0.0,41.7,21,57.1,61.9,11.1,1,4.0,2,8.0,2,1,14.2,3.1,8,0.0,0.0,72.4,55,65.5,74.5,7.2,0,0.0,4,7.1,1,1,4.9,2.33,13,0.0,0.0,85.3,15,80.0,86.7,4.5,0,0.0,0,0.0,0,0,-2.7,1.99,4,0.0,0.0,85.6
Blake Shapen,122282,QB,MISS STATE,4,109,138,17,58.8,58.8,19.4,7,35.0,3,15.0,1,5,29.8,3.01,5,0.0,0.0,118.3,18,72.2,83.3,10.7,0,0.0,0,0.0,0,0,12.8,2.66,9,0.0,0.0,106.9,52,71.2,76.9,7.6,0,0.0,0,0.0,0,3,5.3,2.16,6,0.0,0.0,112.4,16,87.5,100.0,3.4,0,0.0,0,0.0,0,0,-3.3,1.81,3,0.0,0.0,80.7
Ben Gulbranson,131734,QB,OREGON ST,4,129,136,17,41.2,47.1,13.5,3,15.8,1,5.3,0,1,28.3,2.89,2,0.0,0.0,108.1,37,54.1,62.2,9.8,1,2.5,1,2.5,1,0,14.6,2.65,5,0.0,0.0,76.6,47,78.7,83.0,6.4,0,0.0,3,5.9,3,2,4.4,2.33,11,0.0,0.0,81.1,18,77.8,83.3,2.7,0,0.0,0,0.0,0,1,-2.4,2.25,7,0.0,0.0,97.7
