player,player_id,team_name,player_game_count,accuracy_percent,attempts,avg_depth_of_target,big_time_throws,btt_rate,completion_percent,def_gen_pressures,dropbacks,drops,first_downs,grades_offense,grades_pass,grades_run,interceptions,passing_snaps,qb_rating,sack_percent,sacks,scrambles,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,td_int_ratio
Julian Sayin,183708,OHIO STATE,4,54.5,12,10.2,0,0.0,41.7,2,14,1,4,58.3,55.4,62.5,0,14,93.8,0.0,0,2,1,0,0.0,84,7.0,1
Amari Jones,156543,FIU,3,63.6,12,6.8,1,7.1,58.3,6,16,0,4,55.7,57.7,55.7,1,19,78.1,6.3,1,3,1,1,5.3,99,8.3,1.0
Will Perry,184159,UMASS,1,80.0,11,10.3,0,0.0,63.6,4,12,1,5,65.7,72.4,57.3,0,12,112.7,0.0,0,1,1,0,0.0,72,6.5,1
Braden Bohannon,160367,KENNESAW,1,60.0,11,10.4,0,0.0,45.5,2,13,1,2,32.0,46.4,36.7,0,13,59.3,0.0,0,1,0,1,7.7,51,4.6,0
Gunnar Gray,171202,BUFFALO,1,44.4,11,7.9,0,0.0,36.4,2,11,0,2,43.1,45.1,60.0,1,11,10.0,0.0,0,0,0,1,9.1,41,3.7,0.0
Cardell Williams,156190,TULSA,5,55.6,11,12.1,0,0.0,45.5,6,15,0,3,70.1,52.7,74.9,0,16,54.0,6.7,1,2,0,0,0.0,37,3.4,0
Roman Gagliano,183961,MIDDLE TN,2,60.0,10,5.8,1,10.0,50.0,2,12,1,1,55.9,47.6,64.3,0,12,61.2,8.3,1,1,0,1,8.3,42,4.2,0
Connor Moberly,184835,IOWA STATE,2,60.0,10,9.2,0,0.0,50.0,2,14,1,2,61.7,54.5,67.1,1,15,24.6,7.1,1,2,0,0,0.0,49,4.9,0.0
Jayden Mandal,173516,FRESNO ST,4,50.0,9,12.9,0,0.0,44.4,5,11,0,3,39.8,35.9,60.0,2,13,17.6,9.1,1,1,0,2,15.4,39,4.3,0.0
Cameran Brown,184894,TEXAS TECH,2,44.4,9,5.1,0,0.0,44.4,0,9,0,0,42.7,27.6,69.0,1,9,12.0,0.0,0,0,0,1,11.1,11,1.2,0.0
Nate Hampton,147548,LIBERTY,1,25.0,9,17.5,1,11.1,22.2,4,10,0,2,43.9,44.8,57.0,1,10,43.1,0.0,0,1,1,1,10.0,40,4.4,1.0
Ahmad Haston,173396,UMASS,3,88.9,9,3.7,0,0.0,88.9,2,12,0,2,83.3,70.6,75.0,0,12,84.7,0.0,0,3,0,0,0.0,39,4.3,0
Tim Carpenter,190715,TULSA,4,62.5,9,16.0,1,10.0,44.4,2,11,1,4,80.6,61.5,78.4,0,13,100.0,0.0,0,2,2,1,7.7,46,5.1,2
Jake Merklinger,184888,TENNESSEE,2,87.5,9,4.6,0,0.0,66.7,5,12,1,4,64.9,64.8,60.2,0,12,79.9,16.7,2,1,0,0,0.0,48,5.3,0
Dante Moore,173983,OREGON,4,100.0,8,0.4,0,0.0,87.5,2,9,0,4,58.4,57.7,59.3,0,11,92.2,0.0,0,1,0,0,0.0,49,6.1,0
Lex Thomas,170381,NC STATE,2,62.5,8,7.9,0,0.0,62.5,2,8,0,3,60.7,54.1,64.7,1,8,88.0,0.0,0,0,1,1,12.5,65,8.1,1.0
Cameron Edge,162791,MARYLAND,2,71.4,8,6.9,0,0.0,62.5,1,8,0,4,65.3,64.4,,0,8,128.6,0.0,0,0,1,0,0.0,67,8.4,1
Ta'Quan Roberson,101625,KANSAS ST,3,57.1,7,6.6,0,0.0,42.9,3,7,1,1,54.4,53.7,58.2,0,7,50.3,0.0,0,0,0,0,0.0,18,2.6,0
John-Keawe Sagapolutele,175709,HAWAII,2,57.1,7,11.9,1,14.3,57.1,2,8,0,2,53.9,45.6,66.1,2,8,35.1,12.5,1,0,0,1,12.5,42,6.0,0.0
Reese Poffenbarger,145346,MIAMI FL,1,85.7,7,3.3,0,0.0,85.7,2,10,0,3,61.2,43.6,74.9,0,10,79.2,20.0,2,1,0,1,10.0,20,2.9,0
Cole Pennington,156787,MARSHALL,2,71.4,7,6.6,0,0.0,71.4,2,8,0,3,52.9,48.5,61.4,0,10,135.1,0.0,0,1,1,1,10.0,57,8.1,1
JD Sherrod,172365,KENT STATE,2,33.3,7,15.8,0,0.0,28.6,5,9,0,1,57.1,32.6,68.3,0,9,39.6,11.1,1,1,0,1,11.1,18,2.6,0
Jalen Macon,153929,N ILLINOIS,1,85.7,7,4.7,0,0.0,57.1,4,9,2,5,79.1,75.2,68.3,0,9,79.5,0.0,0,2,0,0,0.0,50,7.1,0
Davis Beville,99588,S CAROLINA,3,85.7,7,10.9,0,0.0,71.4,5,9,1,3,69.3,60.8,69.3,0,9,128.6,22.2,2,0,1,0,0.0,46,6.6,1
Kyle Lowe,156595,GA STATE,2,66.7,7,14.2,0,0.0,42.9,5,8,1,2,60.1,59.5,60.0,0,9,89.9,12.5,1,0,1,1,11.1,18,2.6,1
Broc Lowry,173383,W MICHIGAN,5,60.0,6,2.6,0,0.0,50.0,2,9,0,2,81.1,55.5,76.4,0,9,56.3,11.1,1,2,0,0,0.0,16,2.7,0
Miles O'Neill,191260,TEXAS A&M,1,83.3,6,7.5,0,0.0,83.3,1,6,0,4,89.0,88.5,,0,6,141.7,0.0,0,0,1,0,0.0,51,8.5,1
Cameron Friel,146195,UNLV,4,100.0,6,8.3,0,0.0,83.3,2,6,1,4,63.5,61.2,61.4,0,6,111.1,0.0,0,0,0,0,0.0,64,10.7,0
Haden Carlson,123620,FIU,1,66.7,6,5.0,0,0.0,66.7,1,6,0,2,27.4,27.6,,2,6,43.8,0.0,0,0,0,2,33.3,37,6.2,0.0
Aidan Leffler,163088,BALL ST,2,66.7,6,10.3,0,0.0,33.3,2,6,0,0,56.3,55.1,,0,6,42.4,0.0,0,0,0,0,0.0,6,1.0,0
Bert Emanuel Jr.,158581,C MICHIGAN,3,66.7,6,14.2,2,33.3,66.7,4,10,0,3,65.6,61.7,62.3,0,10,149.3,20.0,2,2,2,1,10.0,99,16.5,2
Jackson Brousseau,173480,COLO STATE,1,80.0,6,2.8,0,0.0,50.0,2,7,1,2,44.4,46.3,57.3,1,7,16.7,0.0,0,1,0,1,14.3,15,2.5,0.0
Dylan Lonergan,172386,ALABAMA,2,83.3,6,3.0,0,0.0,83.3,3,7,0,2,67.5,60.8,65.4,0,7,82.6,0.0,0,1,0,0,0.0,23,3.8,0
Cole Ballard,173062,KANSAS,1,83.3,6,7.3,0,0.0,83.3,0,7,0,5,66.7,62.9,64.1,0,8,141.7,0.0,0,1,1,0,0.0,51,8.5,1
Brady Lichtenberg,144226,CINCINNATI,2,60.0,5,9.8,0,0.0,60.0,3,9,0,1,41.8,44.3,51.4,0,10,72.9,33.3,3,1,0,0,0.0,25,5.0,0
Drake Lindsey,184727,MINNESOTA,2,100.0,5,9.0,0,0.0,80.0,0,6,0,4,71.5,78.1,57.3,0,6,147.9,0.0,0,1,1,0,0.0,50,10.0,1
Kiael Kelly,145634,BALL ST,5,75.0,5,-0.8,0,0.0,60.0,2,6,0,0,55.9,49.6,57.4,0,6,64.6,16.7,1,0,0,0,0.0,13,2.6,0
Harrison Barker,121479,UAB,3,100.0,5,0.2,0,0.0,100.0,0,5,0,4,55.7,64.0,52.9,0,6,153.8,0.0,0,0,1,0,0.0,57,11.4,1
Donovan Leary,158213,ILLINOIS,2,75.0,5,6.3,0,0.0,40.0,1,5,1,2,71.1,70.5,,0,6,59.6,0.0,0,0,0,0,0.0,29,5.8,0
Trent Pearman,156233,CLEMSON,3,40.0,5,6.8,0,0.0,40.0,2,5,0,0,67.2,57.7,67.9,1,5,8.3,0.0,0,0,0,0,0.0,8,1.6,0.0
Cole Tannenbaum,158746,ARIZONA,2,20.0,5,9.2,0,0.0,20.0,1,5,0,0,43.0,42.4,60.0,1,5,0.0,0.0,0,0,0,0,0.0,3,0.6,0.0
Landry Lyddy,156581,UAB,2,60.0,5,7.8,0,0.0,20.0,2,6,2,1,65.6,58.0,64.9,0,6,39.6,0.0,0,1,0,0,0.0,0,0.0,0
Walker White,184413,AUBURN,1,40.0,5,10.0,0,0.0,40.0,0,6,0,1,31.4,36.2,47.6,0,6,50.4,0.0,0,1,0,1,16.7,18,3.6,0
Rickie Collins,172474,LSU,3,100.0,5,2.6,0,0.0,100.0,2,8,0,4,65.8,73.0,56.7,0,8,95.8,0.0,0,3,0,0,0.0,35,7.0,0
Tucker McDonald,171056,UCONN,2,80.0,5,3.0,0,0.0,60.0,0,5,1,1,63.2,62.2,60.4,0,5,68.8,0.0,0,0,0,0,0.0,20,4.0,0
Gerry Bohanon,77636,BYU,2,75.0,4,9.0,0,0.0,75.0,2,4,0,2,64.8,41.1,70.8,1,4,53.1,0.0,0,0,0,1,25.0,27,6.8,0.0
Pierce Clarkson,174699,LOUISVILLE,1,100.0,4,0.3,0,0.0,75.0,4,5,0,0,67.8,59.0,67.0,0,5,77.1,20.0,1,0,0,0,0.0,11,2.8,0
Ryan Staub,171906,COLORADO,3,0.0,4,10.3,0,0.0,0.0,4,7,0,0,33.1,33.9,52.6,0,7,39.6,14.3,1,2,0,0,0.0,0,0.0,0
Jacob Conover,70963,UTAH ST,1,66.7,4,-0.7,0,0.0,50.0,4,6,0,1,32.6,47.1,44.6,0,6,66.7,16.7,1,1,0,0,0.0,22,5.5,0
Cole Welliver,184039,UCONN,1,75.0,4,3.3,0,0.0,50.0,0,4,1,1,55.2,54.7,,0,4,56.3,0.0,0,0,0,0,0.0,10,2.5,0
AJ Swann,157186,LSU,2,50.0,4,6.8,0,0.0,50.0,0,4,0,0,40.7,47.6,,0,4,56.3,0.0,0,0,0,0,0.0,10,2.5,0
Trey Owens,184514,TEXAS,1,100.0,4,4.7,0,0.0,50.0,1,5,1,1,72.6,78.3,57.3,0,5,63.5,0.0,0,1,0,0,0.0,19,4.8,0
KJ Jackson,184386,ARKANSAS,1,100.0,4,7.8,0,0.0,100.0,3,5,0,4,82.4,89.5,57.0,0,5,118.8,0.0,0,1,0,0,0.0,59,14.8,0
Lucas Scheerhorn,190304,KENNESAW,1,33.3,4,6.7,0,0.0,25.0,1,4,0,0,27.1,27.2,,1,4,0.0,0.0,0,0,0,1,25.0,1,0.3,0.0
Xavier Ward,146492,S JOSE ST,1,66.7,3,16.3,0,0.0,33.3,0,3,1,1,35.0,35.5,,1,3,12.5,0.0,0,0,0,1,33.3,16,5.3,0.0
Nate Johnson,158489,VANDERBILT,3,50.0,3,9.5,0,0.0,33.3,2,3,0,1,62.5,35.1,71.8,0,4,46.5,0.0,0,0,0,1,25.0,12,4.0,0
Stephen Kittleman,126906,TULSA,2,100.0,3,9.7,0,0.0,100.0,0,3,0,2,75.5,75.7,62.2,0,3,118.8,0.0,0,0,0,0,0.0,51,17.0,0
Austin Mack,171934,ALABAMA,1,66.7,3,21.3,1,33.3,66.7,0,3,0,2,76.6,76.2,,0,3,149.3,0.0,0,0,1,0,0.0,39,13.0,1
Jacobe Robinson,174006,BOSTON COL,1,100.0,3,6.3,0,0.0,66.7,3,6,1,1,65.5,74.1,55.0,0,6,89.6,33.3,2,1,0,0,0.0,23,7.7,0
Christian Gelov,123074,PURDUE,1,66.7,3,14.0,1,33.3,33.3,1,3,1,1,92.0,90.8,61.4,0,3,66.0,0.0,0,0,0,0,0.0,26,8.7,0
Keldric Luster,175287,SMU,3,33.3,3,23.3,0,0.0,33.3,3,6,0,2,65.0,48.1,66.0,0,7,42.4,16.7,1,2,0,1,14.3,0,0.0,0
Navy Shuler,122254,TENNESSEE,1,66.7,3,1.0,0,0.0,33.3,1,4,1,1,55.4,46.3,63.5,0,4,43.8,25.0,1,0,0,0,0.0,10,3.3,0
Jaxon Potter,176687,WASH STATE,1,100.0,3,7.7,1,25.0,100.0,0,3,0,1,80.9,81.3,60.1,0,4,106.9,0.0,0,0,0,0,0.0,29,9.7,0
Jalyn Gramstad,180656,NEBRASKA,1,33.3,3,7.7,0,0.0,33.3,1,4,0,1,47.3,52.0,56.2,0,4,45.1,0.0,0,1,0,0,0.0,11,3.7,0
Michael Johnson Jr.,97796,SYRACUSE,1,66.7,3,21.7,1,33.3,66.7,4,7,0,2,62.7,71.6,52.9,0,7,100.7,28.6,2,2,0,0,0.0,31,10.3,0
Trenton Bourguet,97285,ARIZONA ST,1,66.7,3,4.3,0,0.0,66.7,1,3,0,2,65.2,62.9,62.0,0,3,149.3,0.0,0,0,1,0,0.0,71,23.7,1
Holden Geriner,157045,AUBURN,2,100.0,2,9.0,0,0.0,100.0,0,3,0,1,69.0,74.2,57.6,0,3,118.8,0.0,0,1,0,0,0.0,33,16.5,0
Nate Bennett,184815,BAYLOR,2,100.0,2,14.0,0,0.0,50.0,2,2,0,1,72.6,71.9,60.0,0,2,83.3,0.0,0,0,0,0,0.0,19,9.5,0
Hunter Herring,147138,LA MONROE,2,50.0,2,22.0,0,0.0,50.0,1,2,0,1,91.1,74.1,82.8,0,2,83.3,0.0,0,0,0,0,0.0,19,9.5,0
Jacob Knuth,157493,KANSAS ST,2,100.0,2,3.5,0,0.0,100.0,1,5,0,1,37.5,62.6,42.0,0,5,104.2,0.0,0,3,0,1,20.0,18,9.0,0
Max Cutforth,176220,BOISE ST,1,100.0,2,4.5,0,0.0,100.0,0,2,0,1,63.2,62.3,,0,2,93.8,0.0,0,0,0,0,0.0,13,6.5,0
D'Wanye Winfield,176367,LA LAFAYET,1,100.0,2,-4.0,0,0.0,50.0,1,2,0,0,83.3,58.9,76.0,0,2,56.3,0.0,0,0,0,0,0.0,6,3.0,0
Shay Smith,188323,UTEP,1,100.0,2,0.5,0,0.0,100.0,1,3,0,1,37.6,60.2,43.5,0,3,95.8,33.3,1,0,0,0,0.0,14,7.0,0
Brayden Roggow,184145,AKRON,1,50.0,2,-1.0,0,0.0,50.0,0,2,0,0,54.8,54.6,,1,2,22.9,0.0,0,0,0,0,0.0,9,4.5,0.0
Chris Parson,172551,MISS STATE,1,0.0,2,23.5,0,0.0,0.0,0,2,0,0,69.0,38.0,74.3,0,2,39.6,0.0,0,0,0,0,0.0,0,0.0,0
Austin Novosad,174133,OREGON,1,100.0,2,2.5,0,0.0,100.0,1,2,0,1,72.8,72.1,60.1,0,2,81.3,0.0,0,0,0,0,0.0,7,3.5,0
Champ Long,170197,MARYLAND,1,50.0,2,8.0,0,0.0,50.0,3,3,0,1,47.5,47.2,,0,3,64.6,33.3,1,0,0,0,0.0,10,5.0,0
Ethan Grunkemeyer,183606,PENN STATE,1,100.0,2,4.5,0,0.0,50.0,1,2,1,1,63.8,62.7,,1,2,22.9,0.0,0,0,0,0,0.0,9,4.5,0.0
Walker Howard,157112,OLE MISS,1,50.0,2,13.5,0,0.0,0.0,0,2,1,0,63.3,63.1,,0,2,39.6,0.0,0,0,0,0,0.0,0,0.0,0
Baron May,76359,BOWL GREEN,1,100.0,1,32.0,1,100.0,100.0,0,1,0,1,74.2,89.4,,0,1,158.3,0.0,0,0,1,0,0.0,43,43.0,1
Alessio Milivojevic,183542,MICH STATE,1,0.0,1,11.0,0,0.0,0.0,0,1,0,0,26.4,26.9,,1,1,0.0,0.0,0,0,0,1,100.0,0,0.0,0.0
Mabrey Mettauer,183668,WISCONSIN,1,100.0,1,-2.0,0,0.0,100.0,1,2,0,0,58.3,60.6,57.8,0,2,79.2,0.0,0,1,0,0,0.0,2,2.0,0
Dylan Morris,100570,JAMES MAD,1,100.0,1,5.0,0,0.0,100.0,0,1,0,1,58.2,56.1,60.0,0,1,91.7,0.0,0,0,0,0,0.0,6,6.0,0
JC Evans,184302,JAMES MAD,1,100.0,1,9.0,0,0.0,100.0,0,1,0,1,77.4,74.4,68.7,0,1,118.8,0.0,0,0,1,0,0.0,1,1.0,1
Carson Cruver,169906,FAU,1,100.0,1,5.0,0,0.0,100.0,0,1,0,1,73.1,71.8,,0,1,104.2,0.0,0,0,0,0,0.0,9,9.0,0
Harris Boyd,169933,MEMPHIS,1,100.0,1,4.0,0,0.0,100.0,0,1,0,1,69.8,60.6,63.2,0,1,118.8,0.0,0,0,0,0,0.0,14,14.0,0
Alberto Mendoza,188673,INDIANA,1,100.0,1,-1.0,0,0.0,100.0,0,2,0,0,52.7,61.0,53.6,0,2,91.7,0.0,0,1,0,0,0.0,6,6.0,0
Trace Campbell,163649,UAB,1,0.0,1,24.0,0,0.0,0.0,1,1,0,0,68.1,50.4,70.2,0,1,39.6,0.0,0,0,0,0,0.0,0,0.0,0
Kenny Minchey,171091,NOTRE DAME,1,100.0,1,-4.0,0,0.0,100.0,0,1,0,0,67.0,51.8,68.6,0,2,83.3,0.0,0,0,0,0,0.0,4,4.0,0
Billy Wiles,144144,APP STATE,1,100.0,1,-2.0,0,0.0,0.0,0,1,1,0,62.0,60.4,,1,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0
Holman Edwards,144246,HOUSTON,1,0.0,1,10.0,0,0.0,0.0,0,1,0,0,53.0,49.6,,0,1,39.6,0.0,0,0,0,0,0.0,0,0.0,0
Kai Horton,144418,TULANE,1,100.0,1,5.0,0,0.0,100.0,0,1,0,1,56.4,56.1,,0,1,104.2,0.0,0,0,0,0,0.0,9,9.0,0
Zion Turner,158636,JVILLE ST,1,0.0,1,16.0,0,0.0,0.0,1,1,0,0,45.5,48.5,59.4,0,1,39.6,0.0,0,0,0,0,0.0,0,0.0,0
