player,player_id,team_name,player_game_count,accuracy_percent,attempts,avg_depth_of_target,big_time_throws,btt_rate,completion_percent,def_gen_pressures,dropbacks,drops,first_downs,grades_offense,grades_pass,grades_run,interceptions,passing_snaps,qb_rating,sack_percent,sacks,scrambles,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,td_int_ratio
Ethan Garbers,131896,UCLA,11,73.1,364,7.7,10,2.6,64.6,176,436,9,148,69.1,68.3,60.7,11,458,89.1,7.8,34,38,16,19,4.1,2723,7.5,1.45
Hank Bachmeier,101284,WAKE,12,72.0,358,9.7,18,4.6,62.3,171,447,16,146,73.6,72.3,61.9,10,481,87.2,9.2,41,46,16,12,2.5,2576,7.2,1.6
Alonza Barnett III,156710,JAMES MAD,12,74.8,355,9.3,14,3.8,60.0,116,420,21,130,68.6,65.4,65.4,4,433,102.2,8.1,34,31,26,13,3.0,2591,7.3,6.5
Sam Leavitt,175465,ARIZONA ST,13,72.3,350,9.3,13,3.6,61.4,143,421,20,151,88.5,82.2,80.1,6,440,102.6,4.5,19,51,24,5,1.1,2820,8.1,4.0
Luke Altmyer,146802,ILLINOIS,13,71.3,350,10.5,20,5.3,60.3,154,411,15,142,76.4,74.7,63.6,6,443,98.6,7.3,30,31,22,14,3.2,2725,7.8,3.67
John Mateer,158516,WASH STATE,12,72.9,348,10.2,18,4.9,64.1,128,433,19,159,83.4,70.8,86.2,7,458,112.4,7.6,33,46,29,16,3.5,3136,9.0,4.14
Alan Bowman,77679,OKLA STATE,11,65.8,341,8.9,11,3.0,59.8,56,352,8,120,71.5,70.6,57.4,12,378,83.8,2.0,7,1,17,13,3.4,2444,7.2,1.42
C.J. Ogbonna,149182,BUFFALO,13,68.1,337,10.0,23,6.5,56.4,120,380,13,108,63.6,64.9,56.6,5,397,91.1,5.5,21,21,19,12,3.0,2376,7.1,3.8
Nico Iamaleava,174728,TENNESSEE,13,72.0,335,11.1,17,4.8,63.6,120,417,18,137,78.3,81.7,53.7,5,445,100.3,7.2,30,50,19,11,2.5,2617,7.8,3.8
Walker Eget,146170,S JOSE ST,11,65.8,331,12.4,18,5.0,56.5,79,346,13,111,84.7,81.8,70.3,10,374,81.1,1.2,4,11,13,8,2.1,2494,7.5,1.3
Danny O'Neil,184200,S DIEGO ST,11,72.5,330,9.6,13,3.7,62.7,122,384,14,107,69.8,73.4,45.5,6,413,86.5,6.5,25,28,12,7,1.7,2187,6.6,2.0
Spencer Petras,82136,UTAH ST,9,76.2,326,8.3,8,2.3,65.6,75,350,20,108,67.6,68.3,50.4,11,373,89.7,3.4,12,11,17,13,3.5,2315,7.1,1.55
Jalen Milroe,146590,ALABAMA,13,72.6,324,9.9,18,5.2,63.3,124,371,15,127,87.4,78.3,81.8,11,395,93.6,6.2,23,24,16,10,2.5,2834,8.7,1.45
Aidan Chiles,173727,MICH STATE,12,68.2,324,10.2,13,3.8,59.3,143,374,14,113,74.3,64.8,84.9,11,393,81.8,7.2,27,23,13,20,5.1,2415,7.5,1.18
Jacolby Criswell,122830,N CAROLINA,12,68.8,323,10.1,10,2.9,57.6,152,382,17,122,69.1,66.2,67.8,6,405,89.5,6.3,24,33,15,12,3.0,2457,7.6,2.5
Kurtis Rourke,97998,INDIANA,12,74.4,322,10.4,19,5.6,68.9,75,360,8,155,88.4,90.2,46.7,5,382,122.5,5.6,20,17,29,10,2.6,3042,9.4,5.8
Brady Cook,124199,MISSOURI,12,70.9,322,9.7,13,3.8,62.4,100,367,16,118,80.4,75.1,76.6,2,384,95.7,6.3,23,22,11,4,1.0,2535,7.9,5.5
Anthony Colandrea,170131,VIRGINIA,11,71.1,319,7.9,12,3.6,61.4,156,392,13,109,64.2,58.5,69.2,11,414,80.1,9.9,39,34,13,15,3.6,2116,6.6,1.18
Payton Thorne,101629,AUBURN,11,73.1,319,10.0,10,3.0,62.4,115,387,16,123,74.7,74.4,62.3,9,401,99.7,7.0,27,41,21,7,1.7,2713,8.5,2.33
Jalen Kitna,146688,UAB,8,71.1,317,8.4,14,4.3,61.8,116,357,21,96,60.2,65.2,31.1,11,370,86.1,5.9,21,16,17,22,5.9,2209,7.0,1.55
Hayden Wolff,98362,W MICHIGAN,13,76.3,316,8.5,10,3.0,66.5,102,349,12,119,70.5,71.5,49.0,8,363,97.8,6.3,22,11,18,11,3.0,2421,7.7,2.25
Garrett Greene,123420,W VIRGINIA,11,70.2,315,10.3,18,5.3,60.0,120,375,16,133,83.0,74.4,80.6,12,403,82.4,5.9,22,38,15,15,3.7,2293,7.3,1.25
Brendon Lewis,131687,NEVADA,12,76.2,315,9.6,11,3.2,67.0,139,371,10,120,90.1,79.3,85.4,7,400,95.9,5.9,22,32,16,12,3.0,2290,7.3,2.29
Will Rogers,124184,WASHINGTON,11,77.4,315,8.2,13,4.0,69.8,104,342,6,120,64.0,67.2,31.0,7,351,98.4,4.7,16,10,14,14,4.0,2458,7.8,2.0
Gio Lopez,172309,S ALABAMA,11,73.6,311,9.2,18,5.5,65.9,120,356,10,122,81.4,70.6,86.1,5,375,102.8,4.2,15,30,17,13,3.5,2556,8.2,3.4
Evan Simon,129906,TEMPLE,9,72.5,307,7.7,12,3.7,58.3,167,359,19,95,70.3,72.3,54.3,9,381,81.8,7.2,26,26,15,11,2.9,1997,6.5,1.67
Keyone Jenkins,170403,FIU,12,72.5,304,10.6,19,5.8,61.8,110,348,20,120,69.5,72.1,52.1,8,375,101.9,4.9,17,24,22,15,4.0,2560,8.4,2.75
CJ Bailey,183349,NC STATE,11,77.5,302,8.7,14,4.3,64.9,115,361,18,121,74.0,74.3,61.6,10,388,94.4,6.4,23,35,17,18,4.6,2413,8.0,1.7
Evan Bullock,170452,LA TECH,11,75.9,302,7.7,6,1.9,65.2,108,358,17,99,68.3,68.9,54.6,3,366,96.6,10.1,36,15,14,12,3.3,2094,6.9,4.67
Jalon Daniels,122555,KANSAS,12,65.9,301,12.4,22,7.1,56.8,89,334,13,117,77.6,72.6,73.6,12,349,82.3,2.7,9,22,14,15,4.3,2454,8.2,1.17
LaNorris Sellers,174326,S CAROLINA,12,74.6,301,8.8,16,4.9,64.8,162,381,11,136,76.6,70.6,73.8,7,409,101.2,8.1,31,49,18,19,4.6,2520,8.4,2.57
Diego Pavia,156927,VANDERBILT,13,71.1,299,10.1,19,5.9,59.2,149,352,10,123,88.0,85.0,73.9,4,377,100.0,4.3,15,36,20,5,1.3,2290,7.7,5.0
Parker Navarro,123758,OHIO,13,73.0,297,10.2,14,4.5,65.7,102,354,11,128,81.4,69.7,82.7,11,370,89.9,4.8,17,39,13,17,4.6,2423,8.2,1.18
Braedyn Locke,157141,WISCONSIN,10,68.9,296,8.7,10,3.2,55.4,67,311,20,82,61.1,58.6,67.0,10,331,76.1,3.2,10,5,13,18,5.4,1936,6.5,1.3
Jack Lausch,162845,NWESTERN,10,64.8,296,9.2,10,3.2,53.7,129,344,16,82,54.7,52.7,62.1,8,360,67.6,6.4,22,25,7,14,3.9,1711,5.8,0.88
Ben Wooldridge,82115,LA LAFAYET,11,76.5,294,8.7,10,3.2,64.6,90,332,22,123,83.8,81.2,69.9,6,352,101.4,3.6,12,26,17,7,2.0,2451,8.3,2.83
Bryce Archie,156667,USF,12,69.7,294,9.2,11,3.5,58.5,109,333,19,90,62.4,60.1,63.6,10,354,74.1,6.3,21,17,9,14,4.0,1918,6.5,0.9
Tyler Huff,142567,JVILLE ST,14,68.0,294,10.6,12,3.7,60.2,100,341,12,113,88.7,75.9,85.4,7,372,93.9,6.2,21,25,14,12,3.2,2519,8.6,2.0
