player,player_id,attempts_rushing,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,designed_yards,elu_yco,elusive_rating,explosive,first_downs_rushing,fumbles,longest,run_plays,scramble_yards,total_touches,touchdowns_rushing,yards_rushing,yards_after_contact,ypa_rushing,yprr
Josh Hoover,127148,41,2,0,0.0,0,10,9,0.0,2,12,7,12,319,76,24,4,86,45,2.1,0.0
Bishop Davenport,163426,41,7,1,27.2,50,140,99,38.7,5,9,1,50,100,44,32,1,184,133,4.5,
Brendan Sullivan,145034,41,9,2,18.8,38,85,40,33.1,5,15,5,30,153,117,22,4,202,76,4.9,
Katin Houser,158386,40,7,3,30.7,71,152,98,58.3,7,16,4,35,252,79,29,4,231,153,5.8,
Brayden Fowler-Nicolosi,157207,40,1,1,15.2,21,4,7,2.0,4,8,5,23,432,134,19,4,138,18,3.5,1.2
Dewayne Coleman,163179,40,8,1,10.9,15,138,100,50.0,3,12,1,15,95,0,40,1,138,100,3.5,
Robby Ashford,131702,39,17,5,47.1,123,202,98,119.8,9,11,5,38,77,59,30,2,261,133,6.7,
Matthew Sluka,143059,39,19,3,35.9,97,223,163,194.6,9,16,4,46,106,47,33,1,270,225,6.9,0.0
Brett Gabbert,97404,39,1,0,0.0,0,-5,2,0.0,3,6,2,18,312,136,17,1,131,61,3.4,
Behren Morton,144747,38,2,2,29.7,47,69,13,0.0,4,8,3,26,333,89,19,1,158,49,4.2,0.0
Nicco Marchiol,157363,38,9,2,26.2,37,90,61,41.8,5,7,2,19,95,51,27,2,141,114,3.7,
Tommy Ulatowski,163150,38,5,2,23.6,34,60,22,8.3,5,7,6,34,180,84,23,1,144,49,3.8,0.0
Beau Pribula,164182,38,9,2,26.2,67,207,73,37.9,8,13,4,49,135,49,34,4,256,99,6.7,0.0
Walker Eget,146170,38,5,2,29.6,48,81,61,25.1,5,8,5,32,170,81,27,0,162,109,4.3,0.0
Collin Schlee,98025,38,13,1,10.2,18,120,52,28.5,4,10,2,18,87,56,27,2,176,124,4.6,0.0
Luke Kromenhoek,183305,38,9,3,31.2,78,135,98,73.5,9,11,6,42,99,115,20,0,250,192,6.6,
Quinn Ewers,127253,37,2,0,0.0,0,-35,2,0.0,2,9,10,26,373,125,18,2,90,51,2.4,0.0
Aidan Armenta,175731,37,3,2,49.3,75,88,54,8.6,8,9,7,43,296,64,25,1,152,82,4.1,0.0
Evan Bullock,170452,37,5,0,0.0,0,38,15,3.1,3,7,9,14,306,45,22,1,83,71,2.2,0.0
Tucker Kilcrease,156863,36,6,2,25.3,41,117,61,27.1,5,6,3,25,75,45,26,0,162,120,4.5,
Joshua Wood,163421,36,12,0,0.0,0,115,107,111.1,5,12,0,15,54,17,34,6,132,112,3.7,0.0
Tyler Jefferson,171233,35,4,4,43.0,111,149,70,43.2,9,12,4,44,98,109,18,1,258,118,7.4,
Kiael Kelly,145634,35,6,1,25.3,24,95,87,39.2,2,5,4,24,49,0,38,1,95,87,2.7,0.45
Dylan Raiola,183581,34,1,1,15.3,15,8,5,0.0,4,7,7,38,371,90,21,0,98,32,2.9,
Kurtis Rourke,97998,33,3,0,0.0,0,0,8,0.0,4,9,7,12,328,100,16,2,100,49,3.0,0.0
Grayson James,145214,33,4,0,0.0,0,11,16,4.9,5,11,5,20,189,119,18,3,130,107,3.9,
JP Pickles,183996,33,3,1,10.2,17,92,52,9.8,5,10,0,17,62,74,23,1,166,103,5.0,0.0
Santino Marucci,144197,32,7,1,19.5,38,100,44,45.7,8,10,4,38,128,95,17,1,195,95,6.1,
Zach Gibson,100201,32,3,1,11.6,16,50,17,8.7,5,13,3,16,103,88,14,1,138,42,4.3,
Zach Pyron,156309,32,5,0,0.0,0,79,53,30.1,4,13,0,20,67,55,23,4,134,96,4.2,
Nick Poulos,188474,31,6,3,30.1,58,116,85,80.3,10,14,4,22,99,77,23,1,193,107,6.2,
Quinn Henicle,190064,30,4,4,60.9,196,280,58,31.8,8,10,1,92,89,42,27,3,322,61,10.7,
DJ Uiagalelei,122162,30,7,0,0.0,0,-1,18,5.0,1,8,2,13,115,47,19,0,46,69,1.5,
Chandler Rogers,98683,30,3,1,24.3,25,72,22,3.7,3,7,0,25,57,31,25,1,103,28,3.4,1.0
Hudson Card,123109,30,7,0,0.0,0,24,31,51.7,5,7,2,23,192,104,16,0,128,69,4.3,-7.0
Tyler Shough,83537,30,2,1,35.6,47,63,16,0.0,2,9,2,47,322,69,12,1,132,57,4.4,
Connor Bazelak,99135,29,0,1,19.1,17,38,20,0.0,4,9,5,19,350,51,22,2,89,26,3.1,0.0
Chandler Fields,97286,28,1,1,31.2,34,53,34,13.3,4,6,0,34,107,56,16,2,109,54,3.9,
Hayden Wolff,98362,28,2,0,0.0,0,-25,8,0.0,2,3,5,16,412,51,17,0,26,39,0.9,0.0
Jacob Zeno,98014,27,1,0,0.0,0,33,14,0.0,5,5,2,26,134,128,8,0,161,50,6.0,
